depth,time,so
0.494025,2022-06-01 00:00:00,35.440147
0.494025,2022-06-01 06:00:00,35.43805
0.494025,2022-06-01 12:00:00,35.43249
0.494025,2022-06-01 18:00:00,35.431168
0.494025,2022-06-02 00:00:00,35.42888
0.494025,2022-06-02 06:00:00,35.428707
0.494025,2022-06-02 12:00:00,35.42795
0.494025,2022-06-02 18:00:00,35.426777
0.494025,2022-06-03 00:00:00,35.42479
0.494025,2022-06-03 06:00:00,35.42372
0.494025,2022-06-03 12:00:00,35.42113
0.494025,2022-06-03 18:00:00,35.419292
0.494025,2022-06-04 00:00:00,35.416363
0.494025,2022-06-04 06:00:00,35.41386
0.494025,2022-06-04 12:00:00,35.4096
0.494025,2022-06-04 18:00:00,35.40867
0.494025,2022-06-05 00:00:00,35.40963
0.494025,2022-06-05 06:00:00,35.410774
0.494025,2022-06-05 12:00:00,35.4108
0.494025,2022-06-05 18:00:00,35.412403
0.494025,2022-06-06 00:00:00,35.415203
0.494025,2022-06-06 06:00:00,35.418266
0.494025,2022-06-06 12:00:00,35.4193
0.494025,2022-06-06 18:00:00,35.422043
0.494025,2022-06-07 00:00:00,35.424576
0.494025,2022-06-07 06:00:00,35.42686
0.494025,2022-06-07 12:00:00,35.42876
0.494025,2022-06-07 18:00:00,35.431423
0.494025,2022-06-08 00:00:00,35.43345
0.494025,2022-06-08 06:00:00,35.43386
0.494025,2022-06-08 12:00:00,35.428967
0.494025,2022-06-08 18:00:00,35.425144
0.494025,2022-06-09 00:00:00,35.423233
0.494025,2022-06-09 06:00:00,35.41641
0.494025,2022-06-09 12:00:00,35.38335
0.494025,2022-06-09 18:00:00,35.38114
0.494025,2022-06-10 00:00:00,35.359993
0.494025,2022-06-10 06:00:00,35.350147
0.494025,2022-06-10 12:00:00,35.335648
0.494025,2022-06-10 18:00:00,35.32969
0.494025,2022-06-11 00:00:00,35.32401
0.494025,2022-06-11 06:00:00,35.326626
0.494025,2022-06-11 12:00:00,35.338173
0.494025,2022-06-11 18:00:00,35.34826
0.494025,2022-06-12 00:00:00,35.35352
0.494025,2022-06-12 06:00:00,35.34957
0.494025,2022-06-12 12:00:00,35.341976
0.494025,2022-06-12 18:00:00,35.336628
