depth,latitude,longitude,time,dissic,ph,talk
0.49402538,-32.25,115.25,2021-11-01,2.0995266,8.10166,2.406144
0.49402538,-32.25,115.25,2021-11-02,2.0998507,8.103171,2.4063256
0.49402538,-32.25,115.25,2021-11-03,2.1001744,8.099102,2.406507
0.49402538,-32.25,115.25,2021-11-04,2.1004982,8.0969925,2.4066885
0.49402538,-32.25,115.25,2021-11-05,2.100822,8.098841,2.40687
0.49402538,-32.25,115.25,2021-11-06,2.101146,8.099114,2.4070513
0.49402538,-32.25,115.25,2021-11-07,2.1014037,8.099678,2.4072134
0.49402538,-32.25,115.25,2021-11-08,2.101662,8.099753,2.4073753
0.49402538,-32.25,115.25,2021-11-09,2.10192,8.09967,2.4075372
0.49402538,-32.25,115.25,2021-11-10,2.1021776,8.098681,2.4076993
0.49402538,-32.25,115.25,2021-11-11,2.1024358,8.098596,2.4078612
0.49402538,-32.25,115.25,2021-11-12,2.1026938,8.09902,2.408023
0.49402538,-32.25,115.25,2021-11-13,2.1029515,8.098232,2.408185
0.49402538,-32.25,115.25,2021-11-14,2.1030874,8.096523,2.4082758
0.49402538,-32.25,115.25,2021-11-15,2.103223,8.089935,2.4083667
0.49402538,-32.25,115.25,2021-11-16,2.103359,8.0837,2.4084573
0.49402538,-32.25,115.25,2021-11-17,2.103495,8.080115,2.408548
0.49402538,-32.25,115.25,2021-11-18,2.1036305,8.081349,2.408639
0.49402538,-32.25,115.25,2021-11-19,2.1037664,8.084728,2.4087298
0.49402538,-32.25,115.25,2021-11-20,2.103902,8.081636,2.4088204
0.49402538,-32.25,115.25,2021-11-21,2.1041865,8.077282,2.4089348
0.49402538,-32.25,115.25,2021-11-22,2.104471,8.079333,2.4090493
0.49402538,-32.25,115.25,2021-11-23,2.1047554,8.0816345,2.4091635
0.49402538,-32.25,115.25,2021-11-24,2.1050398,8.078721,2.409278
0.49402538,-32.25,115.25,2021-11-25,2.1053243,8.07589,2.4093924
0.49402538,-32.25,115.25,2021-11-26,2.1056085,8.073222,2.4095066
0.49402538,-32.25,115.25,2021-11-27,2.105893,8.066659,2.409621
0.49402538,-32.25,115.25,2021-11-28,2.1056683,8.061739,2.4095526
0.49402538,-32.25,115.25,2021-11-29,2.105444,8.065552,2.4094844
0.49402538,-32.25,115.25,2021-11-30,2.1052194,8.071693,2.4094157
0.49402538,-32.25,115.25,2021-12-01,2.1049948,8.07351,2.4093475
0.49402538,-32.25,115.25,2021-12-02,2.1047702,8.074539,2.4092789
0.49402538,-32.25,115.25,2021-12-03,2.1045458,8.075747,2.4092107
0.49402538,-32.25,115.25,2021-12-04,2.1043212,8.074568,2.409142
0.49402538,-32.25,115.25,2021-12-05,2.1039898,8.072986,2.4090989
0.49402538,-32.25,115.25,2021-12-06,2.1036587,8.074327,2.4090555
0.49402538,-32.25,115.25,2021-12-07,2.103327,8.07335,2.4090123
0.49402538,-32.25,115.25,2021-12-08,2.1029956,8.066415,2.408969
0.49402538,-32.25,115.25,2021-12-09,2.1026642,8.062475,2.4089255
0.49402538,-32.25,115.25,2021-12-10,2.1023328,8.065313,2.4088821
0.49402538,-32.25,115.25,2021-12-11,2.1020014,8.067406,2.408839
0.49402538,-32.25,115.25,2021-12-12,2.1021614,8.069389,2.408985
0.49402538,-32.25,115.25,2021-12-13,2.1023216,8.0715275,2.4091306
0.49402538,-32.25,115.25,2021-12-14,2.1024816,8.072178,2.4092765
0.49402538,-32.25,115.25,2021-12-15,2.1026416,8.073002,2.4094224
0.49402538,-32.25,115.25,2021-12-16,2.1028016,8.073208,2.409568
0.49402538,-32.25,115.25,2021-12-17,2.1029615,8.073761,2.409714
0.49402538,-32.25,115.25,2021-12-18,2.1031218,8.074132,2.40986
0.49402538,-32.25,115.25,2021-12-19,2.1039302,8.070568,2.410204
0.49402538,-32.25,115.25,2021-12-20,2.104739,8.067787,2.410548
0.49402538,-32.25,115.25,2021-12-21,2.1055477,8.068024,2.410892
0.49402538,-32.25,115.25,2021-12-22,2.1063564,8.067071,2.411236
0.49402538,-32.25,115.25,2021-12-23,2.107165,8.0642605,2.41158
0.49402538,-32.25,115.25,2021-12-24,2.1079738,8.061094,2.4119241
0.49402538,-32.25,115.25,2021-12-25,2.1087825,8.056756,2.4122682
0.49402538,-32.25,115.25,2021-12-26,2.108916,8.0517025,2.4125102
0.49402538,-32.25,115.25,2021-12-27,2.1090496,8.04726,2.4127524
0.49402538,-32.25,115.25,2021-12-28,2.109183,8.042171,2.4129946
0.49402538,-32.25,115.25,2021-12-29,2.1093166,8.039168,2.4132366
0.49402538,-32.25,115.25,2021-12-30,2.1094499,8.043106,2.4134786
0.49402538,-32.25,115.25,2021-12-31,2.1095834,8.049991,2.4137208
0.49402538,-32.25,115.25,2022-01-01,2.1097167,8.054885,2.4139628
0.49402538,-32.25,115.25,2022-01-02,2.1094956,8.057166,2.413873
0.49402538,-32.25,115.25,2022-01-03,2.1092746,8.057096,2.4137833
0.49402538,-32.25,115.25,2022-01-04,2.1090539,8.056809,2.4136937
0.49402538,-32.25,115.25,2022-01-05,2.1088328,8.05467,2.4136038
