depth,latitude,longitude,time,dissic,ph,talk
0.49402538,-32.0,115.25,2021-11-01,2.0997398,8.096558,2.406861
0.49402538,-32.0,115.25,2021-11-02,2.1000643,8.097741,2.4070733
0.49402538,-32.0,115.25,2021-11-03,2.1003885,8.094107,2.407285
0.49402538,-32.0,115.25,2021-11-04,2.100713,8.092988,2.4074972
0.49402538,-32.0,115.25,2021-11-05,2.1010375,8.094582,2.4077094
0.49402538,-32.0,115.25,2021-11-06,2.101362,8.09446,2.4079213
0.49402538,-32.0,115.25,2021-11-07,2.1015222,8.095259,2.4080014
0.49402538,-32.0,115.25,2021-11-08,2.1016827,8.095549,2.4080813
0.49402538,-32.0,115.25,2021-11-09,2.1018429,8.0960045,2.4081612
0.49402538,-32.0,115.25,2021-11-10,2.1020033,8.095619,2.408241
0.49402538,-32.0,115.25,2021-11-11,2.1021638,8.095084,2.4083211
0.49402538,-32.0,115.25,2021-11-12,2.102324,8.094855,2.408401
0.49402538,-32.0,115.25,2021-11-13,2.1024845,8.093525,2.408481
0.49402538,-32.0,115.25,2021-11-14,2.1023986,8.091463,2.408506
0.49402538,-32.0,115.25,2021-11-15,2.102313,8.085119,2.408531
0.49402538,-32.0,115.25,2021-11-16,2.1022272,8.079139,2.408556
0.49402538,-32.0,115.25,2021-11-17,2.1021416,8.075748,2.408581
0.49402538,-32.0,115.25,2021-11-18,2.1020558,8.077347,2.408606
0.49402538,-32.0,115.25,2021-11-19,2.10197,8.081232,2.4086313
0.49402538,-32.0,115.25,2021-11-20,2.1018844,8.079417,2.4086561
0.49402538,-32.0,115.25,2021-11-21,2.1019778,8.076552,2.4086752
0.49402538,-32.0,115.25,2021-11-22,2.102071,8.077923,2.4086938
0.49402538,-32.0,115.25,2021-11-23,2.1021645,8.079866,2.4087126
0.49402538,-32.0,115.25,2021-11-24,2.102258,8.07783,2.4087317
0.49402538,-32.0,115.25,2021-11-25,2.1023514,8.07568,2.4087505
0.49402538,-32.0,115.25,2021-11-26,2.1024446,8.07357,2.4087694
0.49402538,-32.0,115.25,2021-11-27,2.1025383,8.0673895,2.4087882
0.49402538,-32.0,115.25,2021-11-28,2.1022005,8.061798,2.4086099
0.49402538,-32.0,115.25,2021-11-29,2.1018631,8.064957,2.4084315
0.49402538,-32.0,115.25,2021-11-30,2.1015253,8.071425,2.4082534
0.49402538,-32.0,115.25,2021-12-01,2.1011877,8.07385,2.408075
0.49402538,-32.0,115.25,2021-12-02,2.10085,8.074859,2.4078968
0.49402538,-32.0,115.25,2021-12-03,2.1005125,8.0755825,2.4077187
0.49402538,-32.0,115.25,2021-12-04,2.100175,8.0745535,2.4075403
0.49402538,-32.0,115.25,2021-12-05,2.1000717,8.073059,2.407542
0.49402538,-32.0,115.25,2021-12-06,2.0999684,8.073945,2.4075437
0.49402538,-32.0,115.25,2021-12-07,2.0998654,8.073603,2.4075456
0.49402538,-32.0,115.25,2021-12-08,2.0997622,8.068162,2.4075475
0.49402538,-32.0,115.25,2021-12-09,2.099659,8.064475,2.4075491
0.49402538,-32.0,115.25,2021-12-10,2.099556,8.066172,2.407551
0.49402538,-32.0,115.25,2021-12-11,2.0994527,8.067666,2.4075527
0.49402538,-32.0,115.25,2021-12-12,2.099883,8.069227,2.4077945
0.49402538,-32.0,115.25,2021-12-13,2.1003137,8.071337,2.4080362
0.49402538,-32.0,115.25,2021-12-14,2.100744,8.072197,2.408278
0.49402538,-32.0,115.25,2021-12-15,2.1011744,8.073299,2.4085197
0.49402538,-32.0,115.25,2021-12-16,2.1016047,8.073548,2.4087615
0.49402538,-32.0,115.25,2021-12-17,2.102035,8.072811,2.409003
0.49402538,-32.0,115.25,2021-12-18,2.1024656,8.07141,2.4092448
0.49402538,-32.0,115.25,2021-12-19,2.1033957,8.067355,2.4096975
0.49402538,-32.0,115.25,2021-12-20,2.1043255,8.064684,2.4101498
0.49402538,-32.0,115.25,2021-12-21,2.1052556,8.064868,2.4106026
0.49402538,-32.0,115.25,2021-12-22,2.1061857,8.063491,2.411055
0.49402538,-32.0,115.25,2021-12-23,2.1071155,8.060073,2.4115076
0.49402538,-32.0,115.25,2021-12-24,2.1080456,8.056735,2.4119604
0.49402538,-32.0,115.25,2021-12-25,2.108976,8.05405,2.412413
0.49402538,-32.0,115.25,2021-12-26,2.108597,8.051694,2.412407
0.49402538,-32.0,115.25,2021-12-27,2.1082184,8.048466,2.412401
0.49402538,-32.0,115.25,2021-12-28,2.1078398,8.043338,2.4123948
0.49402538,-32.0,115.25,2021-12-29,2.1074615,8.039207,2.412389
0.49402538,-32.0,115.25,2021-12-30,2.1070828,8.042198,2.412383
0.49402538,-32.0,115.25,2021-12-31,2.1067042,8.049584,2.4123769
0.49402538,-32.0,115.25,2022-01-01,2.1063254,8.054791,2.4123712
0.49402538,-32.0,115.25,2022-01-02,2.1060956,8.056728,2.4122756
0.49402538,-32.0,115.25,2022-01-03,2.1058652,8.056077,2.4121802
0.49402538,-32.0,115.25,2022-01-04,2.1056352,8.055539,2.4120846
0.49402538,-32.0,115.25,2022-01-05,2.105405,8.053959,2.4119892
0.49402538,-32.0,115.25,2022-01-06,2.105175,8.051296,2.4118936
0.49402538,-32.0,115.25,2022-01-07,2.104945,8.051026,2.4117982
0.49402538,-32.0,115.25,2022-01-08,2.1047146,8.053488,2.4117029
0.49402538,-32.0,115.25,2022-01-09,2.1049109,8.058738,2.411818
0.49402538,-32.0,115.25,2022-01-10,2.1051073,8.061942,2.4119334
0.49402538,-32.0,115.25,2022-01-11,2.1053035,8.059453,2.4120488
0.49402538,-32.0,115.25,2022-01-12,2.1054997,8.055487,2.4121644
0.49402538,-32.0,115.25,2022-01-13,2.105696,8.055149,2.4122798
0.49402538,-32.0,115.25,2022-01-14,2.105892,8.056508,2.4123952
0.49402538,-32.0,115.25,2022-01-15,2.1060882,8.05699,2.4125106
0.49402538,-32.0,115.25,2022-01-16,2.1060088,8.058513,2.4126055
0.49402538,-32.0,115.25,2022-01-17,2.1059296,8.058074,2.412701
0.49402538,-32.0,115.25,2022-01-18,2.1058502,8.050555,2.4127958
0.49402538,-32.0,115.25,2022-01-19,2.105771,8.044341,2.412891
0.49402538,-32.0,115.25,2022-01-20,2.1056917,8.041188,2.4129863
