depth,latitude,longitude,time,dissic,ph,talk
0.49402538,-32.5,115.5,2022-01-11,2.1154816,8.05125,2.4190147
0.49402538,-32.5,115.5,2022-01-12,2.1153467,8.047982,2.4189086
0.49402538,-32.5,115.5,2022-01-13,2.115212,8.047544,2.4188023
0.49402538,-32.5,115.5,2022-01-14,2.115077,8.048342,2.4186962
0.49402538,-32.5,115.5,2022-01-15,2.114942,8.048141,2.4185898
0.49402538,-32.5,115.5,2022-01-16,2.115043,8.049321,2.4188101
0.49402538,-32.5,115.5,2022-01-17,2.1151438,8.049499,2.419031
0.49402538,-32.5,115.5,2022-01-18,2.1152449,8.043909,2.4192512
0.49402538,-32.5,115.5,2022-01-19,2.115346,8.037873,2.4194715
0.49402538,-32.5,115.5,2022-01-20,2.1154468,8.033779,2.419692
0.49402538,-32.5,115.5,2022-01-21,2.1155477,8.029143,2.4199123
0.49402538,-32.5,115.5,2022-01-22,2.1156485,8.024861,2.4201329
0.49402538,-32.5,115.5,2022-01-23,2.1157565,8.02277,2.4202273
0.49402538,-32.5,115.5,2022-01-24,2.1158643,8.027707,2.4203215
0.49402538,-32.5,115.5,2022-01-25,2.1159723,8.034028,2.4204156
0.49402538,-32.5,115.5,2022-01-26,2.11608,8.036224,2.42051
0.49402538,-32.5,115.5,2022-01-27,2.116188,8.03781,2.4206045
0.49402538,-32.5,115.5,2022-01-28,2.1162958,8.039348,2.4206986
0.49402538,-32.5,115.5,2022-01-29,2.1164036,8.036687,2.420793
0.49402538,-32.5,115.5,2022-01-30,2.1166193,8.035576,2.4210575
0.49402538,-32.5,115.5,2022-01-31,2.116835,8.03878,2.4213219
0.49402538,-32.5,115.5,2022-02-01,2.1170506,8.041771,2.4215863
0.49402538,-32.5,115.5,2022-02-02,2.1172664,8.043233,2.421851
0.49402538,-32.5,115.5,2022-02-03,2.1174822,8.039233,2.4221153
0.49402538,-32.5,115.5,2022-02-04,2.117698,8.034882,2.4223797
0.49402538,-32.5,115.5,2022-02-05,2.1179137,8.02994,2.4226441
0.49402538,-32.5,115.5,2022-02-06,2.1180282,8.030362,2.4227996
0.49402538,-32.5,115.5,2022-02-07,2.1181426,8.038717,2.4229546
0.49402538,-32.5,115.5,2022-02-08,2.1182573,8.039755,2.4231098
0.49402538,-32.5,115.5,2022-02-09,2.118372,8.039779,2.423265
0.49402538,-32.5,115.5,2022-02-10,2.1184864,8.040253,2.4234202
0.49402538,-32.5,115.5,2022-02-11,2.118601,8.036284,2.4235754
0.49402538,-32.5,115.5,2022-02-12,2.1187155,8.03653,2.4237306
0.49402538,-32.5,115.5,2022-02-13,2.1186702,8.038139,2.4239109
0.49402538,-32.5,115.5,2022-02-14,2.1186247,8.034195,2.4240913
