depth,latitude,longitude,time,dissic,ph,talk
0.49402538,-32.25,115.5,2021-11-01,2.1018944,8.10741,2.4047663
0.49402538,-32.25,115.5,2021-11-02,2.1024547,8.108965,2.4049325
0.49402538,-32.25,115.5,2021-11-03,2.103015,8.105431,2.4050987
0.49402538,-32.25,115.5,2021-11-04,2.103575,8.10311,2.4052649
0.49402538,-32.25,115.5,2021-11-05,2.1041353,8.103799,2.4054308
0.49402538,-32.25,115.5,2021-11-06,2.1046956,8.103902,2.405597
0.49402538,-32.25,115.5,2021-11-07,2.1053731,8.104751,2.4058874
0.49402538,-32.25,115.5,2021-11-08,2.106051,8.104478,2.4061775
0.49402538,-32.25,115.5,2021-11-09,2.1067286,8.104363,2.4064677
0.49402538,-32.25,115.5,2021-11-10,2.1074064,8.103039,2.406758
0.49402538,-32.25,115.5,2021-11-11,2.108084,8.101044,2.4070482
0.49402538,-32.25,115.5,2021-11-12,2.1087615,8.098732,2.4073386
0.49402538,-32.25,115.5,2021-11-13,2.1094396,8.096481,2.4076288
0.49402538,-32.25,115.5,2021-11-14,2.1093662,8.094593,2.4077754
0.49402538,-32.25,115.5,2021-11-15,2.1092927,8.089064,2.407922
0.49402538,-32.25,115.5,2021-11-16,2.1092193,8.08325,2.4080684
0.49402538,-32.25,115.5,2021-11-17,2.1091459,8.079951,2.408215
0.49402538,-32.25,115.5,2021-11-18,2.1090727,8.081889,2.4083617
0.49402538,-32.25,115.5,2021-11-19,2.1089993,8.085073,2.4085083
0.49402538,-32.25,115.5,2021-11-20,2.108926,8.082169,2.4086547
0.49402538,-32.25,115.5,2021-11-21,2.109424,8.078803,2.4090226
0.49402538,-32.25,115.5,2021-11-22,2.1099222,8.080587,2.4093902
0.49402538,-32.25,115.5,2021-11-23,2.1104202,8.081424,2.4097579
0.49402538,-32.25,115.5,2021-11-24,2.1109183,8.077843,2.4101255
0.49402538,-32.25,115.5,2021-11-25,2.1114163,8.074111,2.4104931
0.49402538,-32.25,115.5,2021-11-26,2.1119144,8.070216,2.410861
0.49402538,-32.25,115.5,2021-11-27,2.1124122,8.062375,2.4112284
0.49402538,-32.25,115.5,2021-11-28,2.1125495,8.055383,2.4116683
0.49402538,-32.25,115.5,2021-11-29,2.1126869,8.058653,2.4121082
0.49402538,-32.25,115.5,2021-11-30,2.1128242,8.065962,2.412548
0.49402538,-32.25,115.5,2021-12-01,2.1129615,8.069238,2.412988
0.49402538,-32.25,115.5,2021-12-02,2.1130986,8.070922,2.4134276
0.49402538,-32.25,115.5,2021-12-03,2.113236,8.0722685,2.4138675
0.49402538,-32.25,115.5,2021-12-04,2.1133733,8.071933,2.4143074
0.49402538,-32.25,115.5,2021-12-05,2.1133134,8.070918,2.4144711
0.49402538,-32.25,115.5,2021-12-06,2.1132536,8.071723,2.4146354
0.49402538,-32.25,115.5,2021-12-07,2.1131938,8.070144,2.4147992
0.49402538,-32.25,115.5,2021-12-08,2.1131341,8.061088,2.4149632
0.49402538,-32.25,115.5,2021-12-09,2.113074,8.057022,2.4151275
0.49402538,-32.25,115.5,2021-12-10,2.1130142,8.060423,2.4152913
0.49402538,-32.25,115.5,2021-12-11,2.1129546,8.060739,2.4154553
0.49402538,-32.25,115.5,2021-12-12,2.1130857,8.061365,2.4156964
0.49402538,-32.25,115.5,2021-12-13,2.1132166,8.0630045,2.4159374
0.49402538,-32.25,115.5,2021-12-14,2.1133478,8.064441,2.4161782
0.49402538,-32.25,115.5,2021-12-15,2.113479,8.067425,2.4164193
0.49402538,-32.25,115.5,2021-12-16,2.11361,8.069247,2.41666
0.49402538,-32.25,115.5,2021-12-17,2.1137412,8.069798,2.416901
0.49402538,-32.25,115.5,2021-12-18,2.113872,8.069909,2.4171422
0.49402538,-32.25,115.5,2021-12-19,2.1141493,8.066528,2.417413
0.49402538,-32.25,115.5,2021-12-20,2.1144269,8.064474,2.4176838
0.49402538,-32.25,115.5,2021-12-21,2.1147041,8.065854,2.4179547
0.49402538,-32.25,115.5,2021-12-22,2.1149814,8.066029,2.4182258
0.49402538,-32.25,115.5,2021-12-23,2.1152587,8.064696,2.4184966
0.49402538,-32.25,115.5,2021-12-24,2.1155362,8.06383,2.4187672
0.49402538,-32.25,115.5,2021-12-25,2.1158135,8.060339,2.4190383
0.49402538,-32.25,115.5,2021-12-26,2.1157742,8.053168,2.4190385
0.49402538,-32.25,115.5,2021-12-27,2.1157348,8.04692,2.4190388
0.49402538,-32.25,115.5,2021-12-28,2.1156957,8.04182,2.419039
0.49402538,-32.25,115.5,2021-12-29,2.1156564,8.037367,2.4190392
0.49402538,-32.25,115.5,2021-12-30,2.1156173,8.039051,2.4190395
0.49402538,-32.25,115.5,2021-12-31,2.115578,8.045699,2.4190397
0.49402538,-32.25,115.5,2022-01-01,2.1155388,8.051363,2.4190397
0.49402538,-32.25,115.5,2022-01-02,2.115484,8.053777,2.4189928
0.49402538,-32.25,115.5,2022-01-03,2.1154294,8.053184,2.4189456
0.49402538,-32.25,115.5,2022-01-04,2.1153748,8.05207,2.418898
0.49402538,-32.25,115.5,2022-01-05,2.1153204,8.049667,2.4188511
0.49402538,-32.25,115.5,2022-01-06,2.1152658,8.0470295,2.418804
0.49402538,-32.25,115.5,2022-01-07,2.1152112,8.046823,2.4187565
0.49402538,-32.25,115.5,2022-01-08,2.1151567,8.048685,2.4187095
0.49402538,-32.25,115.5,2022-01-09,2.114986,8.051954,2.4185781
0.49402538,-32.25,115.5,2022-01-10,2.1148152,8.05371,2.418447
0.49402538,-32.25,115.5,2022-01-11,2.1146445,8.052181,2.418316
0.49402538,-32.25,115.5,2022-01-12,2.1144738,8.0492325,2.4181845
0.49402538,-32.25,115.5,2022-01-13,2.114303,8.049028,2.4180534
0.49402538,-32.25,115.5,2022-01-14,2.1141324,8.050374,2.417922
