Header,Value
Agency Name,European Space Agency
Agency Code,ESA
Program,Global Ocean Colour (GLOBCOLOR)
Project,Cockburn Sound Model Virtual Sensor
Tag,ESA-GC-OPT
Data File Name,CMEMS_optics_polygon_5_ColoredDissolvedOrganicMatter_profile_Data.csv
Location,data-warehouse/csv/ESA/globcolor/optics
Station Status,Active
Lat,-32.5807
Long,115.3899
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,ESA-globcolor-optics-Ocean_Boundary_Polygon_5
Site Description,Ocean Boundary Polygon 5
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var02719
Data Category,Water Quality (Nutrient)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Colored Dissolved Organic Matter
QC,NaN
