time,latitude,longitude,PP
2007-10-01,-32.187504,115.52084,641.444
2007-11-01,-32.187504,115.52084,548.5851
2007-12-01,-32.187504,115.52084,535.2182
2008-01-01,-32.187504,115.52084,568.37585
2008-02-01,-32.187504,115.52084,664.48895
2008-03-01,-32.187504,115.52084,832.4812
2008-04-01,-32.187504,115.52084,645.6805
2008-05-01,-32.187504,115.52084,526.8482
2008-06-01,-32.187504,115.52084,573.6509
2008-07-01,-32.187504,115.52084,457.54614
2008-08-01,-32.187504,115.52084,585.44946
2008-09-01,-32.187504,115.52084,530.65265
2008-10-01,-32.187504,115.52084,516.63153
2008-11-01,-32.187504,115.52084,556.60724
2008-12-01,-32.187504,115.52084,578.56415
2009-01-01,-32.187504,115.52084,578.73834
2009-02-01,-32.187504,115.52084,642.47076
2009-03-01,-32.187504,115.52084,754.05615
2009-04-01,-32.187504,115.52084,692.82404
2009-05-01,-32.187504,115.52084,739.19196
2009-06-01,-32.187504,115.52084,534.43475
2009-07-01,-32.187504,115.52084,547.49347
2009-08-01,-32.187504,115.52084,608.55066
2009-09-01,-32.187504,115.52084,643.8266
2009-10-01,-32.187504,115.52084,553.8316
2009-11-01,-32.187504,115.52084,593.98865
2009-12-01,-32.187504,115.52084,552.4325
2010-01-01,-32.187504,115.52084,552.93994
2010-02-01,-32.187504,115.52084,598.2179
2010-03-01,-32.187504,115.52084,675.14636
2010-04-01,-32.187504,115.52084,603.97437
2010-05-01,-32.187504,115.52084,649.5892
2010-06-01,-32.187504,115.52084,606.41327
2010-07-01,-32.187504,115.52084,509.06387
2010-08-01,-32.187504,115.52084,526.09564
2010-09-01,-32.187504,115.52084,496.9044
2010-10-01,-32.187504,115.52084,498.94803
2010-11-01,-32.187504,115.52084,496.88806
2010-12-01,-32.187504,115.52084,520.25775
2011-01-01,-32.187504,115.52084,671.2218
2011-02-01,-32.187504,115.52084,706.517
2011-03-01,-32.187504,115.52084,950.3122
2011-04-01,-32.187504,115.52084,691.5433
2011-05-01,-32.187504,115.52084,640.99097
2011-06-01,-32.187504,115.52084,501.72964
2011-07-01,-32.187504,115.52084,416.95047
2011-08-01,-32.187504,115.52084,617.55756
2011-09-01,-32.187504,115.52084,640.8853
2011-10-01,-32.187504,115.52084,554.6319
2011-11-01,-32.187504,115.52084,508.9651
2011-12-01,-32.187504,115.52084,481.68024
2012-01-01,-32.187504,115.52084,584.30115
2012-02-01,-32.187504,115.52084,695.4432
2012-03-01,-32.187504,115.52084,774.715
2012-04-01,-32.187504,115.52084,563.42804
2012-05-01,-32.187504,115.52084,594.3371
2012-06-01,-32.187504,115.52084,449.54282
2012-07-01,-32.187504,115.52084,455.83438
2012-08-01,-32.187504,115.52084,478.3569
2012-09-01,-32.187504,115.52084,537.5849
2012-10-01,-32.187504,115.52084,512.38806
2012-11-01,-32.187504,115.52084,506.36423
2012-12-01,-32.187504,115.52084,590.09863
2013-01-01,-32.187504,115.52084,604.49744
2013-02-01,-32.187504,115.52084,608.6514
2013-03-01,-32.187504,115.52084,664.95465
2013-04-01,-32.187504,115.52084,481.63235
2013-05-01,-32.187504,115.52084,628.95776
2013-06-01,-32.187504,115.52084,455.7072
2013-07-01,-32.187504,115.52084,458.3852
2013-08-01,-32.187504,115.52084,545.2281
2013-09-01,-32.187504,115.52084,674.64276
2013-10-01,-32.187504,115.52084,629.59015
2013-11-01,-32.187504,115.52084,534.16077
2013-12-01,-32.187504,115.52084,530.6271
2014-01-01,-32.187504,115.52084,649.0486
2014-02-01,-32.187504,115.52084,555.52386
2014-03-01,-32.187504,115.52084,592.1123
2014-04-01,-32.187504,115.52084,667.00195
2014-05-01,-32.187504,115.52084,565.9417
2014-06-01,-32.187504,115.52084,595.86676
2014-07-01,-32.187504,115.52084,471.48654
2014-08-01,-32.187504,115.52084,456.02682
2014-09-01,-32.187504,115.52084,573.5061
2014-10-01,-32.187504,115.52084,609.8815
2014-11-01,-32.187504,115.52084,532.98285
2014-12-01,-32.187504,115.52084,506.5837
2015-01-01,-32.187504,115.52084,537.40546
2015-02-01,-32.187504,115.52084,573.063
2015-03-01,-32.187504,115.52084,573.7466
2015-04-01,-32.187504,115.52084,549.398
2015-05-01,-32.187504,115.52084,613.305
2015-06-01,-32.187504,115.52084,559.86786
2015-07-01,-32.187504,115.52084,474.17188
2015-08-01,-32.187504,115.52084,420.12558
2015-09-01,-32.187504,115.52084,507.08463
2015-10-01,-32.187504,115.52084,450.71274
2015-11-01,-32.187504,115.52084,553.56647
2015-12-01,-32.187504,115.52084,517.6879
2016-01-01,-32.187504,115.52084,551.3536
2016-02-01,-32.187504,115.52084,583.52344
2016-03-01,-32.187504,115.52084,547.6037
2016-04-01,-32.187504,115.52084,534.4929
2016-05-01,-32.187504,115.52084,571.0481
2016-06-01,-32.187504,115.52084,480.413
2016-07-01,-32.187504,115.52084,463.71432
2016-08-01,-32.187504,115.52084,568.7518
2016-09-01,-32.187504,115.52084,524.0874
2016-10-01,-32.187504,115.52084,504.57327
2016-11-01,-32.187504,115.52084,522.24554
2016-12-01,-32.187504,115.52084,509.12033
2017-01-01,-32.187504,115.52084,554.53485
2017-02-01,-32.187504,115.52084,595.74365
2017-03-01,-32.187504,115.52084,734.3556
2017-04-01,-32.187504,115.52084,583.20746
2017-05-01,-32.187504,115.52084,563.80804
2017-06-01,-32.187504,115.52084,580.9619
2017-07-01,-32.187504,115.52084,405.52106
2017-08-01,-32.187504,115.52084,577.8375
2017-09-01,-32.187504,115.52084,653.0106
2017-10-01,-32.187504,115.52084,686.73804
2017-11-01,-32.187504,115.52084,606.4404
2017-12-01,-32.187504,115.52084,550.8995
