time,latitude,longitude,KD490,ZSD,SPM
1997-09-04,-32.187504,115.35417,,,
1997-09-05,-32.187504,115.35417,,,
1997-09-06,-32.187504,115.35417,,,
1997-09-07,-32.187504,115.35417,,,
1997-09-08,-32.187504,115.35417,,,
1997-09-09,-32.187504,115.35417,,,
1997-09-10,-32.187504,115.35417,,,
1997-09-11,-32.187504,115.35417,,,
1997-09-12,-32.187504,115.35417,,,
1997-09-13,-32.187504,115.35417,,,
1997-09-14,-32.187504,115.35417,,,
1997-09-15,-32.187504,115.35417,,,
1997-09-16,-32.187504,115.35417,0.041412584,22.301296,0.355709
1997-09-17,-32.187504,115.35417,,,
1997-09-18,-32.187504,115.35417,,,
1997-09-19,-32.187504,115.35417,,,
1997-09-20,-32.187504,115.35417,,,
1997-09-21,-32.187504,115.35417,,,
1997-09-22,-32.187504,115.35417,0.03760744,25.195427,0.35205242
1997-09-23,-32.187504,115.35417,0.037902437,24.943384,0.3514385
1997-09-24,-32.187504,115.35417,0.04218679,21.7941,0.5577412
1997-09-25,-32.187504,115.35417,,,
1997-09-26,-32.187504,115.35417,,,
1997-09-27,-32.187504,115.35417,,,
1997-09-28,-32.187504,115.35417,,,
1997-09-29,-32.187504,115.35417,,,
1997-09-30,-32.187504,115.35417,,,
1997-10-01,-32.187504,115.35417,,,
1997-10-02,-32.187504,115.35417,,,
1997-10-03,-32.187504,115.35417,0.04285406,21.375467,0.3502526
1997-10-04,-32.187504,115.35417,0.042885475,21.35616,0.37394065
1997-10-05,-32.187504,115.35417,0.043561824,20.94893,0.3546675
1997-10-06,-32.187504,115.35417,,,
1997-10-07,-32.187504,115.35417,0.04582062,19.695778,0.47412172
1997-10-08,-32.187504,115.35417,,,
1997-10-09,-32.187504,115.35417,,,
1997-10-10,-32.187504,115.35417,,,
1997-10-11,-32.187504,115.35417,,,
1997-10-12,-32.187504,115.35417,,,
1997-10-13,-32.187504,115.35417,,,
1997-10-14,-32.187504,115.35417,,,
1997-10-15,-32.187504,115.35417,,,
1997-10-16,-32.187504,115.35417,,,
1997-10-17,-32.187504,115.35417,,,
1997-10-18,-32.187504,115.35417,,,
1997-10-19,-32.187504,115.35417,,,
1997-10-20,-32.187504,115.35417,,,
1997-10-21,-32.187504,115.35417,0.039168842,23.918482,0.32413158
1997-10-22,-32.187504,115.35417,,,
1997-10-23,-32.187504,115.35417,,,
1997-10-24,-32.187504,115.35417,,,
1997-10-25,-32.187504,115.35417,0.039579898,23.604332,0.32694665
1997-10-26,-32.187504,115.35417,0.037849914,24.987871,0.3010223
1997-10-27,-32.187504,115.35417,0.038493074,24.454231,0.29866806
1997-10-28,-32.187504,115.35417,0.040644895,22.828686,0.3002987
1997-10-29,-32.187504,115.35417,,,
1997-10-30,-32.187504,115.35417,0.045733966,19.741062,0.4134702
1997-10-31,-32.187504,115.35417,,,
1997-11-01,-32.187504,115.35417,0.040290255,23.081074,0.3268713
1997-11-02,-32.187504,115.35417,,,
1997-11-03,-32.187504,115.35417,0.039971206,23.313097,0.29904693
1997-11-04,-32.187504,115.35417,,,
1997-11-05,-32.187504,115.35417,,,
1997-11-06,-32.187504,115.35417,0.0429521,21.315332,0.3394751
1997-11-07,-32.187504,115.35417,0.044248976,20.551,0.36788347
1997-11-08,-32.187504,115.35417,0.040476646,22.947714,0.34387064
1997-11-09,-32.187504,115.35417,0.04051947,22.917297,0.30606636
1997-11-10,-32.187504,115.35417,0.038003035,24.858633,0.40359196
1997-11-11,-32.187504,115.35417,,,
1997-11-12,-32.187504,115.35417,,,
1997-11-13,-32.187504,115.35417,,,
1997-11-14,-32.187504,115.35417,0.039657637,23.545876,0.4780166
1997-11-15,-32.187504,115.35417,,,
1997-11-16,-32.187504,115.35417,0.04041297,22.993093,0.34217766
1997-11-17,-32.187504,115.35417,0.040712003,22.781565,0.3378806
1997-11-18,-32.187504,115.35417,0.03934873,23.779943,0.32459
1997-11-19,-32.187504,115.35417,0.037193462,25.55825,0.3559401
1997-11-20,-32.187504,115.35417,,,
1997-11-21,-32.187504,115.35417,,,
1997-11-22,-32.187504,115.35417,,,
1997-11-23,-32.187504,115.35417,,,
1997-11-24,-32.187504,115.35417,,,
1997-11-25,-32.187504,115.35417,,,
1997-11-26,-32.187504,115.35417,,,
1997-11-27,-32.187504,115.35417,,,
1997-11-28,-32.187504,115.35417,0.035787385,26.87716,0.32945788
1997-11-29,-32.187504,115.35417,,,
1997-11-30,-32.187504,115.35417,0.034915693,27.7698,0.37644878
1997-12-01,-32.187504,115.35417,0.039954476,23.3254,0.8388625
1997-12-02,-32.187504,115.35417,0.0438089,20.804066,0.40946075
1997-12-03,-32.187504,115.35417,,,
1997-12-04,-32.187504,115.35417,,,
1997-12-05,-32.187504,115.35417,,,
1997-12-06,-32.187504,115.35417,0.039478008,23.6814,0.37051457
1997-12-07,-32.187504,115.35417,,,
1997-12-08,-32.187504,115.35417,0.038534924,24.42033,0.31051856
1997-12-09,-32.187504,115.35417,0.035107117,27.568415,0.30825183
1997-12-10,-32.187504,115.35417,,,
1997-12-11,-32.187504,115.35417,0.03556917,27.094862,0.41378358
1997-12-12,-32.187504,115.35417,0.035665587,26.998213,0.35459748
1997-12-13,-32.187504,115.35417,0.03824042,24.661003,0.38833064
1997-12-14,-32.187504,115.35417,,,
1997-12-15,-32.187504,115.35417,,,
1997-12-16,-32.187504,115.35417,,,
1997-12-17,-32.187504,115.35417,0.036426194,26.26058,0.3599471
1997-12-18,-32.187504,115.35417,0.03717054,25.578663,0.31505567
1997-12-19,-32.187504,115.35417,,,
1997-12-20,-32.187504,115.35417,,,
1997-12-21,-32.187504,115.35417,0.037537523,25.255945,0.29570246
1997-12-22,-32.187504,115.35417,0.036589943,26.1073,0.31165555
1997-12-23,-32.187504,115.35417,0.040973984,22.599504,0.23066512
1997-12-24,-32.187504,115.35417,0.037129827,25.615,0.41313484
1997-12-25,-32.187504,115.35417,,,
1997-12-26,-32.187504,115.35417,0.03623457,26.442379,0.3965046
1997-12-27,-32.187504,115.35417,,,
1997-12-28,-32.187504,115.35417,0.040699463,22.790354,0.46663415
1997-12-29,-32.187504,115.35417,0.036878727,25.84152,0.29726934
1997-12-30,-32.187504,115.35417,0.03767217,25.139666,0.29221204
1997-12-31,-32.187504,115.35417,0.03545583,27.209417,0.31960413
1998-01-01,-32.187504,115.35417,0.036155123,26.518534,0.35931784
1998-01-02,-32.187504,115.35417,0.037388895,25.385612,0.29910302
1998-01-03,-32.187504,115.35417,,,
1998-01-04,-32.187504,115.35417,0.037956864,24.897457,0.44232783
1998-01-05,-32.187504,115.35417,,,
1998-01-06,-32.187504,115.35417,0.03482805,27.863054,0.32031813
1998-01-07,-32.187504,115.35417,,,
1998-01-08,-32.187504,115.35417,0.034412876,28.314043,0.37252456
1998-01-09,-32.187504,115.35417,0.034459133,28.263025,0.31806126
1998-01-10,-32.187504,115.35417,0.035472997,27.192001,0.27416795
