Variable,Date,Depth,Data,QC
TDP,1991-04-24 00:00:00,21.0,0.005,N
TDP,1991-05-06 00:00:00,21.0,0.019,N
TDP,1991-05-20 00:00:00,21.0,0.009000000000000001,N
TDP,1991-06-04 00:00:00,21.0,0.022,N
TDP,1991-06-20 00:00:00,21.0,0.021,N
TDP,1991-07-01 00:00:00,21.0,0.021,N
TDP,1991-07-15 00:00:00,21.0,0.011,N
TDP,1991-07-29 00:00:00,21.0,0.02,N
TDP,1991-08-16 00:00:00,21.0,0.023,N
