time,spco2
2021-11-01,33.80019
2021-11-02,33.66259
2021-11-03,33.949615
2021-11-04,34.15641
2021-11-05,34.105553
2021-11-06,34.102097
2021-11-07,34.015335
2021-11-08,34.04207
2021-11-09,34.097076
2021-11-10,34.197067
2021-11-11,34.320286
2021-11-12,34.51876
2021-11-13,34.761368
2021-11-14,34.968132
2021-11-15,35.447014
2021-11-16,36.087524
2021-11-17,36.449413
2021-11-18,36.161854
2021-11-19,35.799194
2021-11-20,36.054485
2021-11-21,36.44404
2021-11-22,36.315437
2021-11-23,36.203705
2021-11-24,36.486877
2021-11-25,36.773724
2021-11-26,37.13533
2021-11-27,37.923626
2021-11-28,38.628506
2021-11-29,38.358273
2021-11-30,37.656525
2021-12-01,37.301857
2021-12-02,37.075287
2021-12-03,36.86953
2021-12-04,36.8968
2021-12-05,37.036842
2021-12-06,37.020725
2021-12-07,37.16448
2021-12-08,37.902306
2021-12-09,38.32158
2021-12-10,38.2238
2021-12-11,38.304794
2021-12-12,38.138195
2021-12-13,37.799053
2021-12-14,37.49609
2021-12-15,37.12582
2021-12-16,36.922935
2021-12-17,36.84857
2021-12-18,36.799873
2021-12-19,37.08378
2021-12-20,37.274258
2021-12-21,37.212215
2021-12-22,37.311928
2021-12-23,37.54608
2021-12-24,37.73037
2021-12-25,38.17073
2021-12-26,39.014656
2021-12-27,39.70327
2021-12-28,40.328545
2021-12-29,40.89777
2021-12-30,40.6395
2021-12-31,39.88822
2022-01-01,39.240444
2022-01-02,38.85502
2022-01-03,38.814896
2022-01-04,38.96597
2022-01-05,39.326927
2022-01-06,39.639343
2022-01-07,39.74092
2022-01-08,39.645416
2022-01-09,39.20706
2022-01-10,38.888393
2022-01-11,39.05661
2022-01-12,39.432964
2022-01-13,39.501305
2022-01-14,39.44716
2022-01-15,39.474037
2022-01-16,39.31836
2022-01-17,39.28163
2022-01-18,39.905506
2022-01-19,40.597908
2022-01-20,41.107414
2022-01-21,41.65278
2022-01-22,42.14483
2022-01-23,42.42751
2022-01-24,41.85363
2022-01-25,41.040054
2022-01-26,40.692314
2022-01-27,40.485485
2022-01-28,40.333042
2022-01-29,40.646286
2022-01-30,40.78282
2022-01-31,40.432617
2022-02-01,40.070736
2022-02-02,39.89785
2022-02-03,40.384064
2022-02-04,40.91298
2022-02-05,41.521492
2022-02-06,41.492558
2022-02-07,40.500565
2022-02-08,40.315826
2022-02-09,40.31363
2022-02-10,40.31138
2022-02-11,40.75142
2022-02-12,40.714943
2022-02-13,40.538567
2022-02-14,40.98024
2022-02-15,41.698135
2022-02-16,42.110138
2022-02-17,42.095726
2022-02-18,42.176407
2022-02-19,42.37744
2022-02-20,42.205402
2022-02-21,42.06004
2022-02-22,41.922867
2022-02-23,41.588272
2022-02-24,41.402824
2022-02-25,41.464912
2022-02-26,41.426582
2022-02-27,41.23905
2022-02-28,41.334923
2022-03-01,41.336044
2022-03-02,40.91349
2022-03-03,40.415703
2022-03-04,40.082943
2022-03-05,40.06553
2022-03-06,40.305717
2022-03-07,40.481766
2022-03-08,40.58058
2022-03-09,40.755093
2022-03-10,41.00498
2022-03-11,41.219955
2022-03-12,41.3976
2022-03-13,41.78466
2022-03-14,42.074158
2022-03-15,41.848034
2022-03-16,41.48285
2022-03-17,41.53528
2022-03-18,41.727287
2022-03-19,41.451256
2022-03-20,41.08716
2022-03-21,40.75453
2022-03-22,40.32953
2022-03-23,39.975735
2022-03-24,39.769653
2022-03-25,39.912796
2022-03-26,40.165234
2022-03-27,39.913918
2022-03-28,39.437363
2022-03-29,39.263218
2022-03-30,39.330597
2022-03-31,39.451347
2022-04-01,39.466995
2022-04-02,39.674713
2022-04-03,40.00831
2022-04-04,39.81166
2022-04-05,39.347782
2022-04-06,39.133858
2022-04-07,39.11559
2022-04-08,39.082253
2022-04-09,38.81224
2022-04-10,38.445274
2022-04-11,38.22257
2022-04-12,38.049995
2022-04-13,37.84031
2022-04-14,37.700455
2022-04-15,37.705513
2022-04-16,37.670227
2022-04-17,37.459747
2022-04-18,37.277607
2022-04-19,37.230507
2022-04-20,37.15072
2022-04-21,36.96856
2022-04-22,36.768974
2022-04-23,36.588444
2022-04-24,36.5496
2022-04-25,36.45401
2022-04-26,36.19111
2022-04-27,35.944744
2022-04-28,35.7358
2022-04-29,35.65039
2022-04-30,35.646767
2022-05-01,35.606243
2022-05-02,35.63108
2022-05-03,35.48251
2022-05-04,35.09735
2022-05-05,34.707573
2022-05-06,34.40773
2022-05-07,34.244347
2022-05-08,34.332054
2022-05-09,34.574562
2022-05-10,34.636414
2022-05-11,34.50937
2022-05-12,34.226547
2022-05-13,33.890533
2022-05-14,33.694878
2022-05-15,33.526848
2022-05-16,33.274475
2022-05-17,33.176636
2022-05-18,33.57209
2022-05-19,34.377594
2022-05-20,34.888195
2022-05-21,34.943314
2022-05-22,34.85427
2022-05-23,34.719116
2022-05-24,34.511208
2022-05-25,34.3726
2022-05-26,34.279278
2022-05-27,34.168686
2022-05-28,34.109657
2022-05-29,33.80248
2022-05-30,33.425564
2022-05-31,33.263763
2022-06-01,33.1823
2022-06-02,33.081757
2022-06-03,32.93296
2022-06-04,32.90748
2022-06-05,32.920242
2022-06-06,32.832653
2022-06-07,32.774055
2022-06-08,32.80192
2022-06-09,32.849213
2022-06-10,32.77606
2022-06-11,32.76736
2022-06-12,32.890842
2022-06-13,32.775185
2022-06-14,32.562866
2022-06-15,32.445457
2022-06-16,32.527557
2022-06-17,32.768158
2022-06-18,32.72897
2022-06-19,32.50359
2022-06-20,32.3589
2022-06-21,32.247948
2022-06-22,32.238014
2022-06-23,32.379765
2022-06-24,32.526726
2022-06-25,32.67395
2022-06-26,32.760723
2022-06-27,32.74253
2022-06-28,32.537468
2022-06-29,32.189568
2022-06-30,32.02007
2022-07-01,32.08308
2022-07-02,32.24826
2022-07-03,32.258724
2022-07-04,32.058254
2022-07-05,31.926544
2022-07-06,31.905535
2022-07-07,31.869875
2022-07-08,31.836704
2022-07-09,31.885235
2022-07-10,31.8082
2022-07-11,31.648262
2022-07-12,31.565796
2022-07-13,31.472528
2022-07-14,31.397709
2022-07-15,31.317436
2022-07-16,31.273052
2022-07-17,31.205723
2022-07-18,31.127419
2022-07-19,31.06054
2022-07-20,30.985065
2022-07-21,30.888405
2022-07-22,30.815598
2022-07-23,30.768787
2022-07-24,30.549686
2022-07-25,30.328064
2022-07-26,30.259815
2022-07-27,30.486507
2022-07-28,31.05548
2022-07-29,31.501602
2022-07-30,31.472635
2022-07-31,31.205988
2022-08-01,31.060005
2022-08-02,30.907726
2022-08-03,30.69088
2022-08-04,30.50645
2022-08-05,30.382145
2022-08-06,30.288673
2022-08-07,30.310183
2022-08-08,30.582333
2022-08-09,30.724758
2022-08-10,30.567112
2022-08-11,30.521507
2022-08-12,30.520031
2022-08-13,30.54234
2022-08-14,30.74553
2022-08-15,30.959282
2022-08-16,31.046902
2022-08-17,30.99274
2022-08-18,30.952457
2022-08-19,30.999348
2022-08-20,31.07952
2022-08-21,31.087048
2022-08-22,30.87098
2022-08-23,30.619295
2022-08-24,30.585537
2022-08-25,31.006279
2022-08-26,31.61099
2022-08-27,31.731388
2022-08-28,31.328419
2022-08-29,30.934055
2022-08-30,30.782497
2022-08-31,30.673737
2022-09-01,30.595945
2022-09-02,30.552498
