time,spco2
2022-06-22,35.188248
2022-06-23,35.476746
2022-06-24,35.51858
2022-06-25,35.433086
2022-06-26,35.272152
2022-06-27,35.126938
2022-06-28,34.999657
2022-06-29,34.838665
2022-06-30,34.800575
2022-07-01,34.954006
2022-07-02,35.028038
2022-07-03,34.904602
2022-07-04,34.756397
2022-07-05,34.68722
2022-07-06,34.689884
2022-07-07,34.702923
2022-07-08,34.810352
2022-07-09,34.81408
2022-07-10,34.510994
2022-07-11,34.27811
2022-07-12,34.17206
2022-07-13,34.032093
2022-07-14,33.763054
2022-07-15,33.337875
2022-07-16,33.153667
2022-07-17,33.12513
2022-07-18,32.99324
2022-07-19,32.844376
2022-07-20,32.783245
2022-07-21,32.96478
2022-07-22,33.208454
2022-07-23,33.24371
2022-07-24,33.125282
2022-07-25,33.060467
2022-07-26,33.162193
2022-07-27,33.425293
2022-07-28,33.702007
2022-07-29,33.88435
2022-07-30,33.839832
2022-07-31,33.71512
2022-08-01,33.863705
2022-08-02,34.08586
2022-08-03,33.996887
2022-08-04,33.671024
2022-08-05,33.421154
2022-08-06,33.366367
2022-08-07,33.520466
2022-08-08,33.660107
2022-08-09,33.542088
2022-08-10,33.407803
2022-08-11,33.39291
2022-08-12,33.38673
2022-08-13,33.47811
2022-08-14,33.68077
2022-08-15,33.751423
2022-08-16,33.653164
2022-08-17,33.59463
2022-08-18,33.735546
2022-08-19,33.899937
2022-08-20,33.94359
2022-08-21,34.005863
2022-08-22,34.018276
2022-08-23,33.98079
2022-08-24,33.965214
2022-08-25,33.924763
2022-08-26,33.683285
2022-08-27,33.21786
2022-08-28,32.841488
2022-08-29,32.70679
2022-08-30,32.67519
2022-08-31,32.65431
2022-09-01,32.64528
2022-09-02,32.555134
2022-09-03,32.415005
2022-09-04,32.32147
2022-09-05,32.258945
2022-09-06,32.269505
2022-09-07,32.33031
2022-09-08,32.397045
2022-09-09,32.656788
2022-09-10,32.835724
2022-09-11,32.97874
2022-09-12,33.03292
2022-09-13,32.799877
2022-09-14,32.568295
2022-09-15,32.390118
2022-09-16,32.273205
2022-09-17,32.308357
2022-09-18,32.394302
2022-09-19,32.258274
2022-09-20,32.104427
2022-09-21,32.143528
2022-09-22,32.195362
2022-09-23,32.357754
2022-09-24,32.45653
2022-09-25,32.596924
2022-09-26,32.779858
2022-09-27,32.868423
2022-09-28,32.961304
2022-09-29,33.05064
2022-09-30,33.15933
2022-10-01,33.196976
2022-10-02,33.15291
2022-10-03,33.20717
2022-10-04,33.42992
2022-10-05,33.520638
2022-10-06,33.46814
2022-10-07,33.5994
2022-10-08,33.813236
2022-10-09,33.868587
2022-10-10,33.69219
2022-10-11,33.516598
2022-10-12,33.418297
2022-10-13,33.49007
2022-10-14,33.75163
2022-10-15,33.891052
2022-10-16,33.814434
2022-10-17,33.688213
2022-10-18,33.83469
2022-10-19,34.11923
2022-10-20,34.334698
2022-10-21,34.5081
2022-10-22,34.794098
2022-10-23,34.80634
2022-10-24,34.553066
2022-10-25,34.398964
2022-10-26,34.37869
2022-10-27,34.31288
2022-10-28,34.103123
2022-10-29,33.960842
2022-10-30,33.81068
2022-10-31,33.67899
2022-11-01,33.605423
2022-11-02,33.675694
2022-11-03,34.079433
2022-11-04,34.18018
2022-11-05,33.895447
2022-11-06,33.8134
2022-11-07,34.085575
2022-11-08,34.411842
2022-11-09,34.678253
2022-11-10,34.736454
2022-11-11,34.465637
2022-11-12,34.26962
2022-11-13,34.250698
2022-11-14,34.26072
2022-11-15,34.366222
2022-11-16,34.611053
2022-11-17,34.49782
2022-11-18,34.177853
2022-11-19,34.091763
2022-11-20,34.2805
2022-11-21,34.58209
2022-11-22,34.95695
2022-11-23,35.31569
2022-11-24,35.632908
2022-11-25,35.924316
2022-11-26,35.9798
2022-11-27,35.83759
2022-11-28,35.77239
2022-11-29,36.033516
2022-11-30,36.31218
2022-12-01,36.405315
2022-12-02,36.52961
2022-12-03,36.62952
2022-12-04,36.6116
2022-12-05,36.594875
2022-12-06,36.463833
2022-12-07,36.303726
2022-12-08,36.40848
2022-12-09,36.60132
2022-12-10,36.54831
2022-12-11,36.36282
2022-12-12,36.23186
2022-12-13,36.07008
2022-12-14,36.1434
2022-12-15,36.44431
2022-12-16,36.651978
2022-12-17,36.85346
2022-12-18,37.20941
2022-12-19,37.50372
2022-12-20,37.683285
2022-12-21,37.95577
2022-12-22,38.26605
2022-12-23,38.754513
2022-12-24,39.01276
2022-12-25,38.798935
2022-12-26,38.46587
2022-12-27,38.186287
2022-12-28,38.015194
2022-12-29,38.142773
2022-12-30,38.41499
2022-12-31,38.20088
2023-01-01,37.861065
2023-01-02,37.725147
2023-01-03,37.711487
2023-01-04,37.875393
2023-01-05,38.33548
2023-01-06,38.267097
2023-01-07,37.619648
2023-01-08,37.288193
2023-01-09,37.39224
2023-01-10,37.7636
2023-01-11,37.930027
2023-01-12,38.059032
2023-01-13,38.13664
2023-01-14,37.860596
2023-01-15,37.61385
2023-01-16,37.308155
2023-01-17,36.98676
2023-01-18,36.93675
2023-01-19,37.24406
2023-01-20,38.013466
2023-01-21,39.039997
2023-01-22,39.882286
2023-01-23,40.346058
2023-01-24,39.95872
2023-01-25,39.207146
2023-01-26,38.99573
2023-01-27,38.79724
2023-01-28,38.527176
2023-01-29,38.51795
2023-01-30,38.857513
2023-01-31,39.065495
2023-02-01,38.94536
2023-02-02,38.856388
2023-02-03,38.9354
2023-02-04,39.139507
2023-02-05,39.453644
2023-02-06,39.559986
2023-02-07,39.486454
2023-02-08,39.635376
2023-02-09,39.77348
2023-02-10,39.804543
2023-02-11,39.63599
2023-02-12,39.50579
2023-02-13,39.71465
2023-02-14,39.75333
2023-02-15,39.645924
2023-02-16,39.838406
2023-02-17,39.93084
2023-02-18,39.87334
2023-02-19,39.82509
2023-02-20,39.952564
2023-02-21,40.469406
2023-02-22,40.482464
2023-02-23,39.89916
2023-02-24,39.406094
2023-02-25,39.204025
2023-02-26,39.392994
2023-02-27,39.635784
2023-02-28,39.755707
2023-03-01,39.91025
2023-03-02,40.256313
2023-03-03,40.42212
2023-03-04,40.15314
2023-03-05,39.78356
2023-03-06,39.49376
2023-03-07,39.30827
2023-03-08,39.243343
2023-03-09,39.424366
2023-03-10,39.66445
2023-03-11,39.884094
2023-03-12,40.19475
2023-03-13,40.27331
2023-03-14,40.26131
2023-03-15,40.49204
2023-03-16,40.466
2023-03-17,40.089394
2023-03-18,39.841736
2023-03-19,39.70698
2023-03-20,39.707836
2023-03-21,39.869915
2023-03-22,39.947117
2023-03-23,40.0964
2023-03-24,40.13113
2023-03-25,39.9713
2023-03-26,39.82842
2023-03-27,39.66216
2023-03-28,39.5121
2023-03-29,39.365875
2023-03-30,39.26111
2023-03-31,39.157665
2023-04-01,39.127625
2023-04-02,39.200558
2023-04-03,39.26527
2023-04-04,39.174076
2023-04-05,39.045315
2023-04-06,38.96313
2023-04-07,38.83401
2023-04-08,38.639313
2023-04-09,38.507343
2023-04-10,38.43486
2023-04-11,38.308422
2023-04-12,38.307583
2023-04-13,38.31744
2023-04-14,38.01321
2023-04-15,37.65314
2023-04-16,37.563732
2023-04-17,37.62299
2023-04-18,37.485977
2023-04-19,37.247974
2023-04-20,37.061962
2023-04-21,36.98662
2023-04-22,37.078953
2023-04-23,37.198673
2023-04-24,37.058147
2023-04-25,36.690838
2023-04-26,36.36473
2023-04-27,36.10777
2023-04-28,35.948254
2023-04-29,35.846767
2023-04-30,35.775658
2023-05-01,35.713634
2023-05-02,35.68255
2023-05-03,35.717865
2023-05-04,35.762608
2023-05-05,35.729942
2023-05-06,35.60843
2023-05-07,35.584927
2023-05-08,35.861046
2023-05-09,36.17701
2023-05-10,36.186993
2023-05-11,36.009014
2023-05-12,35.928577
2023-05-13,35.913517
2023-05-14,35.84532
2023-05-15,35.77473
2023-05-16,35.749573
2023-05-17,35.73312
2023-05-18,35.674465
2023-05-19,35.631313
2023-05-20,35.602356
