depth,time,fe,no3,po4,si
0.49402538,2021-11-01,0.0033530064,0.005108157,0.11929859,2.821543
0.49402538,2021-11-02,0.0033878272,0.0059361197,0.118987605,2.8164191
0.49402538,2021-11-03,0.003373299,0.0075395782,0.119118676,2.8096297
0.49402538,2021-11-04,0.0033866307,0.0056729363,0.119148165,2.8071837
0.49402538,2021-11-05,0.0034566121,0.0047832895,0.118760556,2.8074641
0.49402538,2021-11-06,0.0035086642,0.004355766,0.118268326,2.7962294
0.49402538,2021-11-07,0.003505906,0.0038743764,0.117946446,2.7759519
0.49402538,2021-11-08,0.0034726362,0.0038426267,0.117823176,2.7539334
0.49402538,2021-11-09,0.0034297982,0.004077154,0.1179717,2.737209
0.49402538,2021-11-10,0.0033893513,0.0043371534,0.11809511,2.7225416
0.49402538,2021-11-11,0.0033781608,0.0041862326,0.118192814,2.7094934
0.49402538,2021-11-12,0.0033912798,0.0046371827,0.118210584,2.6985068
0.49402538,2021-11-13,0.0033992454,0.0044205245,0.118253835,2.6927469
0.49402538,2021-11-14,0.003421178,0.004913678,0.118282676,2.6937413
0.49402538,2021-11-15,0.003440608,0.007238836,0.1183934,2.703618
0.49402538,2021-11-16,0.0034999205,0.008598559,0.11853451,2.7178106
0.49402538,2021-11-17,0.0035168952,0.005879622,0.118769765,2.7262826
0.49402538,2021-11-18,0.0034757443,0.003464151,0.11920813,2.7307115
0.49402538,2021-11-19,0.0034657416,0.0032262085,0.1192415,2.7266169
0.49402538,2021-11-20,0.0034799026,0.004187561,0.11891557,2.7128844
0.49402538,2021-11-21,0.0034775545,0.004111427,0.11861421,2.6990817
0.49402538,2021-11-22,0.0034999275,0.0028159677,0.11860509,2.6958714
0.49402538,2021-11-23,0.0035099098,0.0032175244,0.118665874,2.682216
0.49402538,2021-11-24,0.0034955516,0.0037886505,0.11880291,2.6666176
0.49402538,2021-11-25,0.0034950362,0.004016816,0.118878536,2.6553411
0.49402538,2021-11-26,0.0035238573,0.004571327,0.11882131,2.6493187
0.49402538,2021-11-27,0.0035859975,0.006574401,0.118632145,2.648601
0.49402538,2021-11-28,0.0035925996,0.005067801,0.11849275,2.6508746
0.49402538,2021-11-29,0.0035523134,0.0030404776,0.1187706,2.6538157
0.49402538,2021-11-30,0.0034891837,0.0024866685,0.11929083,2.6489959
0.49402538,2021-12-01,0.003429242,0.0025136573,0.1196969,2.632955
0.49402538,2021-12-02,0.0033461181,0.002360903,0.12016476,2.615147
0.49402538,2021-12-03,0.0032480126,0.0024175588,0.12064549,2.5985184
0.49402538,2021-12-04,0.0031590732,0.0027371892,0.121070966,2.5850272
0.49402538,2021-12-05,0.0030875583,0.0026710778,0.121457815,2.5756192
0.49402538,2021-12-06,0.0030393011,0.0027929884,0.12183419,2.568622
0.49402538,2021-12-07,0.003022857,0.003582467,0.12205048,2.5626233
0.49402538,2021-12-08,0.0030475166,0.005215515,0.12204358,2.5587006
0.49402538,2021-12-09,0.002993884,0.0041746274,0.12210826,2.5574648
0.49402538,2021-12-10,0.0029905327,0.0035213716,0.1221659,2.5587416
0.49402538,2021-12-11,0.0030649444,0.0031219514,0.12200336,2.5607305
0.49402538,2021-12-12,0.0031106963,0.0024268392,0.122031994,2.5637195
0.49402538,2021-12-13,0.003126693,0.0024701227,0.122075796,2.5608954
0.49402538,2021-12-14,0.0031105757,0.0024371147,0.12221918,2.5541778
0.49402538,2021-12-15,0.0030802519,0.0022861504,0.12245745,2.5465508
0.49402538,2021-12-16,0.003051754,0.002405612,0.122674815,2.5408554
0.49402538,2021-12-17,0.0030627926,0.0024182084,0.122648075,2.5392895
0.49402538,2021-12-18,0.003120787,0.0025302735,0.12238625,2.5418856
0.49402538,2021-12-19,0.003176081,0.0030263257,0.1220856,2.544479
0.49402538,2021-12-20,0.0031760568,0.0026173017,0.122166336,2.5414863
0.49402538,2021-12-21,0.0031625272,0.002411345,0.12242995,2.5356646
0.49402538,2021-12-22,0.0031622201,0.0025465717,0.12264179,2.5303767
0.49402538,2021-12-23,0.0031649715,0.0027194489,0.12282285,2.5261474
0.49402538,2021-12-24,0.0031548017,0.0027934606,0.12314169,2.5218112
0.49402538,2021-12-25,0.0031368711,0.003646593,0.12383634,2.51696
0.49402538,2021-12-26,0.0031549796,0.0054450915,0.12452353,2.5124016
0.49402538,2021-12-27,0.003221116,0.0069736824,0.12460983,2.5111237
0.49402538,2021-12-28,0.0033245743,0.006769423,0.12392224,2.5126822
0.49402538,2021-12-29,0.0034048185,0.0046547307,0.123121694,2.5125544
0.49402538,2021-12-30,0.0034687417,0.0029651504,0.12271114,2.510111
0.49402538,2021-12-31,0.0034161638,0.0023067305,0.12313619,2.5071614
0.49402538,2022-01-01,0.0033025616,0.002262694,0.123903036,2.5048714
0.49402538,2022-01-02,0.0032679355,0.0024790028,0.124175884,2.5025704
0.49402538,2022-01-03,0.003279202,0.0025095553,0.12409319,2.5009093
0.49402538,2022-01-04,0.0033266838,0.0027049566,0.12385582,2.4999104
0.49402538,2022-01-05,0.0033653604,0.0032331685,0.12361653,2.4990733
0.49402538,2022-01-06,0.0033772886,0.0029042717,0.12344693,2.4980075
0.49402538,2022-01-07,0.0033620896,0.002657507,0.123407535,2.496823
0.49402538,2022-01-08,0.0032433537,0.0019838326,0.12391493,2.4953904
