depth,latitude,longitude,time,chl,phyc
0.49402538,-32.25,115.25,2021-11-01,0.1602022,1.2482435
0.49402538,-32.25,115.25,2021-11-02,0.16589653,1.2749658
0.49402538,-32.25,115.25,2021-11-03,0.15037866,1.2529328
0.49402538,-32.25,115.25,2021-11-04,0.13523115,1.2239438
0.49402538,-32.25,115.25,2021-11-05,0.13040325,1.1963199
0.49402538,-32.25,115.25,2021-11-06,0.13257103,1.174076
0.49402538,-32.25,115.25,2021-11-07,0.13968974,1.1802169
0.49402538,-32.25,115.25,2021-11-08,0.14545746,1.2030948
0.49402538,-32.25,115.25,2021-11-09,0.14580709,1.1999115
0.49402538,-32.25,115.25,2021-11-10,0.14684753,1.2104838
0.49402538,-32.25,115.25,2021-11-11,0.15053032,1.2512374
0.49402538,-32.25,115.25,2021-11-12,0.14405929,1.2538395
0.49402538,-32.25,115.25,2021-11-13,0.12992513,1.2072465
0.49402538,-32.25,115.25,2021-11-14,0.11707002,1.1578649
0.49402538,-32.25,115.25,2021-11-15,0.10882764,1.1377219
0.49402538,-32.25,115.25,2021-11-16,0.10170832,1.1233618
0.49402538,-32.25,115.25,2021-11-17,0.09867433,1.1094731
0.49402538,-32.25,115.25,2021-11-18,0.10323471,1.1012522
0.49402538,-32.25,115.25,2021-11-19,0.106263846,1.0930141
0.49402538,-32.25,115.25,2021-11-20,0.10697374,1.101356
0.49402538,-32.25,115.25,2021-11-21,0.109105684,1.1266164
0.49402538,-32.25,115.25,2021-11-22,0.11737033,1.1573906
0.49402538,-32.25,115.25,2021-11-23,0.12070544,1.175621
0.49402538,-32.25,115.25,2021-11-24,0.11754164,1.173677
0.49402538,-32.25,115.25,2021-11-25,0.11336144,1.1586622
0.49402538,-32.25,115.25,2021-11-26,0.10745719,1.1262584
0.49402538,-32.25,115.25,2021-11-27,0.1021876,1.1000539
0.49402538,-32.25,115.25,2021-11-28,0.097559795,1.0740464
0.49402538,-32.25,115.25,2021-11-29,0.09752382,1.058703
0.49402538,-32.25,115.25,2021-11-30,0.10125118,1.055455
0.49402538,-32.25,115.25,2021-12-01,0.10509772,1.0551525
0.49402538,-32.25,115.25,2021-12-02,0.1184981,1.077047
0.49402538,-32.25,115.25,2021-12-03,0.13550432,1.1203429
0.49402538,-32.25,115.25,2021-12-04,0.14091252,1.154934
0.49402538,-32.25,115.25,2021-12-05,0.14535372,1.1773831
0.49402538,-32.25,115.25,2021-12-06,0.16319472,1.2244608
0.49402538,-32.25,115.25,2021-12-07,0.16374663,1.2324436
0.49402538,-32.25,115.25,2021-12-08,0.14396517,1.1783667
0.49402538,-32.25,115.25,2021-12-09,0.12413782,1.1047806
0.49402538,-32.25,115.25,2021-12-10,0.11138339,1.0674989
0.49402538,-32.25,115.25,2021-12-11,0.10748277,1.0702016
0.49402538,-32.25,115.25,2021-12-12,0.111934595,1.0928007
0.49402538,-32.25,115.25,2021-12-13,0.11311959,1.0797884
0.49402538,-32.25,115.25,2021-12-14,0.11703874,1.0707731
0.49402538,-32.25,115.25,2021-12-15,0.12470296,1.0902761
0.49402538,-32.25,115.25,2021-12-16,0.1273464,1.1027776
0.49402538,-32.25,115.25,2021-12-17,0.122837916,1.0999411
0.49402538,-32.25,115.25,2021-12-18,0.11656534,1.1095207
0.49402538,-32.25,115.25,2021-12-19,0.1085166,1.0983411
0.49402538,-32.25,115.25,2021-12-20,0.10246195,1.0765325
0.49402538,-32.25,115.25,2021-12-21,0.101069696,1.0686331
0.49402538,-32.25,115.25,2021-12-22,0.101638824,1.0708599
0.49402538,-32.25,115.25,2021-12-23,0.101046406,1.0643651
0.49402538,-32.25,115.25,2021-12-24,0.096767075,1.0262351
0.49402538,-32.25,115.25,2021-12-25,0.092448674,0.9924687
0.49402538,-32.25,115.25,2021-12-26,0.09083964,0.99020123
0.49402538,-32.25,115.25,2021-12-27,0.09227084,1.0260998
0.49402538,-32.25,115.25,2021-12-28,0.0945838,1.0678067
0.49402538,-32.25,115.25,2021-12-29,0.094316244,1.0833942
0.49402538,-32.25,115.25,2021-12-30,0.09311681,1.0890383
0.49402538,-32.25,115.25,2021-12-31,0.09400661,1.0907301
0.49402538,-32.25,115.25,2022-01-01,0.09831062,1.094794
0.49402538,-32.25,115.25,2022-01-02,0.10326451,1.1190876
0.49402538,-32.25,115.25,2022-01-03,0.104937926,1.1344786
0.49402538,-32.25,115.25,2022-01-04,0.10122569,1.110483
0.49402538,-32.25,115.25,2022-01-05,0.095698796,1.071282
0.49402538,-32.25,115.25,2022-01-06,0.09174954,1.0457721
0.49402538,-32.25,115.25,2022-01-07,0.08936581,1.0318321
0.49402538,-32.25,115.25,2022-01-08,0.08913016,1.0193766
0.49402538,-32.25,115.25,2022-01-09,0.09287473,1.0303746
0.49402538,-32.25,115.25,2022-01-10,0.09443721,1.0567886
0.49402538,-32.25,115.25,2022-01-11,0.09314158,1.0723667
0.49402538,-32.25,115.25,2022-01-12,0.09125998,1.073582
0.49402538,-32.25,115.25,2022-01-13,0.090052284,1.06203
0.49402538,-32.25,115.25,2022-01-14,0.090037584,1.0606258
0.49402538,-32.25,115.25,2022-01-15,0.09042183,1.0692205
0.49402538,-32.25,115.25,2022-01-16,0.091702595,1.0825945
0.49402538,-32.25,115.25,2022-01-17,0.092220366,1.0919969
0.49402538,-32.25,115.25,2022-01-18,0.09100134,1.0932277
0.49402538,-32.25,115.25,2022-01-19,0.089579254,1.0910279
0.49402538,-32.25,115.25,2022-01-20,0.08928253,1.0855448
0.49402538,-32.25,115.25,2022-01-21,0.09059406,1.0944177
0.49402538,-32.25,115.25,2022-01-22,0.0916804,1.1012169
0.49402538,-32.25,115.25,2022-01-23,0.09014638,1.0729285
0.49402538,-32.25,115.25,2022-01-24,0.08976042,1.0512352
0.49402538,-32.25,115.25,2022-01-25,0.09040944,1.0518843
0.49402538,-32.25,115.25,2022-01-26,0.091109596,1.0567993
0.49402538,-32.25,115.25,2022-01-27,0.093176246,1.0653346
0.49402538,-32.25,115.25,2022-01-28,0.09605894,1.0819936
0.49402538,-32.25,115.25,2022-01-29,0.09850709,1.1036005
0.49402538,-32.25,115.25,2022-01-30,0.099305056,1.1074497
0.49402538,-32.25,115.25,2022-01-31,0.10030639,1.0718827
0.49402538,-32.25,115.25,2022-02-01,0.10152752,1.0403466
0.49402538,-32.25,115.25,2022-02-02,0.101803035,1.0238837
0.49402538,-32.25,115.25,2022-02-03,0.10125322,1.0170246
0.49402538,-32.25,115.25,2022-02-04,0.10126547,1.028021
0.49402538,-32.25,115.25,2022-02-05,0.10135111,1.0478164
0.49402538,-32.25,115.25,2022-02-06,0.09880498,1.0313016
0.49402538,-32.25,115.25,2022-02-07,0.09910692,1.0418426
0.49402538,-32.25,115.25,2022-02-08,0.09908174,1.0554441
0.49402538,-32.25,115.25,2022-02-09,0.09809361,1.0593711
0.49402538,-32.25,115.25,2022-02-10,0.0979132,1.0671632
0.49402538,-32.25,115.25,2022-02-11,0.09957935,1.0934507
0.49402538,-32.25,115.25,2022-02-12,0.10150027,1.1258136
0.49402538,-32.25,115.25,2022-02-13,0.10115796,1.1279984
0.49402538,-32.25,115.25,2022-02-14,0.099248126,1.1080769
0.49402538,-32.25,115.25,2022-02-15,0.09981354,1.1087596
0.49402538,-32.25,115.25,2022-02-16,0.10194516,1.112445
0.49402538,-32.25,115.25,2022-02-17,0.103256315,1.117875
0.49402538,-32.25,115.25,2022-02-18,0.103716984,1.1274946
0.49402538,-32.25,115.25,2022-02-19,0.103836425,1.1399964
0.49402538,-32.25,115.25,2022-02-20,0.10295965,1.1461036
0.49402538,-32.25,115.25,2022-02-21,0.101700865,1.1440418
0.49402538,-32.25,115.25,2022-02-22,0.09996157,1.124468
0.49402538,-32.25,115.25,2022-02-23,0.09790918,1.0897295
0.49402538,-32.25,115.25,2022-02-24,0.09651844,1.0740477
0.49402538,-32.25,115.25,2022-02-25,0.09592491,1.070764
0.49402538,-32.25,115.25,2022-02-26,0.096737586,1.0615903
0.49402538,-32.25,115.25,2022-02-27,0.09722438,1.0617023
0.49402538,-32.25,115.25,2022-02-28,0.0960539,1.0705994
0.49402538,-32.25,115.25,2022-03-01,0.09567502,1.0810686
0.49402538,-32.25,115.25,2022-03-02,0.097474754,1.0841024
0.49402538,-32.25,115.25,2022-03-03,0.1001735,1.0754014
0.49402538,-32.25,115.25,2022-03-04,0.10321811,1.0764875
0.49402538,-32.25,115.25,2022-03-05,0.10525946,1.0784671
0.49402538,-32.25,115.25,2022-03-06,0.10575983,1.0674409
0.49402538,-32.25,115.25,2022-03-07,0.10573549,1.0584604
0.49402538,-32.25,115.25,2022-03-08,0.10646715,1.0683851
0.49402538,-32.25,115.25,2022-03-09,0.10709526,1.0813427
0.49402538,-32.25,115.25,2022-03-10,0.10603252,1.0905269
0.49402538,-32.25,115.25,2022-03-11,0.106155865,1.0959911
0.49402538,-32.25,115.25,2022-03-12,0.10665537,1.0960549
0.49402538,-32.25,115.25,2022-03-13,0.10748517,1.113257
0.49402538,-32.25,115.25,2022-03-14,0.107358195,1.1353726
0.49402538,-32.25,115.25,2022-03-15,0.10560783,1.1365911
0.49402538,-32.25,115.25,2022-03-16,0.10472398,1.1407355
0.49402538,-32.25,115.25,2022-03-17,0.105015256,1.1493394
0.49402538,-32.25,115.25,2022-03-18,0.104112536,1.1384526
0.49402538,-32.25,115.25,2022-03-19,0.101081304,1.0792568
0.49402538,-32.25,115.25,2022-03-20,0.09976938,1.0365267
0.49402538,-32.25,115.25,2022-03-21,0.102690816,0.9968732
0.49402538,-32.25,115.25,2022-03-22,0.10866299,0.97894084
0.49402538,-32.25,115.25,2022-03-23,0.113089696,0.9696163
0.49402538,-32.25,115.25,2022-03-24,0.11353195,0.9580113
0.49402538,-32.25,115.25,2022-03-25,0.1110592,0.9603907
0.49402538,-32.25,115.25,2022-03-26,0.1088358,0.9929579
0.49402538,-32.25,115.25,2022-03-27,0.106713705,1.0079783
0.49402538,-32.25,115.25,2022-03-28,0.10856144,0.99677837
0.49402538,-32.25,115.25,2022-03-29,0.11231148,0.9877041
0.49402538,-32.25,115.25,2022-03-30,0.11629243,0.9946299
0.49402538,-32.25,115.25,2022-03-31,0.11610233,1.0039817
0.49402538,-32.25,115.25,2022-04-01,0.11171149,0.9997808
0.49402538,-32.25,115.25,2022-04-02,0.10734028,1.0017766
0.49402538,-32.25,115.25,2022-04-03,0.105322346,1.0114657
0.49402538,-32.25,115.25,2022-04-04,0.106502324,0.9924018
0.49402538,-32.25,115.25,2022-04-05,0.107442275,0.969369
0.49402538,-32.25,115.25,2022-04-06,0.109061666,0.96349615
