depth,time,nppv,o2
0.49402538,2022-02-27,2.2224112,218.85086
0.49402538,2022-02-28,2.1674933,218.9147
0.49402538,2022-03-01,2.1859438,218.89615
0.49402538,2022-03-02,2.2714036,219.01132
0.49402538,2022-03-03,2.1448212,219.36758
0.49402538,2022-03-04,1.9683657,219.7578
0.49402538,2022-03-05,1.8772149,219.99887
0.49402538,2022-03-06,1.8973635,220.0101
0.49402538,2022-03-07,1.9143546,219.91815
0.49402538,2022-03-08,1.9717872,219.88727
0.49402538,2022-03-09,2.0464108,219.88123
0.49402538,2022-03-10,2.1453218,219.77968
0.49402538,2022-03-11,2.2498646,219.54826
0.49402538,2022-03-12,2.24438,219.28409
0.49402538,2022-03-13,2.4453049,219.06424
0.49402538,2022-03-14,2.2091134,218.7203
0.49402538,2022-03-15,1.8313043,218.47504
0.49402538,2022-03-16,1.7541397,218.53966
0.49402538,2022-03-17,1.8858871,218.51413
0.49402538,2022-03-18,1.8469806,218.51755
0.49402538,2022-03-19,2.019888,218.80045
0.49402538,2022-03-20,2.0675435,218.7166
0.49402538,2022-03-21,2.0238528,218.7462
0.49402538,2022-03-22,1.9296749,218.89368
0.49402538,2022-03-23,1.8132358,219.11932
0.49402538,2022-03-24,1.7292044,219.3211
0.49402538,2022-03-25,1.8983681,219.36635
0.49402538,2022-03-26,1.8507183,219.20987
0.49402538,2022-03-27,1.8947394,219.1739
0.49402538,2022-03-28,1.8829092,219.29286
0.49402538,2022-03-29,1.8205786,219.47896
0.49402538,2022-03-30,1.8573755,219.54062
0.49402538,2022-03-31,1.8907199,219.39536
0.49402538,2022-04-01,1.861172,219.13478
0.49402538,2022-04-02,2.080599,218.80084
0.49402538,2022-04-03,1.9660965,218.51352
0.49402538,2022-04-04,2.112421,218.68726
0.49402538,2022-04-05,1.9905896,219.0194
0.49402538,2022-04-06,1.8603177,219.317
0.49402538,2022-04-07,1.810289,219.49942
0.49402538,2022-04-08,1.7856892,219.61127
0.49402538,2022-04-09,1.8569783,219.75299
0.49402538,2022-04-10,1.7733806,219.85788
0.49402538,2022-04-11,1.8181381,220.04007
0.49402538,2022-04-12,1.8527946,220.34921
0.49402538,2022-04-13,1.8380995,220.8215
0.49402538,2022-04-14,1.7137195,221.22577
0.49402538,2022-04-15,1.6452539,221.46136
0.49402538,2022-04-16,1.7162302,221.7047
0.49402538,2022-04-17,1.7519825,222.06444
0.49402538,2022-04-18,1.6265035,222.36447
0.49402538,2022-04-19,1.5905062,222.61456
0.49402538,2022-04-20,1.6933995,222.86612
0.49402538,2022-04-21,1.7097772,223.18723
0.49402538,2022-04-22,1.7039056,223.37428
0.49402538,2022-04-23,1.7095914,223.32603
0.49402538,2022-04-24,1.6480703,223.13974
0.49402538,2022-04-25,1.5879645,222.83385
0.49402538,2022-04-26,1.7407289,222.62021
0.49402538,2022-04-27,1.8144743,222.69623
0.49402538,2022-04-28,1.9492824,223.07507
0.49402538,2022-04-29,1.8886635,223.5423
0.49402538,2022-04-30,1.8773365,224.03078
0.49402538,2022-05-01,1.8569623,224.45311
0.49402538,2022-05-02,1.8353442,224.86975
0.49402538,2022-05-03,2.0898771,225.2672
0.49402538,2022-05-04,2.1936307,225.93944
0.49402538,2022-05-05,2.1125958,226.51527
0.49402538,2022-05-06,2.0291936,226.83734
0.49402538,2022-05-07,1.9945271,226.68813
0.49402538,2022-05-08,2.1307187,226.26167
0.49402538,2022-05-09,2.2155094,225.88454
0.49402538,2022-05-10,2.0300245,226.03513
0.49402538,2022-05-11,1.8100724,226.45978
0.49402538,2022-05-12,1.8471546,226.76646
0.49402538,2022-05-13,3.2163124,227.73422
0.49402538,2022-05-14,2.444471,228.96713
0.49402538,2022-05-15,2.386968,229.5028
0.49402538,2022-05-16,2.664271,229.59439
0.49402538,2022-05-17,2.6666427,229.4303
0.49402538,2022-05-18,2.7247994,228.0292
0.49402538,2022-05-19,3.1041675,226.19328
0.49402538,2022-05-20,3.296533,225.5854
0.49402538,2022-05-21,3.6312141,225.38922
0.49402538,2022-05-22,3.5857654,224.93492
0.49402538,2022-05-23,4.3027906,224.93744
0.49402538,2022-05-24,4.4328356,225.22108
0.49402538,2022-05-25,4.301118,225.39888
0.49402538,2022-05-26,4.3841953,225.40099
0.49402538,2022-05-27,4.436193,225.38365
0.49402538,2022-05-28,4.654091,225.77725
0.49402538,2022-05-29,4.588372,226.79604
0.49402538,2022-05-30,4.761591,227.65915
0.49402538,2022-05-31,4.6003056,228.03653
0.49402538,2022-06-01,4.6422553,228.29866
0.49402538,2022-06-02,4.962316,228.56772
0.49402538,2022-06-03,5.341986,228.71518
0.49402538,2022-06-04,5.492492,228.72256
0.49402538,2022-06-05,6.2739353,228.8391
0.49402538,2022-06-06,6.786542,229.0817
0.49402538,2022-06-07,7.1616707,229.35056
0.49402538,2022-06-08,6.917902,229.44452
0.49402538,2022-06-09,6.8436775,229.17664
0.49402538,2022-06-10,7.237273,228.72836
0.49402538,2022-06-11,9.939846,228.50739
0.49402538,2022-06-12,9.459837,228.9152
0.49402538,2022-06-13,9.727654,229.66595
0.49402538,2022-06-14,9.567364,229.98817
0.49402538,2022-06-15,9.264267,229.73569
0.49402538,2022-06-16,10.429497,229.38441
0.49402538,2022-06-17,10.432344,229.2486
0.49402538,2022-06-18,10.993563,229.47337
0.49402538,2022-06-19,10.807252,230.01495
0.49402538,2022-06-20,10.995982,230.4201
