depth,time,nppv,o2
0.49402538,2021-11-01,5.791805,234.36455
0.49402538,2021-11-02,5.354645,234.47322
0.49402538,2021-11-03,5.0069337,234.37164
0.49402538,2021-11-04,4.7640634,234.25214
0.49402538,2021-11-05,5.0539503,234.35406
0.49402538,2021-11-06,5.5789127,234.55904
0.49402538,2021-11-07,5.6387253,234.82588
0.49402538,2021-11-08,5.438839,235.04207
0.49402538,2021-11-09,5.3956056,235.16673
0.49402538,2021-11-10,5.388765,235.34431
0.49402538,2021-11-11,5.1940665,235.4952
0.49402538,2021-11-12,5.0399246,235.52008
0.49402538,2021-11-13,4.8946147,235.40729
0.49402538,2021-11-14,4.7883635,235.20306
0.49402538,2021-11-15,4.695467,234.55623
0.49402538,2021-11-16,4.3742676,233.63066
0.49402538,2021-11-17,3.8242772,232.80463
0.49402538,2021-11-18,3.338496,232.53014
0.49402538,2021-11-19,3.521392,232.59448
0.49402538,2021-11-20,3.7773821,232.64839
0.49402538,2021-11-21,3.6930363,232.34932
0.49402538,2021-11-22,3.9442022,232.50783
0.49402538,2021-11-23,4.1046157,232.63106
0.49402538,2021-11-24,3.958582,232.5213
0.49402538,2021-11-25,3.8942215,232.26361
0.49402538,2021-11-26,3.8879907,231.86018
0.49402538,2021-11-27,4.1912503,231.25928
0.49402538,2021-11-28,3.866042,230.29272
0.49402538,2021-11-29,3.3331802,230.08965
0.49402538,2021-11-30,3.5884333,230.38393
0.49402538,2021-12-01,3.9077117,230.47368
0.49402538,2021-12-02,3.731329,230.47498
0.49402538,2021-12-03,3.5806124,230.44627
0.49402538,2021-12-04,3.3677244,230.30193
0.49402538,2021-12-05,3.3218434,230.06862
0.49402538,2021-12-06,3.3858337,229.93648
0.49402538,2021-12-07,3.2634876,229.60234
0.49402538,2021-12-08,3.393877,228.82147
0.49402538,2021-12-09,3.0099535,227.99641
0.49402538,2021-12-10,2.6578612,227.50098
0.49402538,2021-12-11,2.5701644,227.29243
0.49402538,2021-12-12,2.6333508,227.5161
0.49402538,2021-12-13,2.8931859,227.63934
0.49402538,2021-12-14,3.027111,227.74693
0.49402538,2021-12-15,2.9241626,227.85236
0.49402538,2021-12-16,2.7277215,227.84943
0.49402538,2021-12-17,2.582845,227.78467
0.49402538,2021-12-18,2.5010254,227.69304
0.49402538,2021-12-19,2.4822311,227.63763
