depth,time,nppv,o2
0.49402538,2021-11-01,6.169178,234.31978
0.49402538,2021-11-02,5.6038804,234.40004
0.49402538,2021-11-03,5.2566886,234.2539
0.49402538,2021-11-04,5.122037,234.10063
0.49402538,2021-11-05,5.5102363,234.21552
0.49402538,2021-11-06,6.1954384,234.49327
0.49402538,2021-11-07,6.485386,234.89162
0.49402538,2021-11-08,6.386992,235.22972
0.49402538,2021-11-09,6.423496,235.47493
0.49402538,2021-11-10,6.3088,235.71582
0.49402538,2021-11-11,5.9519253,235.8075
0.49402538,2021-11-12,5.7688394,235.77063
0.49402538,2021-11-13,5.704512,235.6681
0.49402538,2021-11-14,5.584844,235.43474
0.49402538,2021-11-15,5.27394,234.57411
0.49402538,2021-11-16,4.7360053,233.45538
0.49402538,2021-11-17,4.128826,232.57549
0.49402538,2021-11-18,3.6147938,232.28102
0.49402538,2021-11-19,3.9358644,232.45625
0.49402538,2021-11-20,4.2789974,232.60915
0.49402538,2021-11-21,4.121325,232.31453
0.49402538,2021-11-22,4.4016857,232.38881
0.49402538,2021-11-23,4.66565,232.52516
0.49402538,2021-11-24,4.5353675,232.49695
0.49402538,2021-11-25,4.49963,232.28441
0.49402538,2021-11-26,4.528258,231.89172
0.49402538,2021-11-27,4.834763,231.24205
0.49402538,2021-11-28,4.4711566,230.1576
0.49402538,2021-11-29,3.9030685,229.8385
0.49402538,2021-11-30,4.2713456,230.21625
0.49402538,2021-12-01,4.5823903,230.41628
0.49402538,2021-12-02,4.3825107,230.4483
0.49402538,2021-12-03,4.118521,230.40167
0.49402538,2021-12-04,3.8186004,230.22783
0.49402538,2021-12-05,3.7271605,229.96394
0.49402538,2021-12-06,3.7144814,229.82368
0.49402538,2021-12-07,3.5749032,229.56114
0.49402538,2021-12-08,3.7868538,228.8988
0.49402538,2021-12-09,3.358777,228.07977
0.49402538,2021-12-10,2.9489603,227.47792
0.49402538,2021-12-11,2.8820012,227.16321
0.49402538,2021-12-12,3.0056248,227.36461
0.49402538,2021-12-13,3.4266338,227.57678
0.49402538,2021-12-14,3.5576553,227.73927
0.49402538,2021-12-15,3.421257,227.85718
0.49402538,2021-12-16,3.1231906,227.8329
0.49402538,2021-12-17,2.8962753,227.72728
0.49402538,2021-12-18,2.7820625,227.60292
0.49402538,2021-12-19,2.8157756,227.48973
0.49402538,2021-12-20,2.8683414,227.35448
0.49402538,2021-12-21,2.8553283,227.29607
0.49402538,2021-12-22,2.7778406,227.25269
0.49402538,2021-12-23,2.7022574,227.14497
0.49402538,2021-12-24,2.6355393,226.97075
0.49402538,2021-12-25,2.7061489,226.58727
0.49402538,2021-12-26,3.0007436,225.88759
0.49402538,2021-12-27,3.2385833,225.02943
0.49402538,2021-12-28,3.2788432,224.07301
0.49402538,2021-12-29,3.0641146,223.15039
0.49402538,2021-12-30,2.6959991,222.90582
0.49402538,2021-12-31,2.3576014,223.60205
0.49402538,2022-01-01,2.269238,224.45766
0.49402538,2022-01-02,2.1796525,224.76543
0.49402538,2022-01-03,2.2244623,224.6228
0.49402538,2022-01-04,2.2271903,224.29546
0.49402538,2022-01-05,2.3740244,223.84941
0.49402538,2022-01-06,2.4725056,223.25002
0.49402538,2022-01-07,2.3561885,223.01845
0.49402538,2022-01-08,2.0947514,223.45038
0.49402538,2022-01-09,2.1340592,224.08421
0.49402538,2022-01-10,2.0426848,224.37134
0.49402538,2022-01-11,2.1508808,224.3396
0.49402538,2022-01-12,2.2546778,223.92493
0.49402538,2022-01-13,2.1164303,223.5509
0.49402538,2022-01-14,2.0589302,223.43596
0.49402538,2022-01-15,1.9970053,223.64307
0.49402538,2022-01-16,1.9625425,223.96623
0.49402538,2022-01-17,1.9922285,224.02132
0.49402538,2022-01-18,2.439315,223.45715
0.49402538,2022-01-19,2.691163,222.70757
0.49402538,2022-01-20,2.7605393,222.0355
0.49402538,2022-01-21,2.7022848,221.19878
0.49402538,2022-01-22,2.550617,220.33406
0.49402538,2022-01-23,2.2166412,219.76448
0.49402538,2022-01-24,1.8840132,220.30519
0.49402538,2022-01-25,1.8046378,221.09656
0.49402538,2022-01-26,1.8189698,221.51964
0.49402538,2022-01-27,1.8000294,221.64943
0.49402538,2022-01-28,1.8499941,221.65582
0.49402538,2022-01-29,2.0776637,221.28986
0.49402538,2022-01-30,2.0144646,220.72066
0.49402538,2022-01-31,1.8193159,220.75537
0.49402538,2022-02-01,1.7589535,221.23808
0.49402538,2022-02-02,1.7495074,221.63098
0.49402538,2022-02-03,2.0608907,221.49635
