depth,time,nppv,o2
0.49402538,2021-11-01,9.936771,238.96144
0.49402538,2021-11-02,8.697249,239.02159
0.49402538,2021-11-03,7.754201,238.85141
0.49402538,2021-11-04,8.029722,238.6478
0.49402538,2021-11-05,8.9414015,238.70152
0.49402538,2021-11-06,8.771205,238.775
0.49402538,2021-11-07,8.528829,238.81293
0.49402538,2021-11-08,7.902566,238.76762
0.49402538,2021-11-09,7.584832,238.6446
0.49402538,2021-11-10,7.186507,238.50168
0.49402538,2021-11-11,6.9698825,238.33655
0.49402538,2021-11-12,6.458718,238.16675
0.49402538,2021-11-13,6.2804146,237.95206
0.49402538,2021-11-14,6.003994,237.7081
0.49402538,2021-11-15,5.906039,237.39978
0.49402538,2021-11-16,5.835062,236.95197
0.49402538,2021-11-17,5.472774,236.4479
0.49402538,2021-11-18,5.722047,236.28044
0.49402538,2021-11-19,6.2514935,236.16316
0.49402538,2021-11-20,5.6204333,235.85599
0.49402538,2021-11-21,5.3747377,235.27638
0.49402538,2021-11-22,6.1940355,235.32996
0.49402538,2021-11-23,5.6734266,235.09715
0.49402538,2021-11-24,5.1908474,234.70784
0.49402538,2021-11-25,4.867575,234.2995
0.49402538,2021-11-26,4.6816254,233.81674
0.49402538,2021-11-27,4.7702622,233.2807
0.49402538,2021-11-28,4.4200945,232.4817
0.49402538,2021-11-29,4.3695135,232.35014
0.49402538,2021-11-30,5.0054407,232.5678
0.49402538,2021-12-01,4.8730073,232.46678
0.49402538,2021-12-02,4.7751703,232.30649
0.49402538,2021-12-03,4.3098474,232.1378
0.49402538,2021-12-04,3.8210003,231.95181
0.49402538,2021-12-05,3.756005,231.71371
0.49402538,2021-12-06,3.71493,231.53275
0.49402538,2021-12-07,3.3507414,231.2064
0.49402538,2021-12-08,3.3744855,230.48618
0.49402538,2021-12-09,3.1212091,229.8366
0.49402538,2021-12-10,2.924077,229.42804
0.49402538,2021-12-11,2.9524112,229.25372
0.49402538,2021-12-12,3.4057322,229.50443
0.49402538,2021-12-13,3.3811684,229.49487
0.49402538,2021-12-14,3.3024647,229.60141
0.49402538,2021-12-15,3.1933668,229.79898
0.49402538,2021-12-16,2.9793823,229.91148
