depth,time,nppv,o2
0.49402538,2021-11-01,8.229159,236.72754
0.49402538,2021-11-02,7.451657,236.81018
0.49402538,2021-11-03,6.8734436,236.6202
0.49402538,2021-11-04,6.740561,236.46426
0.49402538,2021-11-05,7.3152237,236.63322
0.49402538,2021-11-06,7.535352,236.83212
0.49402538,2021-11-07,7.311837,237.01575
0.49402538,2021-11-08,6.7803164,237.1578
0.49402538,2021-11-09,6.485079,237.14041
0.49402538,2021-11-10,6.3436537,237.14857
0.49402538,2021-11-11,6.219728,237.23886
0.49402538,2021-11-12,5.9550314,237.27647
0.49402538,2021-11-13,5.7204823,237.10847
0.49402538,2021-11-14,5.5023804,236.81369
0.49402538,2021-11-15,5.630187,236.34023
0.49402538,2021-11-16,5.625973,235.69432
0.49402538,2021-11-17,5.013004,235.01685
0.49402538,2021-11-18,4.6149006,234.78123
0.49402538,2021-11-19,4.9190826,234.79375
0.49402538,2021-11-20,4.88029,234.77249
0.49402538,2021-11-21,4.812773,234.37859
0.49402538,2021-11-22,5.3166103,234.52827
0.49402538,2021-11-23,5.136677,234.45605
0.49402538,2021-11-24,4.790118,234.14288
0.49402538,2021-11-25,4.5522146,233.75098
0.49402538,2021-11-26,4.407224,233.25697
0.49402538,2021-11-27,4.67552,232.65144
0.49402538,2021-11-28,4.2714043,231.76721
0.49402538,2021-11-29,3.8373861,231.6803
0.49402538,2021-11-30,4.2781944,231.91096
0.49402538,2021-12-01,4.484792,231.83632
0.49402538,2021-12-02,4.3299665,231.69823
0.49402538,2021-12-03,4.036977,231.58704
0.49402538,2021-12-04,3.7026708,231.45203
0.49402538,2021-12-05,3.6654248,231.22636
0.49402538,2021-12-06,3.7457073,231.05219
0.49402538,2021-12-07,3.5255976,230.67522
0.49402538,2021-12-08,3.6314626,229.80505
0.49402538,2021-12-09,3.269209,229.01338
0.49402538,2021-12-10,2.9600363,228.55415
0.49402538,2021-12-11,2.8488255,228.37622
0.49402538,2021-12-12,2.9837625,228.61687
0.49402538,2021-12-13,3.0692158,228.61375
0.49402538,2021-12-14,3.1372132,228.67885
0.49402538,2021-12-15,3.0207243,228.81927
0.49402538,2021-12-16,2.818517,228.87381
0.49402538,2021-12-17,2.7309968,228.81175
0.49402538,2021-12-18,2.7152455,228.61905
0.49402538,2021-12-19,2.6284728,228.40868
0.49402538,2021-12-20,2.5228896,228.36693
0.49402538,2021-12-21,2.4806814,228.4692
0.49402538,2021-12-22,2.395493,228.53348
0.49402538,2021-12-23,2.3419328,228.49637
0.49402538,2021-12-24,2.2641454,228.41058
0.49402538,2021-12-25,2.338908,227.97464
0.49402538,2021-12-26,2.7124448,227.00407
0.49402538,2021-12-27,3.0952837,226.02843
