time,poc
2015-12-16 00:00:00,45.867928
2016-01-16 00:00:00,41.132076
2016-02-16 00:00:00,47.53962
2016-03-16 00:00:00,45.98491
2016-04-16 00:00:00,65.15095
2016-05-16 00:00:00,92.83775
2016-06-16 00:00:00,114.78492
2016-07-16 00:00:00,90.12075
2016-08-16 00:00:00,97.32829
2016-09-16 00:00:00,80.335846
2016-10-16 00:00:00,59.879242
2016-11-16 00:00:00,49.196236
2016-12-16 00:00:00,47.003773
2017-01-16 00:00:00,47.47547
2017-02-16 00:00:00,50.81132
2017-03-16 00:00:00,78.53207
2017-04-16 00:00:00,85.01132
2017-05-16 00:00:00,109.43019
2017-06-16 00:00:00,149.03397
2017-07-16 00:00:00,119.72076
2017-08-16 00:00:00,93.10566
2017-09-16 00:00:00,79.80377
2017-10-16 00:00:00,71.64152
2017-11-16 00:00:00,60.011322
2017-12-16 00:00:00,59.283024
2018-01-16 00:00:00,53.690563
2018-02-16 00:00:00,52.045284
2018-03-16 00:00:00,86.011314
2018-04-16 00:00:00,111.25283
2018-05-16 00:00:00,225.70567
2018-06-16 00:00:00,127.950935
2018-07-16 00:00:00,126.117
2018-08-16 00:00:00,104.81886
2018-09-16 00:00:00,77.01886
2018-10-16 00:00:00,60.747173
2018-11-16 00:00:00,55.15094
2018-12-16 00:00:00,45.86037
2019-01-16 00:00:00,45.928303
2019-02-16 00:00:00,46.856606
2019-03-16 00:00:00,79.573586
2019-04-16 00:00:00,79.158485
2019-05-16 00:00:00,87.14718
2019-06-16 00:00:00,111.32831
2019-07-16 00:00:00,107.369804
2019-08-16 00:00:00,88.02264
2019-09-16 00:00:00,74.33208
2019-10-16 00:00:00,55.984894
2019-11-16 00:00:00,55.59623
2019-12-16 00:00:00,45.158485
2020-01-16 00:00:00,50.856606
2020-02-16 00:00:00,49.54717
2020-03-16 00:00:00,75.82265
2020-04-16 00:00:00,120.018875
2020-05-16 00:00:00,114.40378
2020-06-16 00:00:00,165.0264
2020-07-16 00:00:00,123.17358
2020-08-16 00:00:00,111.844444
2020-09-16 00:00:00,72.275475
2020-10-16 00:00:00,61.18868
2020-11-16 00:00:00,60.64528
2020-12-16 00:00:00,66.47548
2021-01-16 00:00:00,58.992455
2021-02-16 00:00:00,67.95094
2021-03-16 00:00:00,140.09056
2021-04-16 00:00:00,115.588684
2021-05-16 00:00:00,104.91698
2021-06-16 00:00:00,105.22264
2021-07-16 00:00:00,102.724525
2021-08-16 00:00:00,91.1736
2021-09-16 00:00:00,76.02642
2021-10-16 00:00:00,63.81132
2021-11-16 00:00:00,56.25284
2021-12-16 00:00:00,53.55849
2022-01-16 00:00:00,54.637737
2022-02-16 00:00:00,54.207542
2022-03-16 00:00:00,57.67547
2022-03-16 00:00:00,55.92453
2022-04-16 00:00:00,72.59245
2022-04-16 00:00:00,68.92831
2022-05-16 00:00:00,82.27547
2022-05-16 00:00:00,79.59623
2022-06-16 00:00:00,79.947174
2022-07-16 00:00:00,69.49812
2022-08-16 00:00:00,78.649055
2022-09-16 00:00:00,58.433956
2022-10-16 00:00:00,45.792458
2022-11-16 00:00:00,42.4717
2022-12-16 00:00:00,43.901894
2023-01-16 00:00:00,41.184902
2023-02-16 00:00:00,42.120758
2023-03-16 00:00:00,50.55849
2023-04-16 00:00:00,57.36603
2023-05-16 00:00:00,65.28679
2023-06-16 00:00:00,67.022644
2023-07-16 00:00:00,67.86415
2023-08-16 00:00:00,53.26038
2023-09-16 00:00:00,52.641514
2023-10-16 00:00:00,42.6566
2023-11-16 00:00:00,45.090572
2023-12-16 00:00:00,44.233967
2024-01-16 00:00:00,45.113213
2024-02-16 00:00:00,40.23396
2024-03-16 00:00:00,50.36982
2024-04-16 00:00:00,61.264156
2024-05-16 00:00:00,59.083015
2024-06-16 00:00:00,87.996216
2024-07-16 00:00:00,81.758484
2024-08-16 00:00:00,85.03773
2024-09-16 00:00:00,56.773586
