time,par
2015-12-16 00:00:00,64.03926
2016-01-16 00:00:00,59.798115
2016-02-16 00:00:00,58.877945
2016-03-16 00:00:00,45.683777
2016-04-16 00:00:00,31.681885
2016-05-16 00:00:00,25.954113
2016-06-16 00:00:00,20.60617
2016-07-16 00:00:00,23.72137
2016-08-16 00:00:00,29.9652
2016-09-16 00:00:00,38.2104
2016-10-16 00:00:00,50.711143
2016-11-16 00:00:00,61.74697
2016-12-16 00:00:00,64.768105
2017-01-16 00:00:00,61.28903
2017-02-16 00:00:00,54.96412
2017-03-16 00:00:00,44.522343
2017-04-16 00:00:00,37.91297
2017-05-16 00:00:00,26.132
2017-06-16 00:00:00,22.840342
2017-07-16 00:00:00,20.32834
2017-08-16 00:00:00,29.244114
2017-12-16 00:00:00,63.3048
2018-01-16 00:00:00,61.183483
2018-02-16 00:00:00,58.05611
2018-03-16 00:00:00,46.35514
2018-04-16 00:00:00,35.14897
2018-05-16 00:00:00,27.717142
2018-06-16 00:00:00,21.941658
2018-07-16 00:00:00,20.874458
2018-08-16 00:00:00,26.536915
2018-09-16 00:00:00,41.53172
2018-10-16 00:00:00,49.82549
2018-11-16 00:00:00,58.26286
2018-12-16 00:00:00,66.035995
2019-01-16 00:00:00,65.42966
2019-02-16 00:00:00,57.592857
2019-03-16 00:00:00,46.865376
2019-04-16 00:00:00,37.177773
2019-05-16 00:00:00,27.780401
2019-06-16 00:00:00,19.367828
2019-07-16 00:00:00,22.863886
2019-08-16 00:00:00,31.090513
2019-09-16 00:00:00,41.79657
2019-10-16 00:00:00,52.636227
2019-11-16 00:00:00,62.787144
2019-12-16 00:00:00,64.90452
2020-01-16 00:00:00,66.10126
2020-02-16 00:00:00,51.911774
2020-03-16 00:00:00,45.460796
2020-04-16 00:00:00,32.87623
2020-05-16 00:00:00,26.044744
2020-06-16 00:00:00,21.260687
2020-07-16 00:00:00,23.85743
2020-08-16 00:00:00,26.906115
2020-09-16 00:00:00,38.634624
2020-10-16 00:00:00,54.282684
2020-11-16 00:00:00,56.65
2020-12-16 00:00:00,67.77109
2021-01-16 00:00:00,64.97537
2021-02-16 00:00:00,52.85589
2021-03-16 00:00:00,46.16297
2021-04-16 00:00:00,32.664288
2021-05-16 00:00:00,24.377657
2021-06-16 00:00:00,21.086
2021-07-16 00:00:00,21.334455
2021-08-16 00:00:00,29.398344
2021-09-16 00:00:00,40.888454
2021-10-16 00:00:00,51.227715
2021-11-16 00:00:00,62.724804
2021-12-16 00:00:00,65.99823
2022-01-16 00:00:00,66.33126
2022-02-16 00:00:00,60.827198
2022-03-16 00:00:00,43.902573
2022-03-16 00:00:00,44.32703
2022-04-16 00:00:00,33.780914
2022-04-16 00:00:00,33.848457
2022-05-16 00:00:00,27.05263
2022-05-16 00:00:00,27.117828
2022-06-16 00:00:00,21.159487
2022-07-16 00:00:00,21.939657
2022-08-16 00:00:00,29.303942
2022-09-16 00:00:00,37.74566
2022-10-16 00:00:00,51.787827
2022-11-16 00:00:00,59.925713
2022-12-16 00:00:00,66.119255
2023-01-16 00:00:00,64.103195
2023-02-16 00:00:00,60.152176
2023-03-16 00:00:00,45.188457
2023-04-16 00:00:00,35.469086
2023-05-16 00:00:00,25.295828
2023-06-16 00:00:00,21.009256
2023-07-16 00:00:00,22.703714
2023-08-16 00:00:00,30.542341
2023-09-16 00:00:00,39.951256
2023-10-16 00:00:00,52.158573
2023-11-16 00:00:00,61.50685
2023-12-16 00:00:00,67.04092
2024-01-16 00:00:00,64.48006
2024-02-16 00:00:00,55.8348
2024-03-16 00:00:00,48.280685
2024-04-16 00:00:00,37.44411
2024-05-16 00:00:00,24.952972
2024-06-16 00:00:00,20.669485
