SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9803,34.4836,23.8324,0.8501,4.9280,0.8934
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9796,34.4863,23.8347,0.8679,4.9283,0.8931
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9787,34.4879,23.8361,0.8858,4.9284,0.8940
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9772,34.4888,23.8373,0.9037,4.9284,0.8963
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9771,34.4889,23.8373,0.9216,4.9284,0.8998
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9799,34.4875,23.8354,0.9396,4.9285,0.9043
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9825,34.4861,23.8337,0.9578,4.9286,0.9096
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9843,34.4847,23.8322,0.9760,4.9286,0.9158
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9880,34.4828,23.8296,0.9944,4.9287,0.9226
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9912,34.4834,23.8293,1.0129,4.9291,0.9299
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9943,34.4845,23.8292,1.0316,4.9295,0.9373
