SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
CS226,GARDEN IS,     92083,19920323 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,21.8400,36.4400,25.3591,7.5000,  NaN,  NaN
CS226,GARDEN IS,     92083,19920323 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,21.8400,36.4400,25.3591,8.5714,  NaN,  NaN
CS226,GARDEN IS,     92083,19920323 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,21.8400,36.4400,25.3591,9.6429,  NaN,  NaN
CS226,GARDEN IS,     92083,19920323 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,21.8400,36.4400,25.3591,10.7143,  NaN,  NaN
CS226,GARDEN IS,     92083,19920323 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,21.8400,36.4500,25.3667,11.7857,  NaN,  NaN
CS226,GARDEN IS,     92083,19920323 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,21.8400,36.4500,25.3667,12.8571,  NaN,  NaN
CS226,GARDEN IS,     92083,19920323 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,21.8400,36.4500,25.3667,13.9286,  NaN,  NaN
CS226,GARDEN IS,     92083,19920323 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,21.8400,36.4500,25.3667,15.0000,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3700,25.1927,0.1071,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3700,25.1927,0.5357,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3200,25.1548,1.0714,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2900,36.3700,25.1786,2.1429,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3700,25.1927,3.2143,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3700,25.1927,4.2857,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3700,25.1927,5.3571,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3700,25.1927,6.4286,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3700,25.1927,7.5000,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3700,25.1927,8.5714,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.2400,36.3700,25.1927,9.6429,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.1900,36.3700,25.2070,10.7143,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.1900,36.3700,25.2070,11.7857,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.1900,36.3700,25.2070,12.8571,  NaN,  NaN
