SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,0.1000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,0.5000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,1.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,2.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,3.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,4.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,5.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,6.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,7.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,8.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,9.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,10.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,11.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,12.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,13.0000,  NaN,  NaN
MN30,PERTH SOUTH,     91227,19910815 00:00:00,374396.0000,6431153.0000,-32.249267,115.666672,16.3500,34.9800,25.6525,14.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9600,25.6255,0.1000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9600,25.6255,0.5000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,1.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,2.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,3.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,4.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,5.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,6.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,7.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,8.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,9.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,10.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,11.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,12.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,13.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,14.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,15.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,16.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,17.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,18.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,19.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,20.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,21.0000,  NaN,  NaN
MN29,PERTH SOUTH,     91227,19910815 00:00:00,372512.0000,6431130.0000,-32.249262,115.646674,16.4000,34.9700,25.6331,22.0000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.3500,34.9600,25.6371,0.1000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.3500,34.9600,25.6371,0.5000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.3500,34.9600,25.6371,1.0000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.3500,34.9600,25.6371,2.0000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.3500,34.9600,25.6371,3.0000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.4000,34.9600,25.6255,4.0000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.4000,34.9600,25.6255,5.0000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.4000,34.9600,25.6255,6.0000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.4000,34.9600,25.6255,7.0000,  NaN,  NaN
MN28,PERTH SOUTH,     91227,19910815 00:00:00,371020.0000,6431111.0000,-32.249262,115.630837,16.4000,34.9600,25.6255,8.0000,  NaN,  NaN
