SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8000,34.8816,25.4716,0.3000,4.4560,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8100,34.8726,25.4624,1.1000,4.4560,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8200,34.8638,25.4534,1.5000,4.4560,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8200,34.8636,25.4533,2.0000,4.4560,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8200,34.8634,25.4531,2.3000,4.4560,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8200,34.8631,25.4529,3.1000,4.4560,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8100,34.8718,25.4618,3.3000,4.4560,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8100,34.8714,25.4615,4.3000,4.4560,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8100,34.8888,25.4750,4.5000,4.4580,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8200,34.8624,25.4521,5.0000,4.4560,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8200,34.8798,25.4655,5.4000,4.4580,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8300,34.8883,25.4699,6.3000,4.4600,  NaN
Y2,PERTH NORTH,     91232,19910820 00:00:00,379334.0000,6455698.0000,-32.028429,115.722170,16.8300,34.8882,25.4696,6.6000,4.4600,  NaN
