Header,Value
Agency Name,Mercator Ocean International
Agency Code,MOI
Program,Pelagic Interactions Scheme for Carbon and Ecosystem Studies (PISCES)
Project,Cockburn Sound Model Virtual Sensor
Tag,MOI-PISCES-CAR
Data File Name,CMEMS_car_point_11_DissolvedInorganicCarbon_profile_Data.csv
Location,data-warehouse/csv/MOI/pisces/model_car
Station Status,Active
Lat,-32.36
Long,115.604
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,MOI-pisces-model_car-Point_11
Site Description,Point 11
Deployment,Profile
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00267
Data Category,Water Quality (Nutrient)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Dissolved Inorganic Carbon
QC,NaN
