depth,time,dissic,ph,talk
0.49402538,2021-11-01,2.1052766,8.105295,2.4049788
0.49402538,2021-11-02,2.1057267,8.107037,2.4052753
0.49402538,2021-11-03,2.106177,8.103939,2.4055722
0.49402538,2021-11-04,2.1066272,8.101771,2.4058688
0.49402538,2021-11-05,2.1070776,8.102705,2.4061654
0.49402538,2021-11-06,2.107528,8.103047,2.4064617
0.49402538,2021-11-07,2.1079443,8.103828,2.4069352
0.49402538,2021-11-08,2.1083608,8.103605,2.4074087
0.49402538,2021-11-09,2.1087778,8.10311,2.407882
0.49402538,2021-11-10,2.109194,8.1017475,2.4083552
0.49402538,2021-11-11,2.1096106,8.10059,2.4088287
0.49402538,2021-11-12,2.1100273,8.099117,2.4093022
0.49402538,2021-11-13,2.110444,8.097031,2.4097755
0.49402538,2021-11-14,2.1105452,8.095438,2.4099376
0.49402538,2021-11-15,2.110646,8.090812,2.4100997
0.49402538,2021-11-16,2.1107469,8.085065,2.4102619
0.49402538,2021-11-17,2.110848,8.0820675,2.410424
0.49402538,2021-11-18,2.110949,8.084641,2.410586
0.49402538,2021-11-19,2.1110501,8.087911,2.4107482
0.49402538,2021-11-20,2.111151,8.08474,2.4109104
0.49402538,2021-11-21,2.1114511,8.080742,2.4113057
0.49402538,2021-11-22,2.111751,8.082474,2.411701
0.49402538,2021-11-23,2.112051,8.08359,2.4120965
0.49402538,2021-11-24,2.112351,8.0804205,2.4124918
0.49402538,2021-11-25,2.1126509,8.077744,2.412887
0.49402538,2021-11-26,2.1129508,8.074347,2.4132824
0.49402538,2021-11-27,2.1132512,8.066662,2.4136777
0.49402538,2021-11-28,2.1132119,8.06083,2.4138398
0.49402538,2021-11-29,2.1131728,8.063822,2.414002
0.49402538,2021-11-30,2.1131334,8.069877,2.4141636
0.49402538,2021-12-01,2.1130943,8.072382,2.4143257
0.49402538,2021-12-02,2.1130552,8.073886,2.4144878
0.49402538,2021-12-03,2.1130161,8.0757265,2.4146497
0.49402538,2021-12-04,2.1129768,8.075319,2.4148118
0.49402538,2021-12-05,2.112988,8.074046,2.414952
0.49402538,2021-12-06,2.112999,8.074453,2.4150927
0.49402538,2021-12-07,2.1130102,8.073101,2.4152331
0.49402538,2021-12-08,2.1130214,8.065754,2.4153733
0.49402538,2021-12-09,2.1130323,8.061576,2.415514
0.49402538,2021-12-10,2.1130433,8.06313,2.4156547
0.49402538,2021-12-11,2.1130545,8.062999,2.4157948
0.49402538,2021-12-12,2.113074,8.064786,2.4159007
0.49402538,2021-12-13,2.1130934,8.067576,2.4160063
0.49402538,2021-12-14,2.113113,8.069502,2.416112
0.49402538,2021-12-15,2.113132,8.072125,2.4162173
0.49402538,2021-12-16,2.1131516,8.07371,2.4163232
0.49402538,2021-12-17,2.1131709,8.074541,2.4164288
0.49402538,2021-12-18,2.1131902,8.075203,2.4165344
0.49402538,2021-12-19,2.113306,8.072433,2.4166365
0.49402538,2021-12-20,2.1134217,8.070599,2.4167383
0.49402538,2021-12-21,2.1135375,8.071525,2.4168403
0.49402538,2021-12-22,2.1136532,8.070884,2.4169421
0.49402538,2021-12-23,2.1137688,8.069021,2.4170442
0.49402538,2021-12-24,2.1138844,8.067353,2.4171462
0.49402538,2021-12-25,2.114,8.063008,2.417248
0.49402538,2021-12-26,2.114027,8.055241,2.4173043
0.49402538,2021-12-27,2.114054,8.048565,2.4173605
0.49402538,2021-12-28,2.1140807,8.042542,2.4174168
0.49402538,2021-12-29,2.1141074,8.03876,2.417473
0.49402538,2021-12-30,2.1141343,8.042467,2.4175293
0.49402538,2021-12-31,2.114161,8.049466,2.4175854
0.49402538,2022-01-01,2.1141877,8.05488,2.4176419
0.49402538,2022-01-02,2.1141005,8.057709,2.4175558
0.49402538,2022-01-03,2.1140127,8.057883,2.4174697
0.49402538,2022-01-04,2.1139252,8.056837,2.417384
0.49402538,2022-01-05,2.1138377,8.053711,2.4172978
0.49402538,2022-01-06,2.11375,8.050771,2.4172118
0.49402538,2022-01-07,2.1136622,8.049948,2.417126
0.49402538,2022-01-08,2.1135747,8.050801,2.41704
0.49402538,2022-01-09,2.1135206,8.054085,2.416991
0.49402538,2022-01-10,2.113467,8.056212,2.4169421
0.49402538,2022-01-11,2.113413,8.054264,2.416893
