depth,time,dissic,ph,talk
0.49402538,2021-11-01,2.102283,8.1049385,2.4051678
0.49402538,2021-11-02,2.1027422,8.106497,2.4053679
0.49402538,2021-11-03,2.1032014,8.103143,2.4055681
0.49402538,2021-11-04,2.1036608,8.101049,2.4057682
0.49402538,2021-11-05,2.10412,8.102077,2.4059682
0.49402538,2021-11-06,2.1045794,8.102187,2.4061682
0.49402538,2021-11-07,2.1050472,8.1028385,2.406488
0.49402538,2021-11-08,2.105515,8.102661,2.4068077
0.49402538,2021-11-09,2.105983,8.102456,2.4071274
0.49402538,2021-11-10,2.1064508,8.101199,2.4074473
0.49402538,2021-11-11,2.1069186,8.100063,2.4077668
0.49402538,2021-11-12,2.1073866,8.098932,2.4080868
0.49402538,2021-11-13,2.1078544,8.097304,2.4084063
0.49402538,2021-11-14,2.1079133,8.095818,2.408546
0.49402538,2021-11-15,2.1079717,8.090456,2.408686
0.49402538,2021-11-16,2.1080306,8.084401,2.4088254
0.49402538,2021-11-17,2.108089,8.080955,2.408965
0.49402538,2021-11-18,2.1081476,8.08292,2.409105
0.49402538,2021-11-19,2.1082063,8.086205,2.4092448
0.49402538,2021-11-20,2.108265,8.08292,2.4093843
0.49402538,2021-11-21,2.108626,8.078868,2.4096918
0.49402538,2021-11-22,2.1089866,8.08079,2.4099994
0.49402538,2021-11-23,2.109347,8.082228,2.410307
0.49402538,2021-11-24,2.1097076,8.079015,2.4106145
0.49402538,2021-11-25,2.1100686,8.076017,2.4109218
0.49402538,2021-11-26,2.110429,8.072752,2.4112294
0.49402538,2021-11-27,2.11079,8.065333,2.411537
0.49402538,2021-11-28,2.1107843,8.059298,2.4117484
0.49402538,2021-11-29,2.1107788,8.06262,2.41196
0.49402538,2021-11-30,2.1107733,8.069101,2.4121714
0.49402538,2021-12-01,2.1107678,8.071566,2.4123828
0.49402538,2021-12-02,2.1107621,8.072938,2.4125943
0.49402538,2021-12-03,2.1107569,8.074391,2.4128058
0.49402538,2021-12-04,2.1107512,8.073777,2.4130173
0.49402538,2021-12-05,2.110633,8.072471,2.413113
0.49402538,2021-12-06,2.1105144,8.073193,2.4132092
0.49402538,2021-12-07,2.110396,8.071825,2.4133048
0.49402538,2021-12-08,2.1102777,8.0640135,2.4134007
0.49402538,2021-12-09,2.1101592,8.05993,2.4134967
0.49402538,2021-12-10,2.1100407,8.062469,2.4135926
0.49402538,2021-12-11,2.1099224,8.063135,2.4136887
0.49402538,2021-12-12,2.1100187,8.064747,2.413857
0.49402538,2021-12-13,2.1101148,8.067059,2.4140253
0.49402538,2021-12-14,2.1102111,8.068387,2.4141936
0.49402538,2021-12-15,2.1103075,8.070537,2.4143622
0.49402538,2021-12-16,2.1104035,8.071707,2.4145305
0.49402538,2021-12-17,2.1104996,8.072313,2.4146986
0.49402538,2021-12-18,2.110596,8.072784,2.4148672
0.49402538,2021-12-19,2.1109161,8.0697365,2.4150615
0.49402538,2021-12-20,2.1112363,8.067684,2.4152558
0.49402538,2021-12-21,2.1115568,8.068637,2.41545
0.49402538,2021-12-22,2.111877,8.068269,2.4156442
0.49402538,2021-12-23,2.112197,8.066331,2.4158385
0.49402538,2021-12-24,2.1125174,8.06446,2.4160326
0.49402538,2021-12-25,2.1128376,8.060301,2.4162269
0.49402538,2021-12-26,2.1129017,8.053453,2.416336
0.49402538,2021-12-27,2.1129658,8.047679,2.4164453
0.49402538,2021-12-28,2.1130297,8.042313,2.4165542
0.49402538,2021-12-29,2.1130939,8.038528,2.4166632
0.49402538,2021-12-30,2.1131577,8.041783,2.4167726
0.49402538,2021-12-31,2.1132216,8.048624,2.4168816
0.49402538,2022-01-01,2.1132855,8.053778,2.4169908
0.49402538,2022-01-02,2.1131814,8.056169,2.4169168
0.49402538,2022-01-03,2.1130772,8.055962,2.416843
0.49402538,2022-01-04,2.1129732,8.055169,2.416769
0.49402538,2022-01-05,2.1128693,8.052666,2.416695
0.49402538,2022-01-06,2.1127648,8.049906,2.4166214
0.49402538,2022-01-07,2.112661,8.049339,2.4165475
0.49402538,2022-01-08,2.1125565,8.050711,2.4164736
0.49402538,2022-01-09,2.1125321,8.0542965,2.4164429
0.49402538,2022-01-10,2.1125078,8.056408,2.4164124
0.49402538,2022-01-11,2.1124835,8.0544195,2.4163814
0.49402538,2022-01-12,2.1124587,8.051136,2.4163506
0.49402538,2022-01-13,2.1124346,8.05105,2.41632
0.49402538,2022-01-14,2.11241,8.052002,2.4162893
0.49402538,2022-01-15,2.1123857,8.051876,2.4162583
0.49402538,2022-01-16,2.1123714,8.053126,2.41641
0.49402538,2022-01-17,2.112357,8.053085,2.4165611
0.49402538,2022-01-18,2.1123428,8.04683,2.4167123
0.49402538,2022-01-19,2.1123285,8.040587,2.4168634
0.49402538,2022-01-20,2.1123142,8.036837,2.4170146
0.49402538,2022-01-21,2.1123,8.032882,2.4171658
0.49402538,2022-01-22,2.1122856,8.029659,2.4173172
