depth,time,dissic,ph,talk
0.49402538,2021-11-01,2.0999055,8.102019,2.4057794
0.49402538,2021-11-02,2.100307,8.103417,2.405957
0.49402538,2021-11-03,2.1007082,8.099724,2.4061344
0.49402538,2021-11-04,2.1011097,8.097901,2.4063122
0.49402538,2021-11-05,2.1015112,8.0992775,2.4064896
0.49402538,2021-11-06,2.1019125,8.099579,2.4066672
0.49402538,2021-11-07,2.1023042,8.100568,2.406818
0.49402538,2021-11-08,2.1026962,8.100675,2.4069684
0.49402538,2021-11-09,2.103088,8.100915,2.407119
0.49402538,2021-11-10,2.1034794,8.100274,2.4072695
0.49402538,2021-11-11,2.103871,8.099143,2.4074202
0.49402538,2021-11-12,2.1042628,8.098026,2.4075708
0.49402538,2021-11-13,2.1046546,8.096456,2.4077213
0.49402538,2021-11-14,2.104624,8.094772,2.407841
0.49402538,2021-11-15,2.1045933,8.089008,2.4079607
0.49402538,2021-11-16,2.1045625,8.082599,2.4080799
0.49402538,2021-11-17,2.104532,8.078097,2.4081993
0.49402538,2021-11-18,2.1045015,8.078889,2.4083188
0.49402538,2021-11-19,2.1044705,8.082652,2.4084384
0.49402538,2021-11-20,2.10444,8.080655,2.4085581
0.49402538,2021-11-21,2.1047566,8.07746,2.4087045
0.49402538,2021-11-22,2.1050727,8.079018,2.4088507
0.49402538,2021-11-23,2.105389,8.080488,2.408997
0.49402538,2021-11-24,2.1057055,8.077682,2.4091434
0.49402538,2021-11-25,2.1060216,8.074712,2.40929
0.49402538,2021-11-26,2.1063378,8.071828,2.4094365
0.49402538,2021-11-27,2.1066544,8.065617,2.4095826
0.49402538,2021-11-28,2.1066291,8.059865,2.4096982
0.49402538,2021-11-29,2.1066039,8.062404,2.4098141
0.49402538,2021-11-30,2.106579,8.068482,2.4099295
0.49402538,2021-12-01,2.1065538,8.070911,2.4100454
0.49402538,2021-12-02,2.1065285,8.072178,2.4101608
0.49402538,2021-12-03,2.1065037,8.073475,2.4102764
0.49402538,2021-12-04,2.1064785,8.072939,2.410392
0.49402538,2021-12-05,2.106389,8.07151,2.4104974
0.49402538,2021-12-06,2.1062992,8.072303,2.4106026
0.49402538,2021-12-07,2.1062098,8.071641,2.4107082
0.49402538,2021-12-08,2.10612,8.064991,2.4108136
0.49402538,2021-12-09,2.1060307,8.061035,2.4109187
0.49402538,2021-12-10,2.105941,8.06324,2.4110243
0.49402538,2021-12-11,2.1058514,8.06387,2.4111297
0.49402538,2021-12-12,2.1061301,8.064639,2.411381
0.49402538,2021-12-13,2.1064086,8.066341,2.4116325
0.49402538,2021-12-14,2.1066873,8.067262,2.411884
0.49402538,2021-12-15,2.1069658,8.068977,2.4121356
0.49402538,2021-12-16,2.1072443,8.069808,2.4123867
0.49402538,2021-12-17,2.107523,8.069785,2.4126384
0.49402538,2021-12-18,2.1078017,8.069346,2.4128897
0.49402538,2021-12-19,2.1084058,8.065761,2.4132822
0.49402538,2021-12-20,2.10901,8.063371,2.4136744
0.49402538,2021-12-21,2.1096141,8.063933,2.4140666
0.49402538,2021-12-22,2.1102183,8.063087,2.4144592
0.49402538,2021-12-23,2.1108227,8.061046,2.4148514
0.49402538,2021-12-24,2.1114268,8.0594225,2.4152439
0.49402538,2021-12-25,2.112031,8.056522,2.4156363
0.49402538,2021-12-26,2.1119003,8.051911,2.4156692
0.49402538,2021-12-27,2.11177,8.047423,2.4157023
0.49402538,2021-12-28,2.1116393,8.042306,2.4157355
0.49402538,2021-12-29,2.1115088,8.037845,2.4157686
0.49402538,2021-12-30,2.1113784,8.039637,2.4158018
0.49402538,2021-12-31,2.1112478,8.045923,2.4158351
0.49402538,2022-01-01,2.1111171,8.051629,2.415868
0.49402538,2022-01-02,2.1110284,8.054355,2.4158385
0.49402538,2022-01-03,2.1109395,8.053576,2.415809
0.49402538,2022-01-04,2.110851,8.052465,2.4157794
0.49402538,2022-01-05,2.1107624,8.050399,2.4157498
0.49402538,2022-01-06,2.1106737,8.04689,2.4157202
0.49402538,2022-01-07,2.110585,8.045941,2.4156907
0.49402538,2022-01-08,2.1104963,8.048543,2.415661
0.49402538,2022-01-09,2.1105351,8.054187,2.415674
0.49402538,2022-01-10,2.1105742,8.057777,2.4156866
0.49402538,2022-01-11,2.110613,8.055767,2.4156992
0.49402538,2022-01-12,2.110652,8.051548,2.415712
0.49402538,2022-01-13,2.1106908,8.050578,2.4157245
0.49402538,2022-01-14,2.1107297,8.051787,2.4157372
0.49402538,2022-01-15,2.1107686,8.05251,2.4157498
0.49402538,2022-01-16,2.110711,8.054704,2.415885
0.49402538,2022-01-17,2.1106539,8.054641,2.4160202
0.49402538,2022-01-18,2.1105964,8.047497,2.4161553
0.49402538,2022-01-19,2.110539,8.041125,2.4162905
0.49402538,2022-01-20,2.1104815,8.037912,2.4164255
0.49402538,2022-01-21,2.1104243,8.033994,2.4165606
0.49402538,2022-01-22,2.1103668,8.031241,2.4166958
