depth,latitude,longitude,time,fe,no3,po4,si
0.49402538,-32.25,115.25,2021-11-01,0.0013946507,0.005149175,0.1293116,2.5791955
0.49402538,-32.25,115.25,2021-11-02,0.0014267148,0.0059346794,0.12944734,2.5818439
0.49402538,-32.25,115.25,2021-11-03,0.001463772,0.004264912,0.12936248,2.5868146
0.49402538,-32.25,115.25,2021-11-04,0.0015228158,0.002862572,0.12968485,2.5896657
0.49402538,-32.25,115.25,2021-11-05,0.0015060583,0.0026968392,0.13017571,2.5807676
0.49402538,-32.25,115.25,2021-11-06,0.0014526788,0.0026263623,0.13059299,2.5647545
0.49402538,-32.25,115.25,2021-11-07,0.0014101638,0.002693811,0.13066602,2.5515957
0.49402538,-32.25,115.25,2021-11-08,0.0014020442,0.0028023166,0.13050169,2.5463538
0.49402538,-32.25,115.25,2021-11-09,0.0013541027,0.0030967873,0.13083841,2.535434
0.49402538,-32.25,115.25,2021-11-10,0.0013443263,0.0036125078,0.1310126,2.5284553
0.49402538,-32.25,115.25,2021-11-11,0.0014670346,0.0034500374,0.13010523,2.5445526
0.49402538,-32.25,115.25,2021-11-12,0.0016054711,0.0028573838,0.12894292,2.5652797
0.49402538,-32.25,115.25,2021-11-13,0.0016724945,0.0021331112,0.12847905,2.5766578
0.49402538,-32.25,115.25,2021-11-14,0.0017383756,0.0020639854,0.12839794,2.5941253
0.49402538,-32.25,115.25,2021-11-15,0.0017311961,0.0029362042,0.12872517,2.6119063
0.49402538,-32.25,115.25,2021-11-16,0.0016252422,0.0032775817,0.12955211,2.6112905
0.49402538,-32.25,115.25,2021-11-17,0.001537082,0.0025173333,0.13017508,2.603759
0.49402538,-32.25,115.25,2021-11-18,0.0014839221,0.0013945181,0.13048723,2.5969217
0.49402538,-32.25,115.25,2021-11-19,0.0014374988,0.0013334199,0.13078825,2.5905585
0.49402538,-32.25,115.25,2021-11-20,0.0015230782,0.0017517691,0.13015181,2.5974991
0.49402538,-32.25,115.25,2021-11-21,0.0016912554,0.0016624263,0.12848553,2.6145608
0.49402538,-32.25,115.25,2021-11-22,0.0018165149,0.0013179377,0.12771447,2.6203783
0.49402538,-32.25,115.25,2021-11-23,0.0018963311,0.0015036094,0.12723835,2.620683
0.49402538,-32.25,115.25,2021-11-24,0.0019355117,0.001806896,0.12662376,2.619439
0.49402538,-32.25,115.25,2021-11-25,0.001956829,0.0018922325,0.12612095,2.6178925
0.49402538,-32.25,115.25,2021-11-26,0.0019473676,0.0022062403,0.12610301,2.614653
0.49402538,-32.25,115.25,2021-11-27,0.0019463655,0.0033956692,0.12627144,2.6135159
0.49402538,-32.25,115.25,2021-11-28,0.0019226625,0.002625927,0.1266966,2.6122775
0.49402538,-32.25,115.25,2021-11-29,0.0019038491,0.0015712883,0.12719218,2.613879
0.49402538,-32.25,115.25,2021-11-30,0.0018798502,0.0012032661,0.12740086,2.6137667
0.49402538,-32.25,115.25,2021-12-01,0.0018790764,0.0011950058,0.12725781,2.6122744
0.49402538,-32.25,115.25,2021-12-02,0.0018585309,0.0012258147,0.12722965,2.6070743
0.49402538,-32.25,115.25,2021-12-03,0.0018538137,0.0016903284,0.12715144,2.6003492
0.49402538,-32.25,115.25,2021-12-04,0.0018767032,0.0020696742,0.1268158,2.5954676
0.49402538,-32.25,115.25,2021-12-05,0.0018281703,0.0024255742,0.12717372,2.5864835
0.49402538,-32.25,115.25,2021-12-06,0.0016162774,0.0042156973,0.12905782,2.5670547
