depth,latitude,longitude,time,fe,no3,po4,si
0.49402538,-32.0,115.25,2021-11-01,0.0009370616,0.0020822962,0.1314437,2.4855213
0.49402538,-32.0,115.25,2021-11-02,0.0010572771,0.0022700566,0.13127883,2.5051265
0.49402538,-32.0,115.25,2021-11-03,0.0011123503,0.0023064187,0.13165976,2.5059185
0.49402538,-32.0,115.25,2021-11-04,0.0010638118,0.0015551602,0.13209762,2.4932642
0.49402538,-32.0,115.25,2021-11-05,0.0010014572,0.0013620837,0.13251661,2.4812396
0.49402538,-32.0,115.25,2021-11-06,0.0009572373,0.0012832019,0.13298708,2.473573
0.49402538,-32.0,115.25,2021-11-07,0.00093939714,0.0012972277,0.13334571,2.47091
0.49402538,-32.0,115.25,2021-11-08,0.00093294674,0.0014866113,0.13363256,2.469713
0.49402538,-32.0,115.25,2021-11-09,0.0009752542,0.0018563996,0.13353378,2.4792016
0.49402538,-32.0,115.25,2021-11-10,0.0011305308,0.002199757,0.1325417,2.5146873
0.49402538,-32.0,115.25,2021-11-11,0.0013515161,0.001971832,0.13119861,2.5564022
0.49402538,-32.0,115.25,2021-11-12,0.0014637662,0.0016534847,0.13055442,2.575605
0.49402538,-32.0,115.25,2021-11-13,0.0014797703,0.0014536695,0.13052958,2.5831861
0.49402538,-32.0,115.25,2021-11-14,0.00146894,0.0018941455,0.13072725,2.593414
0.49402538,-32.0,115.25,2021-11-15,0.0013777495,0.0027654688,0.13131514,2.5893464
0.49402538,-32.0,115.25,2021-11-16,0.0012157138,0.0029146788,0.13214704,2.5688977
0.49402538,-32.0,115.25,2021-11-17,0.0011280498,0.0023363042,0.13219996,2.5564024
0.49402538,-32.0,115.25,2021-11-18,0.0010904078,0.0012042334,0.13197476,2.5532262
0.49402538,-32.0,115.25,2021-11-19,0.0010494177,0.0011310538,0.13195243,2.5513916
0.49402538,-32.0,115.25,2021-11-20,0.0010260267,0.0015375316,0.13199067,2.5506375
0.49402538,-32.0,115.25,2021-11-21,0.0010408002,0.0014628342,0.13180085,2.5526779
0.49402538,-32.0,115.25,2021-11-22,0.0011099179,0.001142186,0.13165006,2.5550535
0.49402538,-32.0,115.25,2021-11-23,0.0011745951,0.0012363896,0.1314683,2.556354
0.49402538,-32.0,115.25,2021-11-24,0.0011971935,0.0016000968,0.13122469,2.55792
0.49402538,-32.0,115.25,2021-11-25,0.001221792,0.0017984665,0.13093445,2.5598085
0.49402538,-32.0,115.25,2021-11-26,0.0012560576,0.0020910448,0.13062182,2.5637589
0.49402538,-32.0,115.25,2021-11-27,0.0013528764,0.0030904429,0.13002728,2.5759141
0.49402538,-32.0,115.25,2021-11-28,0.001466542,0.0026178157,0.12938875,2.5899022
0.49402538,-32.0,115.25,2021-11-29,0.0015601375,0.0015760756,0.12899187,2.6013393
0.49402538,-32.0,115.25,2021-11-30,0.0015207165,0.0011256909,0.12926885,2.5989041
0.49402538,-32.0,115.25,2021-12-01,0.0013657456,0.0010800214,0.13002263,2.5871835
0.49402538,-32.0,115.25,2021-12-02,0.0011698044,0.0011393211,0.1311075,2.5717673
0.49402538,-32.0,115.25,2021-12-03,0.0009934991,0.0015900738,0.1322465,2.556738
0.49402538,-32.0,115.25,2021-12-04,0.00088350824,0.0018752811,0.13305637,2.5459685
0.49402538,-32.0,115.25,2021-12-05,0.000803884,0.0018504234,0.13398537,2.5356147
0.49402538,-32.0,115.25,2021-12-06,0.0007048173,0.0020199285,0.1352956,2.523844
0.49402538,-32.0,115.25,2021-12-07,0.0006349014,0.002098953,0.13579695,2.520418
0.49402538,-32.0,115.25,2021-12-08,0.000661984,0.002606453,0.13423021,2.533126
0.49402538,-32.0,115.25,2021-12-09,0.00076287606,0.002372733,0.13085121,2.5643418
0.49402538,-32.0,115.25,2021-12-10,0.0008390765,0.0018631796,0.12809339,2.591786
0.49402538,-32.0,115.25,2021-12-11,0.00090813445,0.0016795929,0.126979,2.6067266
0.49402538,-32.0,115.25,2021-12-12,0.0010148227,0.0012943094,0.12693594,2.6110008
0.49402538,-32.0,115.25,2021-12-13,0.000989761,0.0012633849,0.12713763,2.6101413
0.49402538,-32.0,115.25,2021-12-14,0.0009536791,0.0013544969,0.12730324,2.6082492
0.49402538,-32.0,115.25,2021-12-15,0.000927253,0.0014864593,0.12756176,2.6047084
0.49402538,-32.0,115.25,2021-12-16,0.0009435913,0.0016548599,0.12762667,2.6023638
0.49402538,-32.0,115.25,2021-12-17,0.0011436628,0.0015309884,0.12706089,2.6045423
