depth,latitude,longitude,time,fe,no3,po4,si
0.49402538,-32.5,115.5,2021-11-01,0.0039122915,0.010363889,0.119016945,2.9192154
0.49402538,-32.5,115.5,2021-11-02,0.003961879,0.01233984,0.1184991,2.915658
0.49402538,-32.5,115.5,2021-11-03,0.0039446903,0.017338555,0.118786216,2.9110212
0.49402538,-32.5,115.5,2021-11-04,0.0039388384,0.01234564,0.11853355,2.907862
0.49402538,-32.5,115.5,2021-11-05,0.0040646014,0.009970546,0.117589995,2.9046037
0.49402538,-32.5,115.5,2021-11-06,0.00417818,0.008879315,0.11660547,2.8853421
0.49402538,-32.5,115.5,2021-11-07,0.004213963,0.0077308384,0.11602224,2.855678
0.49402538,-32.5,115.5,2021-11-08,0.004186704,0.007886388,0.11582288,2.8248332
0.49402538,-32.5,115.5,2021-11-09,0.0041334825,0.008644889,0.115878694,2.8052337
0.49402538,-32.5,115.5,2021-11-10,0.004097405,0.009366287,0.115811855,2.7898095
0.49402538,-32.5,115.5,2021-11-11,0.004108463,0.008921483,0.115725584,2.776758
0.49402538,-32.5,115.5,2021-11-12,0.0041320412,0.0100895325,0.1157458,2.7663422
0.49402538,-32.5,115.5,2021-11-13,0.0041176244,0.009777703,0.11579928,2.761321
0.49402538,-32.5,115.5,2021-11-14,0.00412493,0.010966542,0.11585809,2.7670076
0.49402538,-32.5,115.5,2021-11-15,0.0042407,0.016202554,0.11613002,2.786435
0.49402538,-32.5,115.5,2021-11-16,0.0043553025,0.01959245,0.11668661,2.8037598
0.49402538,-32.5,115.5,2021-11-17,0.0042592552,0.013111088,0.11715066,2.80273
0.49402538,-32.5,115.5,2021-11-18,0.0040690457,0.007220657,0.117469415,2.7993898
0.49402538,-32.5,115.5,2021-11-19,0.0040606437,0.0064544505,0.11718301,2.7972393
0.49402538,-32.5,115.5,2021-11-20,0.004174856,0.008710243,0.116728224,2.7832253
0.49402538,-32.5,115.5,2021-11-21,0.004236876,0.008577047,0.11650147,2.7706525
0.49402538,-32.5,115.5,2021-11-22,0.0041906866,0.005348552,0.11649747,2.7684796
0.49402538,-32.5,115.5,2021-11-23,0.004183271,0.006194853,0.11649819,2.7522078
0.49402538,-32.5,115.5,2021-11-24,0.004178699,0.007564022,0.11659774,2.7340252
0.49402538,-32.5,115.5,2021-11-25,0.0041688816,0.008068861,0.11664223,2.7210555
0.49402538,-32.5,115.5,2021-11-26,0.004176429,0.009227644,0.11660958,2.713814
0.49402538,-32.5,115.5,2021-11-27,0.0042672926,0.013842253,0.11649108,2.715581
0.49402538,-32.5,115.5,2021-11-28,0.004292117,0.010860812,0.11622018,2.7196078
0.49402538,-32.5,115.5,2021-11-29,0.0041961023,0.0057351235,0.11649032,2.7194986
0.49402538,-32.5,115.5,2021-11-30,0.0041556316,0.004377853,0.11703359,2.7091
0.49402538,-32.5,115.5,2021-12-01,0.004112398,0.0043050395,0.11758537,2.6773336
0.49402538,-32.5,115.5,2021-12-02,0.004037948,0.0040373206,0.11818356,2.6432908
0.49402538,-32.5,115.5,2021-12-03,0.0039534494,0.0041687717,0.118716404,2.6183283
0.49402538,-32.5,115.5,2021-12-04,0.0038747624,0.00474898,0.119158,2.6018322
0.49402538,-32.5,115.5,2021-12-05,0.003799709,0.004455929,0.119536236,2.5907931
0.49402538,-32.5,115.5,2021-12-06,0.0037314268,0.004337571,0.11989771,2.5823019
0.49402538,-32.5,115.5,2021-12-07,0.0036982042,0.0062156236,0.12017663,2.576442
0.49402538,-32.5,115.5,2021-12-08,0.0037652308,0.010059089,0.12013163,2.5763583
0.49402538,-32.5,115.5,2021-12-09,0.0038133846,0.0076685585,0.119705774,2.579477
0.49402538,-32.5,115.5,2021-12-10,0.0038085992,0.0063588982,0.11960374,2.5842638
0.49402538,-32.5,115.5,2021-12-11,0.0037568614,0.0054106736,0.1197254,2.5856826
0.49402538,-32.5,115.5,2021-12-12,0.003711258,0.0038278194,0.119965255,2.5831819
0.49402538,-32.5,115.5,2021-12-13,0.0037489864,0.0038334602,0.12007974,2.5757334
