Header,Value
Agency Name,Mercator Ocean International
Agency Code,MOI
Program,Pelagic Interactions Scheme for Carbon and Ecosystem Studies (PISCES)
Project,Cockburn Sound Model Virtual Sensor
Tag,MOI-PISCES-PFT
Data File Name,CMEMS_pft_polygon_3_Chlorophyll-a_profile_Data.csv
Location,data-warehouse/csv/MOI/pisces/model_pft
Station Status,Active
Lat,-32.0335
Long,115.3217
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,MOI-pisces-model_pft-Ocean_Boundary_Polygon_3
Site Description,Ocean Boundary Polygon 3
Deployment,Profile
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00014
Data Category,Ecology (Planktonic)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-a
QC,NaN
