time,latitude,longitude,analysed_sst
2002-06-01 09:00:00,-32.36,115.6,20.31
2002-06-02 09:00:00,-32.36,115.6,20.847
2002-06-03 09:00:00,-32.36,115.6,21.176
2002-06-04 09:00:00,-32.36,115.6,21.187
2002-06-05 09:00:00,-32.36,115.6,20.807
2002-06-06 09:00:00,-32.36,115.6,20.402
2002-06-07 09:00:00,-32.36,115.6,20.455
2002-06-08 09:00:00,-32.36,115.6,20.383
2002-06-09 09:00:00,-32.36,115.6,20.35
2002-06-10 09:00:00,-32.36,115.6,20.322
2002-06-11 09:00:00,-32.36,115.6,20.01
2002-06-12 09:00:00,-32.36,115.6,19.734
2002-06-13 09:00:00,-32.36,115.6,19.1
2002-06-14 09:00:00,-32.36,115.6,19.171
2002-06-15 09:00:00,-32.36,115.6,19.53
2002-06-16 09:00:00,-32.36,115.6,19.642
2002-06-17 09:00:00,-32.36,115.6,19.436
2002-06-18 09:00:00,-32.36,115.6,19.379
2002-06-19 09:00:00,-32.36,115.6,19.33
2002-06-20 09:00:00,-32.36,115.6,19.356
2002-06-21 09:00:00,-32.36,115.6,19.434
2002-06-22 09:00:00,-32.36,115.6,19.442
2002-06-23 09:00:00,-32.36,115.6,19.434
2002-06-24 09:00:00,-32.36,115.6,19.323
2002-06-25 09:00:00,-32.36,115.6,19.457
2002-06-26 09:00:00,-32.36,115.6,19.224
2002-06-27 09:00:00,-32.36,115.6,19.008
2002-06-28 09:00:00,-32.36,115.6,19.041
2002-06-29 09:00:00,-32.36,115.6,19.036
2002-06-30 09:00:00,-32.36,115.6,19.234
2002-07-01 09:00:00,-32.36,115.6,19.249
2002-07-02 09:00:00,-32.36,115.6,18.759
2002-07-03 09:00:00,-32.36,115.6,18.852
2002-07-04 09:00:00,-32.36,115.6,18.74
2002-07-05 09:00:00,-32.36,115.6,18.6
2002-07-06 09:00:00,-32.36,115.6,18.795
2002-07-07 09:00:00,-32.36,115.6,18.532
2002-07-08 09:00:00,-32.36,115.6,18.252
2002-07-09 09:00:00,-32.36,115.6,18.536
2002-07-10 09:00:00,-32.36,115.6,18.255
2002-07-11 09:00:00,-32.36,115.6,17.848
2002-07-12 09:00:00,-32.36,115.6,17.743
2002-07-13 09:00:00,-32.36,115.6,17.831
2002-07-14 09:00:00,-32.36,115.6,18.587
2002-07-15 09:00:00,-32.36,115.6,18.561
2002-07-16 09:00:00,-32.36,115.6,18.473
2002-07-17 09:00:00,-32.36,115.6,18.457
2002-07-18 09:00:00,-32.36,115.6,18.963
2002-07-19 09:00:00,-32.36,115.6,20.241
2002-07-20 09:00:00,-32.36,115.6,20.123
2002-07-21 09:00:00,-32.36,115.6,20.154
2002-07-22 09:00:00,-32.36,115.6,20.15
2002-07-23 09:00:00,-32.36,115.6,19.962
2002-07-24 09:00:00,-32.36,115.6,19.923
2002-07-25 09:00:00,-32.36,115.6,20.219
2002-07-26 09:00:00,-32.36,115.6,19.918
2002-07-27 09:00:00,-32.36,115.6,19.158
2002-07-28 09:00:00,-32.36,115.6,19.0
2002-07-29 09:00:00,-32.36,115.6,19.612
2002-07-30 09:00:00,-32.36,115.6,19.756
2002-07-31 09:00:00,-32.36,115.6,19.919
2002-08-01 09:00:00,-32.36,115.6,19.998
2002-08-02 09:00:00,-32.36,115.6,20.099
2002-08-03 09:00:00,-32.36,115.6,19.896
2002-08-04 09:00:00,-32.36,115.6,19.729
2002-08-05 09:00:00,-32.36,115.6,19.076
2002-08-06 09:00:00,-32.36,115.6,17.911
2002-08-07 09:00:00,-32.36,115.6,18.93
2002-08-08 09:00:00,-32.36,115.6,18.868
2002-08-09 09:00:00,-32.36,115.6,18.587
2002-08-10 09:00:00,-32.36,115.6,17.961
2002-08-11 09:00:00,-32.36,115.6,18.217
2002-08-12 09:00:00,-32.36,115.6,18.253
2002-08-13 09:00:00,-32.36,115.6,18.208
2002-08-14 09:00:00,-32.36,115.6,18.131
2002-08-15 09:00:00,-32.36,115.6,18.021
2002-08-16 09:00:00,-32.36,115.6,17.838
2002-08-17 09:00:00,-32.36,115.6,17.973
2002-08-18 09:00:00,-32.36,115.6,17.384
2002-08-19 09:00:00,-32.36,115.6,17.474
