Params.Name,Params.Units in dataset,Conv,Key,Key Value,Notes,Category
PSAL,psu,1,var00006,Salinity,,Water Quality (PhysChm)
TEMP,C,1,var00007,Temperature,,Water Quality (PhysChm)
