depth,latitude,longitude,time,kd
0.49402538,-32.5,115.5,2023-11-15,0.0412942
0.49402538,-32.5,115.5,2023-11-16,0.039521787
0.49402538,-32.5,115.5,2023-11-17,0.037709698
0.49402538,-32.5,115.5,2023-11-18,0.03614089
0.49402538,-32.5,115.5,2023-11-19,0.035024274
0.49402538,-32.5,115.5,2023-11-20,0.033776186
0.49402538,-32.5,115.5,2023-11-21,0.03302321
0.49402538,-32.5,115.5,2023-11-22,0.03288
0.49402538,-32.5,115.5,2023-11-23,0.032958116
0.49402538,-32.5,115.5,2023-11-24,0.03350492
0.49402538,-32.5,115.5,2023-11-25,0.03350492
0.49402538,-32.5,115.5,2023-11-26,0.032906037
0.49402538,-32.5,115.5,2023-11-27,0.03288
0.49402538,-32.5,115.5,2023-11-28,0.03288
0.49402538,-32.5,115.5,2023-11-29,0.032506406
0.49402538,-32.5,115.5,2023-11-30,0.031883754
0.49402538,-32.5,115.5,2023-12-01,0.031728365
0.49402538,-32.5,115.5,2023-12-02,0.03131
0.49402538,-32.5,115.5,2023-12-03,0.030649273
0.49402538,-32.5,115.5,2023-12-04,0.03037721
0.49402538,-32.5,115.5,2023-12-05,0.03037721
0.49402538,-32.5,115.5,2023-12-06,0.029884767
0.49402538,-32.5,115.5,2023-12-07,0.02984
0.49402538,-32.5,115.5,2023-12-08,0.02984
0.49402538,-32.5,115.5,2023-12-09,0.029340291
0.49402538,-32.5,115.5,2023-12-10,0.028983356
0.49402538,-32.5,115.5,2023-12-11,0.028983356
0.49402538,-32.5,115.5,2023-12-12,0.028983356
0.49402538,-32.5,115.5,2023-12-13,0.029483065
0.49402538,-32.5,115.5,2023-12-14,0.02984
0.49402538,-32.5,115.5,2023-12-15,0.02984
0.49402538,-32.5,115.5,2023-12-16,0.029322445
0.49402538,-32.5,115.5,2023-12-17,0.028983356
0.49402538,-32.5,115.5,2023-12-18,0.028983356
0.49402538,-32.5,115.5,2023-12-19,0.028983356
0.49402538,-32.5,115.5,2023-12-20,0.028983356
0.49402538,-32.5,115.5,2023-12-21,0.030003643
0.49402538,-32.5,115.5,2023-12-22,0.031227564
