time,latitude,longitude,poc
2012-03-16 00:00:00,-31.895838,115.68751,223.80362
2012-04-16 00:00:00,-31.895838,115.68751,240.40172
2012-05-16 00:00:00,-31.895838,115.68751,260.64188
2012-06-16 00:00:00,-31.895838,115.68751,182.2666
2012-07-16 00:00:00,-31.895838,115.68751,204.1222
2012-08-16 00:00:00,-31.895838,115.68751,144.44983
2012-09-16 00:00:00,-31.895838,115.68751,206.1997
2012-10-16 00:00:00,-31.895838,115.68751,256.1418
2012-11-16 00:00:00,-31.895838,115.68751,217.1499
2012-12-16 00:00:00,-31.895838,115.68751,281.7998
2013-01-16 00:00:00,-31.895838,115.68751,230.8999
2013-02-16 00:00:00,-31.895838,115.68751,252.44054
2013-03-16 00:00:00,-31.895838,115.68751,359.4065
2013-04-16 00:00:00,-31.895838,115.68751,178.61148
2013-05-16 00:00:00,-31.895838,115.68751,289.86163
2013-06-16 00:00:00,-31.895838,115.68751,206.43013
2013-07-16 00:00:00,-31.895838,115.68751,287.0
2013-08-16 00:00:00,-31.895838,115.68751,221.9468
2013-09-16 00:00:00,-31.895838,115.68751,244.99988
2013-10-16 00:00:00,-31.895838,115.68751,743.69995
2013-11-16 00:00:00,-31.895838,115.68751,
2013-12-16 00:00:00,-31.895838,115.68751,242.79135
2014-01-16 00:00:00,-31.895838,115.68751,212.93327
2014-02-16 00:00:00,-31.895838,115.68751,189.46773
2014-03-16 00:00:00,-31.895838,115.68751,286.75732
2014-04-16 00:00:00,-31.895838,115.68751,202.59724
2014-05-16 00:00:00,-31.895838,115.68751,224.66667
2014-06-16 00:00:00,-31.895838,115.68751,294.6
2014-07-16 00:00:00,-31.895838,115.68751,217.6
2014-08-16 00:00:00,-31.895838,115.68751,198.4
2014-09-16 00:00:00,-31.895838,115.68751,199.8
2014-10-16 00:00:00,-31.895838,115.68751,213.4
2014-11-16 00:00:00,-31.895838,115.68751,149.6
2014-12-16 00:00:00,-31.895838,115.68751,118.8
2015-01-16 00:00:00,-31.895838,115.68751,126.4
2015-02-16 00:00:00,-31.895838,115.68751,163.8
2015-03-16 00:00:00,-31.895838,115.68751,513.0
2015-04-16 00:00:00,-31.895838,115.68751,178.2
2015-05-16 00:00:00,-31.895838,115.68751,220.4
2015-06-16 00:00:00,-31.895838,115.68751,253.0
2015-07-16 00:00:00,-31.895838,115.68751,282.4
2015-08-16 00:00:00,-31.895838,115.68751,235.4
2015-09-16 00:00:00,-31.895838,115.68751,180.2
2015-10-16 00:00:00,-31.895838,115.68751,148.0
2015-11-16 00:00:00,-31.895838,115.68751,136.8
2015-12-16 00:00:00,-31.895838,115.68751,147.0
2016-01-16 00:00:00,-31.895838,115.68751,124.2
2016-02-16 00:00:00,-31.895838,115.68751,177.8
2016-03-16 00:00:00,-31.895838,115.68751,142.6
2016-04-16 00:00:00,-31.895838,115.68751,149.8
2016-05-16 00:00:00,-31.895838,115.68751,558.6
2016-06-16 00:00:00,-31.895838,115.68751,233.4
2016-07-16 00:00:00,-31.895838,115.68751,192.6
2016-08-16 00:00:00,-31.895838,115.68751,158.4
2016-09-16 00:00:00,-31.895838,115.68751,180.6
