time,latitude,longitude,RRS412,RRS443,RRS490,RRS555,RRS670
1997-09-04,-31.937504,115.68751,,,,,
1997-09-05,-31.937504,115.68751,,,,,
1997-09-06,-31.937504,115.68751,,,,,
1997-09-07,-31.937504,115.68751,,,,,
1997-09-08,-31.937504,115.68751,,,,,
1997-09-09,-31.937504,115.68751,,,,,
1997-09-10,-31.937504,115.68751,,,,,
1997-09-11,-31.937504,115.68751,,,,,
1997-09-12,-31.937504,115.68751,,,,,
1997-09-13,-31.937504,115.68751,,,,,
1997-09-14,-31.937504,115.68751,,,,,
1997-09-15,-31.937504,115.68751,,,,,
1997-09-16,-31.937504,115.68751,0.0040621064,0.004792097,0.006168164,0.004137328,0.00028534082
1997-09-17,-31.937504,115.68751,,,,,
1997-09-18,-31.937504,115.68751,,,,,
1997-09-19,-31.937504,115.68751,,,,,
1997-09-20,-31.937504,115.68751,0.0067190034,0.007219777,0.008186967,0.00533617,0.0006961207
1997-09-21,-31.937504,115.68751,,,,,
1997-09-22,-31.937504,115.68751,0.007316821,0.008066945,0.009354886,0.005928212,0.0006042581
1997-09-23,-31.937504,115.68751,0.0019427467,0.0031024513,0.004922653,0.0040631015,4.1450934e-05
1997-09-24,-31.937504,115.68751,0.010390916,0.0109809255,0.012422935,0.008852396,0.0016674837
1997-09-25,-31.937504,115.68751,,,,,
1997-09-26,-31.937504,115.68751,,,,,
1997-09-27,-31.937504,115.68751,,,,,
1997-09-28,-31.937504,115.68751,,,,,
1997-09-29,-31.937504,115.68751,,,,,
1997-09-30,-31.937504,115.68751,,,,,
1997-10-01,-31.937504,115.68751,,,,,
1997-10-02,-31.937504,115.68751,,,,,
1997-10-03,-31.937504,115.68751,0.0032398594,0.004425879,0.0064156186,0.0059247767,0.00037081956
1997-10-04,-31.937504,115.68751,0.005730266,0.007998996,0.010837195,0.005957378,0.00017643244
1997-10-05,-31.937504,115.68751,0.0026889453,0.0041749333,0.0065529374,0.0072926045,0.0005877713
1997-10-06,-31.937504,115.68751,,,,,
1997-10-07,-31.937504,115.68751,0.009117876,0.009212347,0.008426164,0.0077282866,0.00059773127
1997-10-08,-31.937504,115.68751,,,,,
1997-10-09,-31.937504,115.68751,,,,,
1997-10-10,-31.937504,115.68751,0.013287853,0.014196078,0.017621016,0.016966984,0.0030549634
1997-10-11,-31.937504,115.68751,,,,,
1997-10-12,-31.937504,115.68751,0.0066792937,0.008649535,0.011661569,0.009863854,0.001252699
1997-10-13,-31.937504,115.68751,,,,,
1997-10-14,-31.937504,115.68751,,,,,
1997-10-15,-31.937504,115.68751,,,,,
1997-10-16,-31.937504,115.68751,,,,,
1997-10-17,-31.937504,115.68751,,,,,
1997-10-18,-31.937504,115.68751,,,,,
1997-10-19,-31.937504,115.68751,,,,,
1997-10-20,-31.937504,115.68751,,,,,
1997-10-21,-31.937504,115.68751,0.002429249,0.0036614088,0.0054144477,0.0029272854,-0.00011576555
1997-10-22,-31.937504,115.68751,,,,,
1997-10-23,-31.937504,115.68751,,,,,
1997-10-24,-31.937504,115.68751,,,,,
1997-10-25,-31.937504,115.68751,0.005069865,0.005954556,0.00698956,0.003588243,0.0002060885
1997-10-26,-31.937504,115.68751,0.0030373272,0.004506644,0.0060237246,0.0030089614,-0.00047114163
1997-10-27,-31.937504,115.68751,,,,,
1997-10-28,-31.937504,115.68751,0.0045729526,0.006368264,0.0078424355,0.0037228914,0.00014647105
1997-10-29,-31.937504,115.68751,,,,,
1997-10-30,-31.937504,115.68751,0.0033732695,0.00493315,0.0072886203,0.0060661673,0.00059142115
1997-10-31,-31.937504,115.68751,,,,,
1997-11-01,-31.937504,115.68751,0.0036056829,0.004453051,0.0057398803,0.004385274,0.00031626647
1997-11-02,-31.937504,115.68751,,,,,
1997-11-03,-31.937504,115.68751,0.004575236,0.005598593,0.006338165,0.0034445098,0.0005223014
1997-11-04,-31.937504,115.68751,,,,,
1997-11-05,-31.937504,115.68751,,,,,
