time,latitude,longitude,RRS412,RRS443,RRS490,RRS555,RRS670
1997-09-04,-32.020836,115.35417,,,,,
1997-09-05,-32.020836,115.35417,,,,,
1997-09-06,-32.020836,115.35417,,,,,
1997-09-07,-32.020836,115.35417,,,,,
1997-09-08,-32.020836,115.35417,,,,,
1997-09-09,-32.020836,115.35417,,,,,
1997-09-10,-32.020836,115.35417,,,,,
1997-09-11,-32.020836,115.35417,,,,,
1997-09-12,-32.020836,115.35417,,,,,
1997-09-13,-32.020836,115.35417,,,,,
1997-09-14,-32.020836,115.35417,,,,,
1997-09-15,-32.020836,115.35417,,,,,
1997-09-16,-32.020836,115.35417,0.005324493,0.0051598093,0.004398911,0.0015113625,9.5095675e-05
1997-09-17,-32.020836,115.35417,,,,,
1997-09-18,-32.020836,115.35417,,,,,
1997-09-19,-32.020836,115.35417,,,,,
1997-09-20,-32.020836,115.35417,,,,,
1997-09-21,-32.020836,115.35417,,,,,
1997-09-22,-32.020836,115.35417,0.006412262,0.0058480734,0.0048939134,0.0016479865,0.00014040667
1997-09-23,-32.020836,115.35417,0.00684553,0.0061720526,0.005261811,0.001591735,3.992704e-05
1997-09-24,-32.020836,115.35417,,,,,
1997-09-25,-32.020836,115.35417,,,,,
1997-09-26,-32.020836,115.35417,,,,,
1997-09-27,-32.020836,115.35417,,,,,
1997-09-28,-32.020836,115.35417,,,,,
1997-09-29,-32.020836,115.35417,,,,,
1997-09-30,-32.020836,115.35417,,,,,
1997-10-01,-32.020836,115.35417,,,,,
1997-10-02,-32.020836,115.35417,,,,,
1997-10-03,-32.020836,115.35417,0.004949101,0.004680933,0.0042611314,0.0013768141,7.156393e-05
1997-10-04,-32.020836,115.35417,0.0043710773,0.0043575643,0.003844332,0.0011656258,-4.463575e-05
1997-10-05,-32.020836,115.35417,0.004211304,0.0041496023,0.0040203216,0.0013526991,3.0614738e-05
1997-10-06,-32.020836,115.35417,,,,,
1997-10-07,-32.020836,115.35417,0.008334114,0.0071245115,0.0071070455,0.0037620838,0.0014402727
1997-10-08,-32.020836,115.35417,,,,,
1997-10-09,-32.020836,115.35417,,,,,
1997-10-10,-32.020836,115.35417,0.008653436,0.0075926315,0.006684458,0.0026495683,3.033974e-05
1997-10-11,-32.020836,115.35417,,,,,
1997-10-12,-32.020836,115.35417,0.007545129,0.006594711,0.0059510283,0.002326946,0.00028563477
1997-10-13,-32.020836,115.35417,,,,,
1997-10-14,-32.020836,115.35417,,,,,
1997-10-15,-32.020836,115.35417,,,,,
1997-10-16,-32.020836,115.35417,,,,,
1997-10-17,-32.020836,115.35417,,,,,
1997-10-18,-32.020836,115.35417,,,,,
1997-10-19,-32.020836,115.35417,,,,,
1997-10-20,-32.020836,115.35417,,,,,
1997-10-21,-32.020836,115.35417,0.004209801,0.004404209,0.0041183606,0.0014937348,0.00010439463
1997-10-22,-32.020836,115.35417,,,,,
1997-10-23,-32.020836,115.35417,,,,,
1997-10-24,-32.020836,115.35417,,,,,
1997-10-25,-32.020836,115.35417,0.005665278,0.0052775894,0.0043387297,0.0012551268,5.4605694e-05
1997-10-26,-32.020836,115.35417,0.0047199973,0.0047355327,0.004165898,0.0013742883,6.9168804e-05
1997-10-27,-32.020836,115.35417,0.0100342175,0.009435986,0.007456377,0.0025010705,0.0007021174
1997-10-28,-32.020836,115.35417,0.005659555,0.00530533,0.004436253,0.0013835563,0.00011835348
1997-10-29,-32.020836,115.35417,0.008560909,0.008355386,0.007247399,0.003150881,0.0005402522
1997-10-30,-32.020836,115.35417,0.004092527,0.004187788,0.003977697,0.0015845852,0.00015961257
1997-10-31,-32.020836,115.35417,,,,,
1997-11-01,-32.020836,115.35417,0.0053883814,0.004890285,0.004017628,0.0011652054,-9.2786635e-05
1997-11-02,-32.020836,115.35417,,,,,
1997-11-03,-32.020836,115.35417,0.0049792356,0.004937652,0.0043510552,0.001402416,6.8693545e-05
1997-11-04,-32.020836,115.35417,,,,,
1997-11-05,-32.020836,115.35417,,,,,
1997-11-06,-32.020836,115.35417,0.0057642,0.0053557637,0.0044335667,0.0013879315,0.00011272491
1997-11-07,-32.020836,115.35417,0.0019720008,0.003664001,0.0047920006,0.0026920012,0.00031200086
1997-11-08,-32.020836,115.35417,0.0041488777,0.003991189,0.003654192,0.0013208822,6.1440696e-05
