time,RRS412,RRS443,RRS490,RRS555,RRS670
1997-09-04,,,,,
1997-09-05,,,,,
1997-09-06,,,,,
1997-09-07,,,,,
1997-09-08,,,,,
1997-09-09,,,,,
1997-09-10,,,,,
1997-09-11,,,,,
1997-09-12,,,,,
1997-09-13,,,,,
1997-09-14,,,,,
1997-09-15,,,,,
1997-09-16,0.0052186763,0.0050864173,0.0044503724,0.0015170774,0.00010513499
1997-09-17,,,,,
1997-09-18,,,,,
1997-09-19,,,,,
1997-09-20,0.008764032,0.008547382,0.0071285823,0.0020669503,-7.559049e-05
1997-09-21,,,,,
1997-09-22,0.006377997,0.005881209,0.004983228,0.001618086,0.00010993486
1997-09-23,0.0068773944,0.0063581285,0.005206547,0.0015480393,7.058725e-05
1997-09-24,0.007335708,0.0070960885,0.0064304983,0.002635119,0.00046211516
1997-09-25,,,,,
1997-09-26,,,,,
1997-09-27,,,,,
1997-09-28,,,,,
1997-09-29,,,,,
1997-09-30,,,,,
1997-10-01,,,,,
1997-10-02,,,,,
1997-10-03,0.00506985,0.0049053044,0.0044530854,0.0015330145,0.00010181832
1997-10-04,0.004129616,0.0041519883,0.003969144,0.0012673648,-4.872565e-05
1997-10-05,0.004445376,0.00437728,0.0042724707,0.0014684469,6.311769e-05
1997-10-06,,,,,
1997-10-07,0.0070261727,0.0063143144,0.0061985543,0.0025402824,0.0004505972
1997-10-08,0.011348997,0.009714005,0.007358694,0.0029054657,0.0004432126
1997-10-09,,,,,
1997-10-10,0.008765846,0.0080311075,0.0072979815,0.0031105818,0.00014811209
1997-10-11,,,,,
1997-10-12,0.006921249,0.006262073,0.0055740024,0.002149196,0.00015955298
1997-10-13,,,,,
1997-10-14,,,,,
1997-10-15,,,,,
1997-10-16,,,,,
1997-10-17,,,,,
1997-10-18,,,,,
1997-10-19,,,,,
1997-10-20,,,,,
1997-10-21,0.0049847034,0.004935996,0.0043197153,0.0013995171,9.3400115e-05
1997-10-22,,,,,
1997-10-23,,,,,
1997-10-24,,,,,
1997-10-25,0.0058208248,0.0055252444,0.00460391,0.0014432686,0.000105336716
1997-10-26,0.0056399233,0.0053864666,0.0044981684,0.0013581335,0.000109803594
1997-10-27,0.008800256,0.007610149,0.0059983735,0.0021162932,0.0003772396
1997-10-28,0.0058400137,0.005453628,0.0044872016,0.0013234197,8.58653e-05
1997-10-29,0.010214231,0.0092756795,0.0076620197,0.0033820553,0.00079496455
1997-10-30,0.00473343,0.0046703015,0.0042117108,0.0015197382,0.0001323397
1997-10-31,,,,,
1997-11-01,0.005621997,0.005116498,0.0042009107,0.001188992,-9.843027e-05
1997-11-02,,,,,
1997-11-03,0.005501354,0.005293755,0.0046742423,0.0016019105,0.00014381479
1997-11-04,,,,,
1997-11-05,0.008235883,0.0069576995,0.005614524,0.0020846298,0.00038939065
1997-11-06,0.004784187,0.0046042204,0.004049132,0.0013697419,9.654223e-05
1997-11-07,0.004508631,0.0049298727,0.004610229,0.0016459599,0.00013570338
1997-11-08,0.005108529,0.004876369,0.0041621546,0.0013673049,0.00010371556
1997-11-09,0.0048425994,0.0047717374,0.004179297,0.0013155045,5.1021256e-05
1997-11-10,0.007226131,0.0066382163,0.005259296,0.0017978371,0.00026197065
