Header,Value
Agency Name,Department of Environmental Protection
Agency Code,DEP
Program,Cockburn Sound Monitoring Program
Project,Southern Metropolitan Coastal Waters Study (SMCWS)
Tag,DEP-SMCWS-MS
Data File Name,MS11_M_NitrateNitrogen_profile_Data.csv
Location,data-warehouse/csv/dep/smcws
Station Status,Completed
Lat,-32.2583
Long,115.595
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,MS11
Site Description,Mid-Shelf (up to about 10km offshore of Cape Peron and Warnbro Sound) Site 1 (mid-depth)
Deployment,Profile
Deployment Position,m from bottom
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var02649
Data Category,Water Quality (Nutrient)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Nitrate Nitrogen
QC,NaN
