time,PP
1997-09-01,689.1811
1997-10-01,853.6711
1997-11-01,862.7007
1997-12-01,1021.79114
1998-01-01,937.3052
1998-02-01,829.3903
1998-03-01,952.87286
1998-04-01,824.0254
1998-05-01,647.481
1998-06-01,564.94995
1998-07-01,457.2243
1998-08-01,498.55493
1998-09-01,589.97675
1998-10-01,655.5421
1998-11-01,798.3776
1998-12-01,824.07263
1999-01-01,909.5963
1999-02-01,1106.4026
1999-03-01,1037.4808
1999-04-01,771.4763
1999-05-01,461.79425
1999-06-01,680.98663
1999-07-01,623.99884
1999-08-01,606.8915
1999-09-01,759.499
1999-10-01,789.384
1999-11-01,898.0873
1999-12-01,986.6832
2000-01-01,943.02344
2000-02-01,1309.2885
2000-03-01,933.1893
2000-04-01,619.96716
2000-05-01,691.95056
2000-06-01,438.1212
2000-07-01,507.95108
2000-08-01,498.62762
2000-09-01,573.32996
2000-10-01,906.9977
2000-11-01,759.8465
2000-12-01,908.5985
2001-01-01,940.13477
2001-02-01,954.5254
2001-03-01,928.7543
2001-04-01,722.9674
2001-05-01,596.19617
2001-06-01,523.67896
2001-07-01,510.98468
2001-08-01,591.89764
2001-09-01,558.6501
2001-10-01,692.31287
2001-11-01,744.6456
2001-12-01,854.2122
2002-01-01,965.1793
2002-02-01,989.4835
2002-03-01,867.0084
2002-04-01,757.99994
2002-05-01,751.92413
2002-06-01,551.708
2002-07-01,519.06116
2002-08-01,644.28564
2002-09-01,644.03876
2002-10-01,735.23956
2002-11-01,831.758
2002-12-01,1056.9568
2003-01-01,1583.8115
2003-02-01,1512.2437
2003-03-01,1567.9851
2003-04-01,1081.2389
2003-05-01,1239.2982
2003-06-01,669.92224
2003-07-01,559.3253
2003-08-01,665.1072
2003-09-01,816.29956
2003-10-01,896.49335
2003-11-01,894.26904
2003-12-01,1067.5996
2004-01-01,1313.1166
2004-02-01,1484.6892
2004-03-01,1332.9973
2004-04-01,1102.0729
2004-05-01,933.3353
2004-06-01,633.1577
2004-07-01,785.47626
2004-08-01,597.4232
2004-09-01,828.2709
2004-10-01,797.9352
2004-11-01,853.2131
2004-12-01,1091.7572
2005-01-01,1176.3794
2005-02-01,1220.3854
2005-03-01,1309.3538
2005-04-01,1373.3141
2005-05-01,1043.2742
2005-06-01,626.7531
2005-07-01,636.3841
2005-08-01,670.5614
2005-09-01,641.3532
2005-10-01,878.5209
2005-11-01,957.8358
2005-12-01,988.9064
2006-01-01,1216.8674
2006-02-01,1151.7025
2006-03-01,1842.3265
2006-04-01,865.674
2006-05-01,934.5666
2006-06-01,866.7676
2006-07-01,741.42316
2006-08-01,693.5665
2006-09-01,754.6403
2006-10-01,878.265
2006-11-01,951.8096
2006-12-01,1206.6371
2007-01-01,1329.9402
2007-02-01,1487.7998
2007-03-01,1572.0736
2007-04-01,991.681
2007-05-01,908.0034
2007-06-01,632.9335
2007-07-01,541.38
2007-08-01,640.40735
2007-09-01,826.46985
2007-10-01,967.5231
2007-11-01,973.9847
2007-12-01,1029.9866
2008-01-01,1284.9359
2008-02-01,1486.0656
2008-03-01,1588.9666
2008-04-01,1082.3324
2008-05-01,904.682
2008-06-01,863.0508
2008-07-01,549.95087
2008-08-01,796.7088
2008-09-01,635.9349
2008-10-01,807.3285
2008-11-01,976.7379
2008-12-01,1134.3691
2009-01-01,1281.5447
2009-02-01,1452.1437
2009-03-01,1441.1555
2009-04-01,1310.577
2009-05-01,1301.7441
2009-06-01,675.3292
2009-07-01,760.1295
2009-08-01,699.8504
2009-09-01,750.84393
2009-10-01,1041.8186
2009-11-01,1075.4281
2009-12-01,1147.6205
2010-01-01,1432.579
2010-02-01,1117.3613
2010-03-01,1309.3643
2010-04-01,1104.9797
2010-05-01,962.9505
2010-06-01,960.6505
2010-07-01,695.32495
2010-08-01,710.5627
2010-09-01,848.20624
2010-10-01,891.70135
2010-11-01,886.7969
2010-12-01,948.60486
2011-01-01,1584.6165
2011-02-01,1611.6384
2011-03-01,2291.4985
2011-04-01,1650.1609
2011-05-01,1037.8235
2011-06-01,667.6416
2011-07-01,602.0314
2011-08-01,713.22546
2011-09-01,847.95166
2011-10-01,949.7046
2011-11-01,895.3412
2011-12-01,1034.0209
2012-01-01,1269.6145
2012-02-01,1380.5967
2012-03-01,1492.9232
2012-04-01,1000.9465
2012-05-01,1145.0963
2012-06-01,551.6412
2012-07-01,629.8032
2012-08-01,698.13245
2012-09-01,713.2702
2012-10-01,814.5306
2012-11-01,764.63574
2012-12-01,998.86035
2013-01-01,1209.6575
2013-02-01,1590.5881
2013-03-01,1153.2401
2013-04-01,933.83997
2013-05-01,833.07227
2013-06-01,603.60974
2013-07-01,592.3897
2013-08-01,641.5531
2013-09-01,683.1256
2013-10-01,1006.93945
2013-11-01,925.9837
2013-12-01,1122.001
2014-01-01,1218.9819
2014-02-01,1276.4098
2014-03-01,1229.9811
2014-04-01,1108.724
2014-05-01,727.26276
2014-06-01,792.93567
2014-07-01,564.6348
2014-08-01,601.5918
2014-09-01,713.54016
2014-10-01,841.7184
2014-11-01,966.30505
2014-12-01,936.3667
2015-01-01,1016.4466
2015-02-01,1224.9713
2015-03-01,1459.4509
2015-04-01,1230.8887
2015-05-01,880.2038
2015-06-01,655.5503
2015-07-01,545.6605
2015-08-01,639.0864
2015-09-01,732.0167
2015-10-01,886.64734
2015-11-01,981.8922
2015-12-01,1139.5935
2016-01-01,1150.7455
2016-02-01,1294.5895
2016-03-01,1146.4733
2016-04-01,1074.113
2016-05-01,779.5812
2016-06-01,705.17065
2016-07-01,580.95154
2016-08-01,663.3581
2016-09-01,707.7109
2016-10-01,724.07697
2016-11-01,1008.5511
2016-12-01,1040.2769
2017-01-01,1383.6925
2017-02-01,1740.4363
2017-03-01,1664.6038
2017-04-01,1844.5586
2017-05-01,1072.3971
2017-06-01,824.5905
2017-07-01,463.8379
2017-08-01,702.1935
2017-09-01,662.6414
2017-10-01,766.66077
2017-11-01,1065.184
2017-12-01,1202.2859
2018-01-01,1262.2761
2018-02-01,1298.7188
2018-03-01,1223.2976
2018-04-01,1261.5645
2018-05-01,1194.7312
2018-06-01,641.16016
2018-07-01,696.0407
2018-08-01,882.68866
2018-09-01,1037.258
2018-10-01,908.0426
2018-11-01,968.0594
2018-12-01,997.22577
2019-01-01,1239.7549
2019-02-01,1325.6873
2019-03-01,1376.9961
2019-04-01,1095.7646
2019-05-01,876.01404
2019-06-01,512.03394
2019-07-01,774.95795
2019-08-01,721.9813
2019-09-01,741.54047
2019-10-01,995.3258
2019-11-01,1065.2527
2019-12-01,1158.6934
2020-01-01,1252.9548
2020-02-01,1176.7307
2020-03-01,1381.1918
2020-04-01,1020.1312
2020-05-01,845.7594
2020-06-01,707.3003
2020-07-01,606.26294
2020-08-01,597.92004
2020-09-01,605.0887
2020-10-01,801.319
2020-11-01,921.8854
2020-12-01,1151.1936
2021-01-01,1215.7555
2021-02-01,1147.7991
2021-03-01,1880.5364
2021-04-01,1421.2942
2021-05-01,849.97363
2021-06-01,584.3561
2021-07-01,443.12637
2021-08-01,700.58466
2021-09-01,836.92755
2021-10-01,818.3047
2021-11-01,1648.6963
2021-12-01,1833.7972
2022-01-01,1628.1328
2022-02-01,1640.5818
2022-03-01,1211.2614
2022-04-01,1444.5999
2022-05-01,847.3576
2022-06-01,677.5612
2022-07-01,613.282
2022-08-01,694.5914
2022-09-01,789.2204
2022-10-01,1124.7318
2022-11-01,1398.43
2022-12-01,1648.5896
2023-01-01,1274.4436
2023-02-01,1419.415
2023-03-01,1382.7446
2023-04-01,1261.1296
2023-05-01,867.57263
2023-06-01,633.13025
2023-07-01,547.39905
2023-08-01,750.589
2023-09-01,750.02997
2023-10-01,1465.7568
2023-11-01,1204.6282
2023-12-01,1358.4883
2024-01-01,1482.6199
2024-02-01,1144.7416
2024-03-01,1698.7015
2024-04-01,1325.9971
2024-05-01,1130.6146
2024-06-01,1122.3444
2024-07-01,627.0004
2024-08-01,596.85486
