time,PP
1997-09-01,439.53247
1997-10-01,507.04117
1997-11-01,485.11115
1997-12-01,474.84726
1998-01-01,449.1673
1998-02-01,451.76083
1998-03-01,456.86646
1998-04-01,462.47833
1998-05-01,482.37173
1998-06-01,517.5731
1998-07-01,439.10547
1998-08-01,488.43246
1998-09-01,602.5772
1998-10-01,589.5688
1998-11-01,466.66348
1998-12-01,421.23608
1999-01-01,458.2264
1999-02-01,493.27997
1999-03-01,567.6849
1999-04-01,418.32822
1999-05-01,389.1879
1999-06-01,492.35175
1999-07-01,471.38184
1999-08-01,536.922
1999-09-01,569.94763
1999-10-01,559.478
1999-11-01,454.32635
1999-12-01,460.8729
2000-01-01,508.8063
2000-02-01,627.90594
2000-03-01,715.7738
2000-04-01,516.8873
2000-05-01,470.63315
2000-06-01,415.66144
2000-07-01,511.789
2000-08-01,546.1253
2000-09-01,619.72687
2000-10-01,574.5961
2000-11-01,448.41852
2000-12-01,502.3172
2001-01-01,484.1932
2001-02-01,464.3028
2001-03-01,522.08844
2001-04-01,422.79004
2001-05-01,483.62567
2001-06-01,429.32062
2001-07-01,483.3806
2001-08-01,518.61414
2001-09-01,511.3976
2001-10-01,477.63983
2001-11-01,398.30185
2001-12-01,423.94687
2002-01-01,475.88898
2002-02-01,506.7776
2002-03-01,540.62244
2002-04-01,520.5897
2002-05-01,584.8065
2002-06-01,473.29605
2002-07-01,483.6285
2002-08-01,527.90753
2002-09-01,506.31964
2002-10-01,425.40073
2002-11-01,477.3977
2002-12-01,466.6249
2003-01-01,528.8622
2003-02-01,545.3347
2003-03-01,564.1713
2003-04-01,580.4884
2003-05-01,541.1974
2003-06-01,487.11002
2003-07-01,496.2726
2003-08-01,592.2435
2003-09-01,594.3835
2003-10-01,493.30182
2003-11-01,486.3542
2003-12-01,563.13855
2004-01-01,486.61752
2004-02-01,523.17365
2004-03-01,586.2831
2004-04-01,539.37933
2004-05-01,599.62067
2004-06-01,490.36923
2004-07-01,562.3687
2004-08-01,569.8958
2004-09-01,586.38904
2004-10-01,525.28046
2004-11-01,471.9676
2004-12-01,499.64557
2005-01-01,542.2062
2005-02-01,527.46814
2005-03-01,482.37436
2005-04-01,624.2818
2005-05-01,522.829
2005-06-01,443.92584
2005-07-01,579.074
2005-08-01,591.3246
2005-09-01,621.4604
2005-10-01,592.6459
2005-11-01,527.0331
2005-12-01,491.4149
2006-01-01,505.5516
2006-02-01,507.46466
2006-03-01,578.1826
2006-04-01,519.61084
2006-05-01,549.20056
2006-06-01,508.91446
2006-07-01,544.7501
2006-08-01,601.0405
2006-09-01,591.2947
2006-10-01,560.0665
2006-11-01,485.78876
2006-12-01,523.3169
2007-01-01,565.6417
2007-02-01,611.73175
2007-03-01,670.06915
2007-04-01,615.1045
2007-05-01,553.568
2007-06-01,415.7475
2007-07-01,500.38373
2007-08-01,564.4885
2007-09-01,638.6991
2007-10-01,567.2148
2007-11-01,504.8532
2007-12-01,502.3357
2008-01-01,525.2789
2008-02-01,579.3249
2008-03-01,655.1393
2008-04-01,588.22424
2008-05-01,533.7962
2008-06-01,568.71375
2008-07-01,534.7914
2008-08-01,573.84033
2008-09-01,534.6513
2008-10-01,487.42285
2008-11-01,507.8169
2008-12-01,527.5194
2009-01-01,537.0868
2009-02-01,553.3895
2009-03-01,665.84143
2009-04-01,669.99664
2009-05-01,676.51483
2009-06-01,530.874
2009-07-01,569.6948
2009-08-01,584.0413
2009-09-01,605.60876
2009-10-01,568.8853
2009-11-01,498.88043
2009-12-01,522.5443
2010-01-01,548.41077
2010-02-01,551.268
2010-03-01,577.226
2010-04-01,608.8605
2010-05-01,619.6405
2010-06-01,589.09814
2010-07-01,507.0399
