time,PP
1997-09-01,374.89783
1997-10-01,426.27798
1997-11-01,412.4801
1997-12-01,430.84207
1998-01-01,406.12012
1998-02-01,407.40652
1998-03-01,407.4166
1998-04-01,408.96594
1998-05-01,368.8937
1998-06-01,386.75034
1998-07-01,311.94476
1998-08-01,394.25345
1998-09-01,475.6888
1998-10-01,435.0482
1998-11-01,413.66055
1998-12-01,436.36908
1999-01-01,458.10883
1999-02-01,473.95557
1999-03-01,499.02896
1999-04-01,384.47653
1999-05-01,339.82275
1999-06-01,383.18295
1999-07-01,318.96106
1999-08-01,378.73523
1999-09-01,395.7805
1999-10-01,431.55112
1999-11-01,438.63025
1999-12-01,455.08698
2000-01-01,464.74365
2000-02-01,536.0683
2000-03-01,488.20844
2000-04-01,477.93988
2000-05-01,393.96274
2000-06-01,330.9558
2000-07-01,371.63535
2000-08-01,393.57547
2000-09-01,441.07376
2000-10-01,453.44275
2000-11-01,404.24112
2000-12-01,443.93103
2001-01-01,444.41626
2001-02-01,452.98328
2001-03-01,497.741
2001-04-01,400.9205
2001-05-01,437.00394
2001-06-01,378.34976
2001-07-01,334.66864
2001-08-01,396.6964
2001-09-01,394.1712
2001-10-01,403.64035
2001-11-01,394.98492
2001-12-01,426.03348
2002-01-01,416.57672
2002-02-01,434.2742
2002-03-01,452.5046
2002-04-01,446.0039
2002-05-01,452.34976
2002-06-01,363.8105
2002-07-01,357.53857
2002-08-01,411.3783
2002-09-01,366.51044
2002-10-01,355.1477
2002-11-01,394.19888
2002-12-01,422.70483
2003-01-01,455.7525
2003-02-01,470.13293
2003-03-01,450.99728
2003-04-01,465.50656
2003-05-01,461.94348
2003-06-01,392.34378
2003-07-01,339.31744
2003-08-01,404.85162
2003-09-01,440.51166
2003-10-01,414.49228
2003-11-01,432.61285
2003-12-01,461.4891
2004-01-01,414.06747
2004-02-01,441.15405
2004-03-01,463.4093
2004-04-01,423.97855
2004-05-01,488.3201
2004-06-01,370.77966
2004-07-01,414.1256
2004-08-01,420.5248
2004-09-01,474.0854
2004-10-01,433.88345
2004-11-01,444.64835
2004-12-01,466.78558
2005-01-01,473.77594
2005-02-01,452.4784
2005-03-01,411.6854
2005-04-01,500.94226
2005-05-01,441.23892
2005-06-01,341.80804
2005-07-01,394.24017
2005-08-01,418.29437
2005-09-01,449.6295
2005-10-01,452.35657
2005-11-01,452.8872
2005-12-01,416.28976
2006-01-01,451.942
2006-02-01,463.75195
2006-03-01,504.98578
2006-04-01,481.6979
2006-05-01,472.65848
2006-06-01,469.16168
2006-07-01,403.04016
2006-08-01,436.97836
2006-09-01,493.86783
2006-10-01,460.22522
2006-11-01,474.01535
2006-12-01,469.2838
2007-01-01,515.2435
2007-02-01,430.59262
2007-03-01,497.70242
2007-04-01,472.39587
2007-05-01,425.0321
2007-06-01,368.0566
2007-07-01,381.54504
2007-08-01,409.58316
2007-09-01,514.1225
2007-10-01,479.80176
2007-11-01,448.775
2007-12-01,477.81635
2008-01-01,503.99762
2008-02-01,535.4909
2008-03-01,586.3738
2008-04-01,556.2126
2008-05-01,379.67563
2008-06-01,390.55573
2008-07-01,335.02414
2008-08-01,446.036
2008-09-01,474.5929
2008-10-01,443.10953
2008-11-01,478.64175
2008-12-01,472.13602
2009-01-01,472.3138
2009-02-01,540.3024
2009-03-01,613.1594
2009-04-01,600.13367
2009-05-01,549.45386
2009-06-01,419.5987
2009-07-01,420.107
2009-08-01,437.93213
2009-09-01,480.03397
2009-10-01,463.33023
2009-11-01,487.74246
