time,PP
2019-07-01,675.1609
2019-08-01,823.4732
2019-09-01,804.2027
2019-10-01,795.3226
2019-11-01,993.37634
2019-12-01,994.62775
2020-01-01,1150.8429
2020-02-01,1036.9111
2020-03-01,1059.2188
2020-04-01,931.1176
2020-05-01,826.5793
2020-06-01,721.4974
2020-07-01,712.44653
2020-08-01,728.6227
2020-09-01,717.5613
2020-10-01,739.9351
2020-11-01,773.45575
2020-12-01,940.3379
2021-01-01,1103.6661
2021-02-01,1149.9465
2021-03-01,1066.44
2021-04-01,1054.6638
2021-05-01,743.53094
2021-06-01,667.22516
2021-07-01,602.35614
2021-08-01,1693.9049
2021-09-01,1531.084
2021-10-01,1048.9308
2021-11-01,1035.2754
2021-12-01,895.2384
2022-01-01,1072.8423
2022-02-01,1159.157
2022-03-01,892.6342
2022-04-01,867.02686
2022-05-01,681.43896
2022-06-01,567.5459
2022-07-01,554.6613
2022-08-01,1180.5033
2022-09-01,1093.1478
2022-10-01,915.4776
2022-11-01,742.8978
2022-12-01,889.9861
2023-01-01,1066.224
2023-02-01,1148.6256
2023-03-01,1045.388
2023-04-01,846.73413
2023-05-01,722.15295
2023-06-01,648.7168
2023-07-01,649.65985
2023-08-01,1124.0715
2023-09-01,813.3337
2023-10-01,839.2717
2023-11-01,862.6741
2023-12-01,1029.8936
2024-01-01,1285.749
2024-02-01,1131.3169
2024-03-01,1086.7926
2024-04-01,879.8448
2024-05-01,581.05646
2024-06-01,808.6621
2024-07-01,641.1028
2024-08-01,918.3619
