Header,Value
Agency Name,Commonwealth Scientific and Industrial Research Organisation
Agency Code,CSIRO
Program,Strategic Research Fund for the Marine Environment (SRFME)
Project,SRFME Two-Rock Moorings
Tag,CSIRO-SRFME-Mooring
Data File Name,A_AQD1036_20m_at_4dp4m_VCUR(northwardvelocity)_profile_Data.csv
Location,data-warehouse/csv/csiro/srfme/mooring
Station Status,Completed
Lat,-31.5367
Long,115.5583
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,Mooring_A
Site Description,Mooring A
Deployment,Fixed
Deployment Position,20m from surface (at 4.4m)
Vertical Reference,Water Surface
Site Mean Depth,20m
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00214
Data Category,Hydrodynamics
Sampling Rate (min),60 min
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,VCUR (northward velocity)
QC,NaN
