time,latitude,longitude,spco2
2022-03-13,-32.25,115.5,40.95059
2022-03-14,-32.25,115.5,41.24781
2022-03-15,-32.25,115.5,41.11959
2022-03-16,-32.25,115.5,40.852455
2022-03-17,-32.25,115.5,41.00562
2022-03-18,-32.25,115.5,41.236717
2022-03-19,-32.25,115.5,41.078583
2022-03-20,-32.25,115.5,40.786545
2022-03-21,-32.25,115.5,40.572605
2022-03-22,-32.25,115.5,40.32321
2022-03-23,-32.25,115.5,40.090275
2022-03-24,-32.25,115.5,39.93581
2022-03-25,-32.25,115.5,39.889854
2022-03-26,-32.25,115.5,39.938755
2022-03-27,-32.25,115.5,39.7236
2022-03-28,-32.25,115.5,39.368847
2022-03-29,-32.25,115.5,39.32372
2022-03-30,-32.25,115.5,39.28614
2022-03-31,-32.25,115.5,39.213474
2022-04-01,-32.25,115.5,39.1312
2022-04-02,-32.25,115.5,39.327633
2022-04-03,-32.25,115.5,39.6843
2022-04-04,-32.25,115.5,39.572243
2022-04-05,-32.25,115.5,39.274822
2022-04-06,-32.25,115.5,39.1438
2022-04-07,-32.25,115.5,39.047626
2022-04-08,-32.25,115.5,38.966602
2022-04-09,-32.25,115.5,38.814518
2022-04-10,-32.25,115.5,38.57178
2022-04-11,-32.25,115.5,38.432877
2022-04-12,-32.25,115.5,38.36013
2022-04-13,-32.25,115.5,38.19101
2022-04-14,-32.25,115.5,37.99915
2022-04-15,-32.25,115.5,37.89983
2022-04-16,-32.25,115.5,37.82227
2022-04-17,-32.25,115.5,37.689163
2022-04-18,-32.25,115.5,37.589016
2022-04-19,-32.25,115.5,37.454296
2022-04-20,-32.25,115.5,37.28429
2022-04-21,-32.25,115.5,37.096394
2022-04-22,-32.25,115.5,36.844513
2022-04-23,-32.25,115.5,36.660164
2022-04-24,-32.25,115.5,36.655983
2022-04-25,-32.25,115.5,36.6425
2022-04-26,-32.25,115.5,36.42509
2022-04-27,-32.25,115.5,36.14248
2022-04-28,-32.25,115.5,35.931614
2022-04-29,-32.25,115.5,35.72005
2022-04-30,-32.25,115.5,35.570812
2022-05-01,-32.25,115.5,35.50194
2022-05-02,-32.25,115.5,35.562172
2022-05-03,-32.25,115.5,35.53476
2022-05-04,-32.25,115.5,35.31308
2022-05-05,-32.25,115.5,34.971348
2022-05-06,-32.25,115.5,34.602936
2022-05-07,-32.25,115.5,34.756
2022-05-08,-32.25,115.5,35.31898
2022-05-09,-32.25,115.5,35.57191
2022-05-10,-32.25,115.5,35.361126
2022-05-11,-32.25,115.5,34.925743
2022-05-12,-32.25,115.5,34.77196
2022-05-13,-32.25,115.5,34.532032
2022-05-14,-32.25,115.5,34.01503
2022-05-15,-32.25,115.5,33.71251
2022-05-16,-32.25,115.5,33.821995
2022-05-17,-32.25,115.5,34.320103
2022-05-18,-32.25,115.5,35.060715
2022-05-19,-32.25,115.5,35.683044
2022-05-20,-32.25,115.5,35.80766
2022-05-21,-32.25,115.5,35.72939
2022-05-22,-32.25,115.5,35.838867
2022-05-23,-32.25,115.5,35.66831
2022-05-24,-32.25,115.5,35.193836
2022-05-25,-32.25,115.5,34.99094
2022-05-26,-32.25,115.5,34.937687
2022-05-27,-32.25,115.5,34.933
2022-05-28,-32.25,115.5,35.001755
2022-05-29,-32.25,115.5,34.83492
2022-05-30,-32.25,115.5,34.511784
2022-05-31,-32.25,115.5,34.194096
2022-06-01,-32.25,115.5,34.017826
2022-06-02,-32.25,115.5,34.213387
2022-06-03,-32.25,115.5,34.493855
2022-06-04,-32.25,115.5,34.48277
2022-06-05,-32.25,115.5,34.357384
2022-06-06,-32.25,115.5,34.359863
2022-06-07,-32.25,115.5,34.352863
2022-06-08,-32.25,115.5,34.045998
2022-06-09,-32.25,115.5,33.758205
2022-06-10,-32.25,115.5,33.63871
2022-06-11,-32.25,115.5,33.69051
2022-06-12,-32.25,115.5,33.721424
2022-06-13,-32.25,115.5,33.36008
2022-06-14,-32.25,115.5,33.130955
2022-06-15,-32.25,115.5,33.43692
2022-06-16,-32.25,115.5,33.685898
2022-06-17,-32.25,115.5,33.547604
2022-06-18,-32.25,115.5,33.381187
2022-06-19,-32.25,115.5,33.19242
2022-06-20,-32.25,115.5,33.042595
2022-06-21,-32.25,115.5,33.28081
2022-06-22,-32.25,115.5,33.872223
2022-06-23,-32.25,115.5,34.23533
2022-06-24,-32.25,115.5,34.26722
2022-06-25,-32.25,115.5,34.2343
2022-06-26,-32.25,115.5,34.14545
2022-06-27,-32.25,115.5,34.08195
2022-06-28,-32.25,115.5,33.974865
2022-06-29,-32.25,115.5,33.692894
2022-06-30,-32.25,115.5,33.477417
2022-07-01,-32.25,115.5,33.57628
2022-07-02,-32.25,115.5,33.749706
2022-07-03,-32.25,115.5,33.653385
2022-07-04,-32.25,115.5,33.532516
2022-07-05,-32.25,115.5,33.511692
2022-07-06,-32.25,115.5,33.399544
2022-07-07,-32.25,115.5,33.139343
2022-07-08,-32.25,115.5,33.032707
2022-07-09,-32.25,115.5,33.303635
2022-07-10,-32.25,115.5,33.402
2022-07-11,-32.25,115.5,33.198227
2022-07-12,-32.25,115.5,33.03165
2022-07-13,-32.25,115.5,32.939884
2022-07-14,-32.25,115.5,32.842163
2022-07-15,-32.25,115.5,32.58426
2022-07-16,-32.25,115.5,32.26019
2022-07-17,-32.25,115.5,31.98817
2022-07-18,-32.25,115.5,31.84424
2022-07-19,-32.25,115.5,31.705935
2022-07-20,-32.25,115.5,31.592085
2022-07-21,-32.25,115.5,31.685936
2022-07-22,-32.25,115.5,31.822235
2022-07-23,-32.25,115.5,31.757639
2022-07-24,-32.25,115.5,31.509693
2022-07-25,-32.25,115.5,31.349865
2022-07-26,-32.25,115.5,31.663095
2022-07-27,-32.25,115.5,32.179485
2022-07-28,-32.25,115.5,32.36748
2022-07-29,-32.25,115.5,32.427673
2022-07-30,-32.25,115.5,32.298435
2022-07-31,-32.25,115.5,31.986925
2022-08-01,-32.25,115.5,32.067318
2022-08-02,-32.25,115.5,32.353256
2022-08-03,-32.25,115.5,32.20026
2022-08-04,-32.25,115.5,31.657745
2022-08-05,-32.25,115.5,31.158382
2022-08-06,-32.25,115.5,31.253134
2022-08-07,-32.25,115.5,32.098297
2022-08-08,-32.25,115.5,32.578037
2022-08-09,-32.25,115.5,32.313942
2022-08-10,-32.25,115.5,32.03234
2022-08-11,-32.25,115.5,31.877846
2022-08-12,-32.25,115.5,31.702051
2022-08-13,-32.25,115.5,31.830544
2022-08-14,-32.25,115.5,32.15475
2022-08-15,-32.25,115.5,32.288116
2022-08-16,-32.25,115.5,32.3823
2022-08-17,-32.25,115.5,32.16367
