time,latitude,longitude,spco2
2021-11-01,-32.25,115.25,33.988247
2021-11-02,-32.25,115.25,33.854134
2021-11-03,-32.25,115.25,34.24477
2021-11-04,-32.25,115.25,34.443176
2021-11-05,-32.25,115.25,34.270866
2021-11-06,-32.25,115.25,34.247623
2021-11-07,-32.25,115.25,34.193214
2021-11-08,-32.25,115.25,34.181934
2021-11-09,-32.25,115.25,34.187347
2021-11-10,-32.25,115.25,34.275112
2021-11-11,-32.25,115.25,34.27639
2021-11-12,-32.25,115.25,34.235035
2021-11-13,-32.25,115.25,34.309578
2021-11-14,-32.25,115.25,34.483982
2021-11-15,-32.25,115.25,35.13437
2021-11-16,-32.25,115.25,35.745537
2021-11-17,-32.25,115.25,36.09979
2021-11-18,-32.25,115.25,35.972992
2021-11-19,-32.25,115.25,35.63991
2021-11-20,-32.25,115.25,35.934612
2021-11-21,-32.25,115.25,36.363586
2021-11-22,-32.25,115.25,36.165638
2021-11-23,-32.25,115.25,35.939674
2021-11-24,-32.25,115.25,36.224514
2021-11-25,-32.25,115.25,36.507294
2021-11-26,-32.25,115.25,36.77017
2021-11-27,-32.25,115.25,37.423107
2021-11-28,-32.25,115.25,37.917503
2021-11-29,-32.25,115.25,37.515175
2021-11-30,-32.25,115.25,36.883053
2021-12-01,-32.25,115.25,36.697
2021-12-02,-32.25,115.25,36.58828
2021-12-03,-32.25,115.25,36.472313
2021-12-04,-32.25,115.25,36.60019
2021-12-05,-32.25,115.25,36.75809
2021-12-06,-32.25,115.25,36.606117
2021-12-07,-32.25,115.25,36.69938
2021-12-08,-32.25,115.25,37.39263
2021-12-09,-32.25,115.25,37.778957
2021-12-10,-32.25,115.25,37.480404
2021-12-11,-32.25,115.25,37.260567
2021-12-12,-32.25,115.25,37.057167
2021-12-13,-32.25,115.25,36.8362
2021-12-14,-32.25,115.25,36.76448
2021-12-15,-32.25,115.25,36.686176
2021-12-16,-32.25,115.25,36.67192
2021-12-17,-32.25,115.25,36.616604
2021-12-18,-32.25,115.25,36.593285
2021-12-19,-32.25,115.25,36.976517
2021-12-20,-32.25,115.25,37.27336
2021-12-21,-32.25,115.25,37.258175
2021-12-22,-32.25,115.25,37.35983
2021-12-23,-32.25,115.25,37.662434
2021-12-24,-32.25,115.25,38.017162
2021-12-25,-32.25,115.25,38.48528
2021-12-26,-32.25,115.25,39.010303
2021-12-27,-32.25,115.25,39.476723
2021-12-28,-32.25,115.25,40.021133
2021-12-29,-32.25,115.25,40.342876
2021-12-30,-32.25,115.25,39.912514
2021-12-31,-32.25,115.25,39.173943
2022-01-01,-32.25,115.25,38.655445
2022-01-02,-32.25,115.25,38.417736
2022-01-03,-32.25,115.25,38.424522
2022-01-04,-32.25,115.25,38.451042
2022-01-05,-32.25,115.25,38.67037
2022-01-06,-32.25,115.25,38.980553
2022-01-07,-32.25,115.25,39.046165
2022-01-08,-32.25,115.25,38.86306
2022-01-09,-32.25,115.25,38.3898
2022-01-10,-32.25,115.25,38.12926
2022-01-11,-32.25,115.25,38.396683
2022-01-12,-32.25,115.25,38.77005
2022-01-13,-32.25,115.25,38.738014
2022-01-14,-32.25,115.25,38.618145
2022-01-15,-32.25,115.25,38.63584
2022-01-16,-32.25,115.25,38.50659
2022-01-17,-32.25,115.25,38.52539
2022-01-18,-32.25,115.25,39.273167
2022-01-19,-32.25,115.25,39.93913
2022-01-20,-32.25,115.25,40.239506
2022-01-21,-32.25,115.25,40.619167
2022-01-22,-32.25,115.25,40.918297
2022-01-23,-32.25,115.25,41.027588
2022-01-24,-32.25,115.25,40.43078
2022-01-25,-32.25,115.25,39.720005
2022-01-26,-32.25,115.25,39.569042
2022-01-27,-32.25,115.25,39.50766
2022-01-28,-32.25,115.25,39.42149
2022-01-29,-32.25,115.25,39.81495
2022-01-30,-32.25,115.25,39.90097
2022-01-31,-32.25,115.25,39.293858
2022-02-01,-32.25,115.25,38.875782
2022-02-02,-32.25,115.25,38.797638
2022-02-03,-32.25,115.25,39.154755
2022-02-04,-32.25,115.25,39.764214
2022-02-05,-32.25,115.25,40.513763
2022-02-06,-32.25,115.25,40.32407
2022-02-07,-32.25,115.25,39.378952
2022-02-08,-32.25,115.25,39.34664
2022-02-09,-32.25,115.25,39.404015
2022-02-10,-32.25,115.25,39.360924
2022-02-11,-32.25,115.25,39.834354
2022-02-12,-32.25,115.25,39.824154
2022-02-13,-32.25,115.25,39.656372
2022-02-14,-32.25,115.25,40.17753
2022-02-15,-32.25,115.25,40.7994
2022-02-16,-32.25,115.25,40.926785
2022-02-17,-32.25,115.25,40.683083
2022-02-18,-32.25,115.25,40.611355
2022-02-19,-32.25,115.25,40.756992
2022-02-20,-32.25,115.25,40.574642
2022-02-21,-32.25,115.25,40.424934
2022-02-22,-32.25,115.25,40.3754
2022-02-23,-32.25,115.25,40.12939
2022-02-24,-32.25,115.25,40.042088
2022-02-25,-32.25,115.25,40.195095
2022-02-26,-32.25,115.25,40.096786
2022-02-27,-32.25,115.25,39.83042
2022-02-28,-32.25,115.25,39.98095
2022-03-01,-32.25,115.25,39.936043
2022-03-02,-32.25,115.25,39.43787
2022-03-03,-32.25,115.25,39.193256
2022-03-04,-32.25,115.25,39.194893
2022-03-05,-32.25,115.25,39.267097
2022-03-06,-32.25,115.25,39.426178
2022-03-07,-32.25,115.25,39.44455
2022-03-08,-32.25,115.25,39.39304
2022-03-09,-32.25,115.25,39.593964
2022-03-10,-32.25,115.25,39.861645
2022-03-11,-32.25,115.25,39.93258
2022-03-12,-32.25,115.25,39.968212
2022-03-13,-32.25,115.25,40.22481
2022-03-14,-32.25,115.25,40.555016
2022-03-15,-32.25,115.25,40.367332
2022-03-16,-32.25,115.25,40.001938
2022-03-17,-32.25,115.25,40.05426
2022-03-18,-32.25,115.25,40.164867
2022-03-19,-32.25,115.25,39.875946
2022-03-20,-32.25,115.25,39.580074
2022-03-21,-32.25,115.25,39.385105
2022-03-22,-32.25,115.25,39.16147
2022-03-23,-32.25,115.25,39.02419
2022-03-24,-32.25,115.25,38.914433
