Params.Name,Params.Units in dataset,Conv,Key,Key Value,Notes,Category
TEMPERATURE (C),C,1,var00007,Temperature,,Water Quality (PhysChm)
SALINITY (pss),psu,1,var00006,Salinity,,Water Quality (PhysChm)
DENSITY (kgm-3),kgm-3,1,var00218,Density,,Hydrodynamics
CONDUCTIVITY (sm),sm,10000,var02559,Actual Conductivity,,Water Quality (PhysChm)
VELOCITY (ms-1),ms-1,1,var00284,Current Velocity,,Hydrodynamics
