ocean_time,temp,salt,s_rho,lat,lon,spatial_ref
2023-01-01 12:00:00,21.471641312075334,36.12275005218719,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-02 12:00:00,21.751629961022253,36.163755159756796,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-03 12:00:00,22.1870468157051,36.18533614624913,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-04 12:00:00,22.06826514667693,36.121767605725694,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-05 12:00:00,22.28507864842606,36.06601633840799,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-06 12:00:00,22.116491850958322,36.136123898421246,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-07 12:00:00,21.695723493965442,36.188302235258476,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-08 12:00:00,21.583947751379636,36.17000619819362,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-09 12:00:00,22.195219979123706,36.17087135373794,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-10 12:00:00,22.225625963291105,36.11770325849433,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-11 12:00:00,22.196382056086602,36.11428345538418,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-12 12:00:00,22.263708171784817,36.132456762024155,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-13 12:00:00,22.08744084621895,36.100937543419626,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-14 12:00:00,22.087046167757006,36.15635140994104,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-15 12:00:00,22.10268691521616,36.121946261789645,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-16 12:00:00,21.680637876924905,36.165039455992456,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-17 12:00:00,21.67650559500718,36.16105537599213,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-18 12:00:00,21.62690380356397,36.192333957620924,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-19 12:00:00,21.88920091476271,36.15309575939555,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-20 12:00:00,22.21235006150716,36.07242666742811,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-21 12:00:00,22.772834476320813,36.11110387665307,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-22 12:00:00,22.81671854747248,36.14789187770884,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-23 12:00:00,23.094875853024515,36.15451704842149,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-24 12:00:00,23.052389846226887,36.186248988735436,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-25 12:00:00,22.821304264062025,36.20157621383618,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-26 12:00:00,22.703073320647487,36.17677781265774,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-27 12:00:00,22.373963941553757,36.17758795661286,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-28 12:00:00,22.266414658156034,36.18923941305614,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-29 12:00:00,22.563737691453372,36.157680803418316,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-30 12:00:00,22.759643291131702,36.14253717251682,-0.025,-32.342245276469384,115.68397093023255,0
2023-01-31 12:00:00,22.6358602494733,36.08990981849906,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-01 12:00:00,23.031522541016034,36.18792016878003,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-02 12:00:00,22.78487464127992,36.17445346871146,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-03 12:00:00,22.651555440259276,36.057922680579324,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-04 12:00:00,22.890537931339058,36.06535371086291,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-05 12:00:00,23.33173040315254,36.07768036246199,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-06 12:00:00,23.006135058313472,36.095841710854536,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-07 12:00:00,23.283384342143233,36.13047833053217,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-08 12:00:00,23.374569831014423,36.21128216200196,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-09 12:00:00,23.356405232854456,36.20640021909336,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-10 12:00:00,23.010042063633293,36.17186791010525,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-11 12:00:00,22.72937375105672,36.184241829597184,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-12 12:00:00,22.876223841705073,36.2122401143311,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-13 12:00:00,22.90467075963368,36.216773167984144,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-14 12:00:00,22.498785580649926,36.17086606014666,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-15 12:00:00,22.675816017035515,36.202420340961936,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-16 12:00:00,22.649012560955438,36.21870164029367,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-17 12:00:00,22.56294698927992,36.2204939830937,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-18 12:00:00,22.739120762720543,36.25868245408411,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-19 12:00:00,22.630963323887222,36.1835663616018,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-20 12:00:00,23.005103855340646,36.21902592126679,-0.025,-32.342245276469384,115.68397093023255,0
2023-02-21 12:00:00,23.053920111111598,36.15480310626793,-0.025,-32.342245276469384,115.68397093023255,0
