time,latitude,longitude,pic
2010-11-16 00:00:00,-32.35417,115.60417,0.000219
2010-12-16 00:00:00,-32.35417,115.60417,9e-05
2011-01-16 00:00:00,-32.35417,115.60417,0.000133
2011-02-16 00:00:00,-32.35417,115.60417,5.6e-05
2011-03-16 00:00:00,-32.35417,115.60417,2.9e-05
2011-04-16 00:00:00,-32.35417,115.60417,0.000355
2011-05-16 00:00:00,-32.35417,115.60417,0.000207
2011-06-16 00:00:00,-32.35417,115.60417,9.7e-05
2011-07-16 00:00:00,-32.35417,115.60417,5.6e-05
2011-08-16 00:00:00,-32.35417,115.60417,0.00167
2011-09-16 00:00:00,-32.35417,115.60417,0.001116
2011-10-16 00:00:00,-32.35417,115.60417,0.000511
2011-11-16 00:00:00,-32.35417,115.60417,0.000422
2011-12-16 00:00:00,-32.35417,115.60417,0.000112
2012-01-16 00:00:00,-32.35417,115.60417,0.000268
2012-02-16 00:00:00,-32.35417,115.60417,0.000122
2012-03-16 00:00:00,-32.35417,115.60417,0.00011
2012-04-16 00:00:00,-32.35417,115.60417,0.000113
2012-05-16 00:00:00,-32.35417,115.60417,4.1e-05
2012-06-16 00:00:00,-32.35417,115.60417,0.000224
2012-07-16 00:00:00,-32.35417,115.60417,0.000222
2012-08-16 00:00:00,-32.35417,115.60417,0.0008
2012-09-16 00:00:00,-32.35417,115.60417,0.001516
2012-10-16 00:00:00,-32.35417,115.60417,0.000774
2012-11-16 00:00:00,-32.35417,115.60417,0.000612
2012-12-16 00:00:00,-32.35417,115.60417,0.000777
2013-01-16 00:00:00,-32.35417,115.60417,0.000563
2013-02-16 00:00:00,-32.35417,115.60417,0.000231
2013-03-16 00:00:00,-32.35417,115.60417,0.000197
2013-04-16 00:00:00,-32.35417,115.60417,6.9e-05
2013-05-16 00:00:00,-32.35417,115.60417,0.001055
2013-06-16 00:00:00,-32.35417,115.60417,0.00012
2013-07-16 00:00:00,-32.35417,115.60417,0.000415
2013-08-16 00:00:00,-32.35417,115.60417,0.000347
2013-09-16 00:00:00,-32.35417,115.60417,0.003315
2013-10-16 00:00:00,-32.35417,115.60417,0.001348
2013-11-16 00:00:00,-32.35417,115.60417,0.000144
2013-12-16 00:00:00,-32.35417,115.60417,0.000492
2014-01-16 00:00:00,-32.35417,115.60417,0.000826
2014-02-16 00:00:00,-32.35417,115.60417,0.000141
2014-03-16 00:00:00,-32.35417,115.60417,0.000272
2014-04-16 00:00:00,-32.35417,115.60417,0.000253
2014-05-16 00:00:00,-32.35417,115.60417,0.000916
2014-06-16 00:00:00,-32.35417,115.60417,0.001118
2014-07-16 00:00:00,-32.35417,115.60417,0.001288
2014-08-16 00:00:00,-32.35417,115.60417,0.000404
2014-09-16 00:00:00,-32.35417,115.60417,0.000766
2014-10-16 00:00:00,-32.35417,115.60417,0.000536
2014-11-16 00:00:00,-32.35417,115.60417,0.00039
2014-12-16 00:00:00,-32.35417,115.60417,0.000196
2015-01-16 00:00:00,-32.35417,115.60417,0.00017
2015-02-16 00:00:00,-32.35417,115.60417,4.4e-05
2015-03-16 00:00:00,-32.35417,115.60417,8.4e-05
2015-04-16 00:00:00,-32.35417,115.60417,4.6e-05
2015-05-16 00:00:00,-32.35417,115.60417,0.000496
2015-06-16 00:00:00,-32.35417,115.60417,0.000818
2015-07-16 00:00:00,-32.35417,115.60417,0.000406
2015-08-16 00:00:00,-32.35417,115.60417,0.000206
2015-09-16 00:00:00,-32.35417,115.60417,0.00074
2015-10-16 00:00:00,-32.35417,115.60417,0.000536
2015-11-16 00:00:00,-32.35417,115.60417,0.00017
2015-12-16 00:00:00,-32.35417,115.60417,0.000366
2016-01-16 00:00:00,-32.35417,115.60417,5.8e-05
2016-02-16 00:00:00,-32.35417,115.60417,6.6e-05
2016-03-16 00:00:00,-32.35417,115.60417,0.000148
2016-04-16 00:00:00,-32.35417,115.60417,0.000192
2016-05-16 00:00:00,-32.35417,115.60417,0.000674
2016-06-16 00:00:00,-32.35417,115.60417,0.000724
2016-07-16 00:00:00,-32.35417,115.60417,0.000758
2016-08-16 00:00:00,-32.35417,115.60417,0.00073
2016-09-16 00:00:00,-32.35417,115.60417,0.001064
2016-10-16 00:00:00,-32.35417,115.60417,0.00065
2016-11-16 00:00:00,-32.35417,115.60417,0.000292
2016-12-16 00:00:00,-32.35417,115.60417,0.000446
2017-01-16 00:00:00,-32.35417,115.60417,0.000276
2017-02-16 00:00:00,-32.35417,115.60417,6.6e-05
2017-03-16 00:00:00,-32.35417,115.60417,0.00056
2017-04-16 00:00:00,-32.35417,115.60417,9e-05
2017-05-16 00:00:00,-32.35417,115.60417,0.000264
2017-06-16 00:00:00,-32.35417,115.60417,0.000278
2017-07-16 00:00:00,-32.35417,115.60417,0.00055
2017-08-16 00:00:00,-32.35417,115.60417,0.001682
2017-09-16 00:00:00,-32.35417,115.60417,0.001114
2017-10-16 00:00:00,-32.35417,115.60417,0.000704
2017-11-16 00:00:00,-32.35417,115.60417,0.000306
2017-12-16 00:00:00,-32.35417,115.60417,0.00037
2018-01-16 00:00:00,-32.35417,115.60417,0.000206
2018-02-16 00:00:00,-32.35417,115.60417,0.000194
2018-03-16 00:00:00,-32.35417,115.60417,5.4e-05
2018-04-16 00:00:00,-32.35417,115.60417,0.000152
2018-05-16 00:00:00,-32.35417,115.60417,0.000546
2018-06-16 00:00:00,-32.35417,115.60417,0.000492
