time,latitude,longitude,pic
2003-01-16 00:00:00,-32.187504,115.72917,0.009328
2003-02-16 00:00:00,-32.187504,115.72917,0.002821
2003-03-16 00:00:00,-32.187504,115.72917,0.002847
2003-04-16 00:00:00,-32.187504,115.72917,
2003-05-16 00:00:00,-32.187504,115.72917,0.000206
2003-06-16 00:00:00,-32.187504,115.72917,0.001708
2003-07-16 00:00:00,-32.187504,115.72917,
2003-08-16 00:00:00,-32.187504,115.72917,
2003-09-16 00:00:00,-32.187504,115.72917,0.002392
2003-10-16 00:00:00,-32.187504,115.72917,0.003208
2003-11-16 00:00:00,-32.187504,115.72917,
2003-12-16 00:00:00,-32.187504,115.72917,0.00514
2004-01-16 00:00:00,-32.187504,115.72917,0.001703
2004-02-16 00:00:00,-32.187504,115.72917,0.002744
2004-03-16 00:00:00,-32.187504,115.72917,0.000606
2004-04-16 00:00:00,-32.187504,115.72917,0.000569
2004-05-16 00:00:00,-32.187504,115.72917,0.002347
2004-06-16 00:00:00,-32.187504,115.72917,0.001293
2004-07-16 00:00:00,-32.187504,115.72917,0.003722
2004-08-16 00:00:00,-32.187504,115.72917,0.001625
2004-09-16 00:00:00,-32.187504,115.72917,0.000642
2004-10-16 00:00:00,-32.187504,115.72917,
2004-11-16 00:00:00,-32.187504,115.72917,
2004-12-16 00:00:00,-32.187504,115.72917,0.001389
2005-01-16 00:00:00,-32.187504,115.72917,0.001955
2005-02-16 00:00:00,-32.187504,115.72917,
2005-03-16 00:00:00,-32.187504,115.72917,0.000376
2005-04-16 00:00:00,-32.187504,115.72917,0.001108
2005-05-16 00:00:00,-32.187504,115.72917,0.0004
2005-06-16 00:00:00,-32.187504,115.72917,
2005-07-16 00:00:00,-32.187504,115.72917,
2005-08-16 00:00:00,-32.187504,115.72917,0.000345
2005-09-16 00:00:00,-32.187504,115.72917,
2005-10-16 00:00:00,-32.187504,115.72917,0.001586
2005-11-16 00:00:00,-32.187504,115.72917,
2005-12-16 00:00:00,-32.187504,115.72917,0.002673
2006-01-16 00:00:00,-32.187504,115.72917,0.003185
2006-02-16 00:00:00,-32.187504,115.72917,0.003826
2006-03-16 00:00:00,-32.187504,115.72917,0.000618
2006-04-16 00:00:00,-32.187504,115.72917,0.001381
2006-05-16 00:00:00,-32.187504,115.72917,0.000518
2006-06-16 00:00:00,-32.187504,115.72917,0.00059
2006-07-16 00:00:00,-32.187504,115.72917,0.000909
2006-08-16 00:00:00,-32.187504,115.72917,0.002317
2006-09-16 00:00:00,-32.187504,115.72917,0.002551
2006-10-16 00:00:00,-32.187504,115.72917,0.002532
2006-11-16 00:00:00,-32.187504,115.72917,
2006-12-16 00:00:00,-32.187504,115.72917,
2007-01-16 00:00:00,-32.187504,115.72917,0.003332
2007-02-16 00:00:00,-32.187504,115.72917,
2007-03-16 00:00:00,-32.187504,115.72917,0.002039
2007-04-16 00:00:00,-32.187504,115.72917,0.001511
2007-05-16 00:00:00,-32.187504,115.72917,
2007-06-16 00:00:00,-32.187504,115.72917,0.002544
2007-07-16 00:00:00,-32.187504,115.72917,0.001576
2007-08-16 00:00:00,-32.187504,115.72917,0.000624
2007-09-16 00:00:00,-32.187504,115.72917,0.00158
2007-10-16 00:00:00,-32.187504,115.72917,0.000683
2007-11-16 00:00:00,-32.187504,115.72917,0.000733
2007-12-16 00:00:00,-32.187504,115.72917,0.001154
2008-01-16 00:00:00,-32.187504,115.72917,0.001727
2008-02-16 00:00:00,-32.187504,115.72917,
2008-03-16 00:00:00,-32.187504,115.72917,0.000773
2008-04-16 00:00:00,-32.187504,115.72917,0.000319
2008-05-16 00:00:00,-32.187504,115.72917,
