time,latitude,longitude,BBP,CDM
1997-09-04,-32.35417,115.43751,,
1997-09-05,-32.35417,115.43751,,
1997-09-06,-32.35417,115.43751,,
1997-09-07,-32.35417,115.43751,,
1997-09-08,-32.35417,115.43751,,
1997-09-09,-32.35417,115.43751,,
1997-09-10,-32.35417,115.43751,,
1997-09-11,-32.35417,115.43751,,
1997-09-12,-32.35417,115.43751,,
1997-09-13,-32.35417,115.43751,,
1997-09-14,-32.35417,115.43751,,
1997-09-15,-32.35417,115.43751,,
1997-09-16,-32.35417,115.43751,0.0017368913,0.017037362
1997-09-17,-32.35417,115.43751,,
1997-09-18,-32.35417,115.43751,,
1997-09-19,-32.35417,115.43751,,
1997-09-20,-32.35417,115.43751,,
1997-09-21,-32.35417,115.43751,,
1997-09-22,-32.35417,115.43751,0.0015959734,0.012566165
1997-09-23,-32.35417,115.43751,,
1997-09-24,-32.35417,115.43751,,
1997-09-25,-32.35417,115.43751,,
1997-09-26,-32.35417,115.43751,,
1997-09-27,-32.35417,115.43751,,
1997-09-28,-32.35417,115.43751,,
1997-09-29,-32.35417,115.43751,,
1997-09-30,-32.35417,115.43751,,
1997-10-01,-32.35417,115.43751,,
1997-10-02,-32.35417,115.43751,,
1997-10-03,-32.35417,115.43751,0.0034638948,0.018424539
1997-10-04,-32.35417,115.43751,0.0016522332,0.033456814
1997-10-05,-32.35417,115.43751,0.0032109097,0.024256779
1997-10-06,-32.35417,115.43751,,
1997-10-07,-32.35417,115.43751,0.0040209102,0.016901284
1997-10-08,-32.35417,115.43751,0.006440262,0.013394623
1997-10-09,-32.35417,115.43751,,
1997-10-10,-32.35417,115.43751,,
1997-10-11,-32.35417,115.43751,,
1997-10-12,-32.35417,115.43751,,
1997-10-13,-32.35417,115.43751,,
1997-10-14,-32.35417,115.43751,,
1997-10-15,-32.35417,115.43751,,
1997-10-16,-32.35417,115.43751,,
1997-10-17,-32.35417,115.43751,,
1997-10-18,-32.35417,115.43751,,
1997-10-19,-32.35417,115.43751,,
1997-10-20,-32.35417,115.43751,,
1997-10-21,-32.35417,115.43751,0.0015689561,0.0151845515
1997-10-22,-32.35417,115.43751,,
1997-10-23,-32.35417,115.43751,,
1997-10-24,-32.35417,115.43751,,
1997-10-25,-32.35417,115.43751,0.0014373006,0.013875638
1997-10-26,-32.35417,115.43751,0.00088834396,0.013888377
1997-10-27,-32.35417,115.43751,0.0017823413,0.0110819135
1997-10-28,-32.35417,115.43751,0.0007763973,0.013948565
1997-10-29,-32.35417,115.43751,,
1997-10-30,-32.35417,115.43751,0.004098553,0.019526621
1997-10-31,-32.35417,115.43751,,
1997-11-01,-32.35417,115.43751,0.0019176812,0.012613637
1997-11-02,-32.35417,115.43751,,
1997-11-03,-32.35417,115.43751,0.0014748913,0.0139412675
1997-11-04,-32.35417,115.43751,,
1997-11-05,-32.35417,115.43751,0.0022636626,0.012772595
1997-11-06,-32.35417,115.43751,0.0010992636,0.017349642
1997-11-07,-32.35417,115.43751,0.0013422843,0.014995759
1997-11-08,-32.35417,115.43751,0.0017058669,0.015553891
1997-11-09,-32.35417,115.43751,0.0012005572,0.017025135
1997-11-10,-32.35417,115.43751,0.0025879925,0.0123871025
1997-11-11,-32.35417,115.43751,,
1997-11-12,-32.35417,115.43751,,
1997-11-13,-32.35417,115.43751,,
1997-11-14,-32.35417,115.43751,,
1997-11-15,-32.35417,115.43751,,
1997-11-16,-32.35417,115.43751,0.0017341299,0.013322243
1997-11-17,-32.35417,115.43751,0.0010304423,0.015789675
1997-11-18,-32.35417,115.43751,0.0015027669,0.015586461
1997-11-19,-32.35417,115.43751,0.0021057317,0.012929655
1997-11-20,-32.35417,115.43751,,
1997-11-21,-32.35417,115.43751,,
1997-11-22,-32.35417,115.43751,,
1997-11-23,-32.35417,115.43751,0.0034855881,0.011953779
1997-11-24,-32.35417,115.43751,,
1997-11-25,-32.35417,115.43751,,
1997-11-26,-32.35417,115.43751,,
1997-11-27,-32.35417,115.43751,,
1997-11-28,-32.35417,115.43751,0.0032768156,0.01251056
1997-11-29,-32.35417,115.43751,0.0012505562,0.0072041126
1997-11-30,-32.35417,115.43751,0.0024995406,0.011262119
1997-12-01,-32.35417,115.43751,,
1997-12-02,-32.35417,115.43751,,
1997-12-03,-32.35417,115.43751,,
1997-12-04,-32.35417,115.43751,0.003812252,0.011843148
1997-12-05,-32.35417,115.43751,,
1997-12-06,-32.35417,115.43751,0.0017567696,0.014423842
1997-12-07,-32.35417,115.43751,,
1997-12-08,-32.35417,115.43751,0.0013542068,0.012428449
1997-12-09,-32.35417,115.43751,0.00055162294,0.010177294
1997-12-10,-32.35417,115.43751,,
1997-12-11,-32.35417,115.43751,0.0048818565,0.022320438
1997-12-12,-32.35417,115.43751,0.001257584,0.009290089
1997-12-13,-32.35417,115.43751,0.0018754957,0.012629708
1997-12-14,-32.35417,115.43751,,
1997-12-15,-32.35417,115.43751,,
1997-12-16,-32.35417,115.43751,,
1997-12-17,-32.35417,115.43751,0.0018592832,0.010541905
1997-12-18,-32.35417,115.43751,,
1997-12-19,-32.35417,115.43751,,
1997-12-20,-32.35417,115.43751,,
1997-12-21,-32.35417,115.43751,0.00061503943,0.01223096
1997-12-22,-32.35417,115.43751,0.0011645441,0.010647219
1997-12-23,-32.35417,115.43751,0.00089835806,0.016687915
1997-12-24,-32.35417,115.43751,0.0024530892,0.011477858
1997-12-25,-32.35417,115.43751,,
1997-12-26,-32.35417,115.43751,0.0023287204,0.010854282
1997-12-27,-32.35417,115.43751,,
1997-12-28,-32.35417,115.43751,0.0024135278,0.010879425
1997-12-29,-32.35417,115.43751,0.00045342935,0.009765301
1997-12-30,-32.35417,115.43751,0.0008188613,0.0138610555
1997-12-31,-32.35417,115.43751,0.00091762224,0.009715271
1998-01-01,-32.35417,115.43751,0.0020644895,0.011870806
1998-01-02,-32.35417,115.43751,0.0017502916,0.01459893
1998-01-03,-32.35417,115.43751,0.0028370498,0.027733145
1998-01-04,-32.35417,115.43751,0.002542748,0.012257522
1998-01-05,-32.35417,115.43751,,
1998-01-06,-32.35417,115.43751,0.0011136685,0.008938983
1998-01-07,-32.35417,115.43751,,
1998-01-08,-32.35417,115.43751,0.0021579114,0.009629872
1998-01-09,-32.35417,115.43751,0.0011161569,0.008257306
1998-01-10,-32.35417,115.43751,0.0009036507,0.009046992
1998-01-11,-32.35417,115.43751,,
1998-01-12,-32.35417,115.43751,0.001167054,0.008949799
1998-01-13,-32.35417,115.43751,0.0030648645,0.008185073
1998-01-14,-32.35417,115.43751,,
1998-01-15,-32.35417,115.43751,,
1998-01-16,-32.35417,115.43751,,
1998-01-17,-32.35417,115.43751,0.000656263,0.0055013834
1998-01-18,-32.35417,115.43751,,
1998-01-19,-32.35417,115.43751,0.0021571836,0.013678276
1998-01-20,-32.35417,115.43751,0.00060746074,0.012582062
1998-01-21,-32.35417,115.43751,0.001186139,0.0064188708
1998-01-22,-32.35417,115.43751,0.0017802627,0.012012102
1998-01-23,-32.35417,115.43751,0.0021039792,0.008177892
1998-01-24,-32.35417,115.43751,0.0014069921,0.008715646
1998-01-25,-32.35417,115.43751,,
1998-01-26,-32.35417,115.43751,0.0012158375,0.008489296
1998-01-27,-32.35417,115.43751,,
1998-01-28,-32.35417,115.43751,0.0005034912,0.005323606
1998-01-29,-32.35417,115.43751,,
1998-01-30,-32.35417,115.43751,0.0011653666,0.0068287277
1998-01-31,-32.35417,115.43751,0.0006813269,0.0057365173
1998-02-01,-32.35417,115.43751,0.0013662142,0.006384204
1998-02-02,-32.35417,115.43751,0.0010176223,0.0076273154
1998-02-03,-32.35417,115.43751,0.00066370977,0.012205412
1998-02-04,-32.35417,115.43751,0.0018439712,0.012533455
1998-02-05,-32.35417,115.43751,,
1998-02-06,-32.35417,115.43751,0.004154919,0.014432605
1998-02-07,-32.35417,115.43751,,
1998-02-08,-32.35417,115.43751,0.001328364,0.010935643
1998-02-09,-32.35417,115.43751,,
1998-02-10,-32.35417,115.43751,0.0014973452,0.011269065
1998-02-11,-32.35417,115.43751,0.0012676008,0.009987523
1998-02-12,-32.35417,115.43751,0.0011347407,0.010083417
1998-02-13,-32.35417,115.43751,0.000996924,0.008450927
1998-02-14,-32.35417,115.43751,0.0009827319,0.009430042
1998-02-15,-32.35417,115.43751,,
1998-02-16,-32.35417,115.43751,,
1998-02-17,-32.35417,115.43751,,
1998-02-18,-32.35417,115.43751,,
1998-02-19,-32.35417,115.43751,0.0007940452,0.0057611484
1998-02-20,-32.35417,115.43751,,
1998-02-21,-32.35417,115.43751,0.0011691321,0.008173992
1998-02-22,-32.35417,115.43751,0.0008681505,0.006965471
1998-02-23,-32.35417,115.43751,0.0011425836,0.008200331
1998-02-24,-32.35417,115.43751,0.0021045136,0.007822158
1998-02-25,-32.35417,115.43751,,
1998-02-26,-32.35417,115.43751,0.0019304128,0.011057179
1998-02-27,-32.35417,115.43751,,
1998-02-28,-32.35417,115.43751,0.0013875206,0.012493269
1998-03-01,-32.35417,115.43751,,
1998-03-02,-32.35417,115.43751,,
1998-03-03,-32.35417,115.43751,,
1998-03-04,-32.35417,115.43751,0.0014023352,0.012919979
1998-03-05,-32.35417,115.43751,0.00056359015,0.010962531
