time,latitude,longitude,npp,zooc
1998-01-01,-32.166668,115.333336,584.0405,0.9825592
1998-01-02,-32.166668,115.333336,650.01416,0.8958664
1998-01-03,-32.166668,115.333336,672.0054,0.8525162
1998-01-04,-32.166668,115.333336,629.8745,0.85829926
1998-01-05,-32.166668,115.333336,626.86523,0.80628204
1998-01-06,-32.166668,115.333336,524.08545,0.7282562
1998-01-07,-32.166668,115.333336,530.104,0.69646454
1998-01-08,-32.166668,115.333336,544.91895,0.8554077
1998-01-09,-32.166668,115.333336,557.8823,1.037468
1998-01-10,-32.166668,115.333336,568.0679,1.2079697
1998-01-11,-32.166668,115.333336,594.9204,1.1270523
1998-01-12,-32.166668,115.333336,548.16016,1.051918
1998-01-13,-32.166668,115.333336,509.03857,0.9912338
1998-01-14,-32.166668,115.333336,461.81543,0.823616
1998-01-15,-32.166668,115.333336,502.09424,0.6097641
1998-01-16,-32.166668,115.333336,493.9922,0.5144043
1998-01-17,-32.166668,115.333336,519.91846,1.0201263
1998-01-18,-32.166668,115.333336,556.95654,0.9970093
1998-01-19,-32.166668,115.333336,584.9663,0.8293991
1998-01-20,-32.166668,115.333336,625.93945,0.84962463
1998-01-21,-32.166668,115.333336,616.9116,0.8785248
1998-01-22,-32.166668,115.333336,647.93066,0.8207321
1998-01-23,-32.166668,115.333336,677.09766,0.88430786
1998-01-24,-32.166668,115.333336,603.94824,0.8785248
1998-01-25,-32.166668,115.333336,684.0425,0.86118317
1998-01-26,-32.166668,115.333336,567.1416,0.8958664
1998-01-27,-32.166668,115.333336,563.9009,0.8467407
1998-01-28,-32.166668,115.333336,575.0122,0.9623337
1998-01-29,-32.166668,115.333336,618.06885,1.150177
1998-01-30,-32.166668,115.333336,531.95605,1.1559525
1998-01-31,-32.166668,115.333336,593.99414,0.7947159
1998-02-01,-32.166668,115.333336,597.0034,0.6155472
1998-02-02,-32.166668,115.333336,569.2251,1.0114594
1998-02-03,-32.166668,115.333336,584.9663,1.2368698
1998-02-04,-32.166668,115.333336,582.8828,0.82650757
1998-02-05,-32.166668,115.333336,703.9502,0.73981476
1998-02-06,-32.166668,115.333336,697.00586,0.8380661
1998-02-07,-32.166668,115.333336,698.8574,0.791832
1998-02-08,-32.166668,115.333336,643.06934,0.7629318
1998-02-09,-32.166668,115.333336,628.02295,0.791832
1998-02-10,-32.166668,115.333336,647.0049,0.9392166
1998-02-11,-32.166668,115.333336,647.0049,0.94499207
1998-02-12,-32.166668,115.333336,691.21875,0.86118317
1998-02-13,-32.166668,115.333336,647.0049,0.8871994
1998-02-14,-32.166668,115.333336,655.10645,0.91898346
1998-02-15,-32.166668,115.333336,637.7451,0.7889404
1998-02-16,-32.166668,115.333336,779.8779,0.68201447
1998-02-17,-32.166668,115.333336,652.09717,0.70224
1998-02-18,-32.166668,115.333336,597.9297,0.6502228
1998-02-19,-32.166668,115.333336,625.93945,1.4362717
