time,latitude,longitude,npp,zooc
1998-01-01,-32.416668,115.66667,1863.0029,1.0316925
1998-01-02,-32.416668,115.66667,1891.9385,1.2166443
1998-01-03,-32.416668,115.66667,2531.9985,1.2484283
1998-01-04,-32.416668,115.66667,1891.9385,1.2455368
1998-01-05,-32.416668,115.66667,1875.9663,1.3235703
1998-01-06,-32.416668,115.66667,1756.9819,1.3842545
1998-01-07,-32.416668,115.66667,1746.102,1.40448
1998-01-08,-32.416668,115.66667,1850.9653,1.0345764
1998-01-09,-32.416668,115.66667,1394.0112,0.8727493
1998-01-10,-32.416668,115.66667,1866.938,0.9074249
1998-01-11,-32.416668,115.66667,1791.9365,0.84095764
1998-01-12,-32.416668,115.66667,2342.1797,0.8785248
1998-01-13,-32.416668,115.66667,1204.1924,0.9478836
1998-01-14,-32.416668,115.66667,668.0698,0.9999008
1998-01-15,-32.416668,115.66667,915.9917,0.913208
1998-01-16,-32.416668,115.66667,931.96436,0.5924301
1998-01-17,-32.416668,115.66667,1966.9404,0.8120575
1998-01-18,-32.416668,115.66667,1978.0518,1.060585
1998-01-19,-32.416668,115.66667,2038.0063,1.1126022
1998-01-20,-32.416668,115.66667,1840.0854,1.1183853
1998-01-21,-32.416668,115.66667,1582.21,1.0548096
1998-01-22,-32.416668,115.66667,1644.9424,1.2224197
1998-01-23,-32.416668,115.66667,1622.0254,1.28022
1998-01-24,-32.416668,115.66667,1809.9927,1.4102631
1998-01-25,-32.416668,115.66667,2687.0947,1.4969559
1998-01-26,-32.416668,115.66667,1881.0586,1.2195282
1998-01-27,-32.416668,115.66667,1864.8545,1.1617355
1998-01-28,-32.416668,115.66667,1867.1694,1.1617355
1998-01-29,-32.416668,115.66667,1900.0405,1.0172424
1998-01-30,-32.416668,115.66667,1919.0225,0.693573
1998-01-31,-32.416668,115.66667,1507.208,0.76582336
1998-02-01,-32.416668,115.66667,1916.0132,1.0085678
1998-02-02,-32.416668,115.66667,1783.8345,1.28022
1998-02-03,-32.416668,115.66667,2407.9219,1.2484283
