time,latitude,longitude,npp,zooc
1998-04-07,-31.75,115.66667,2087.0815,0.8525162
1998-04-08,-31.75,115.66667,2261.854,0.4912796
1998-04-09,-31.75,115.66667,1824.1133,0.32656097
1998-04-10,-31.75,115.66667,1653.9707,0.49995422
1998-04-11,-31.75,115.66667,1925.9673,1.181961
1998-04-12,-31.75,115.66667,1919.0225,0.76582336
1998-04-13,-31.75,115.66667,1552.811,0.46238708
1998-04-14,-31.75,115.66667,1547.9497,0.7455902
1998-04-15,-31.75,115.66667,1451.8828,0.8698578
1998-04-16,-31.75,115.66667,1238.9155,0.5230713
1998-04-17,-31.75,115.66667,1275.9531,1.0085678
1998-04-18,-31.75,115.66667,1375.0293,0.5317383
1998-04-19,-31.75,115.66667,1890.0869,0.3381195
1998-04-20,-31.75,115.66667,1433.1323,0.5606384
1998-04-21,-31.75,115.66667,1830.1318,0.7629318
1998-04-22,-31.75,115.66667,1790.0845,1.8177338
1998-04-23,-31.75,115.66667,2266.9468,2.0171356
1998-04-24,-31.75,115.66667,2331.9941,0.9478836
1998-04-25,-31.75,115.66667,2200.9731,0.92476654
1998-04-26,-31.75,115.66667,1969.9497,1.0143509
1998-04-27,-31.75,115.66667,2046.8032,0.68201447
1998-04-28,-31.75,115.66667,1974.1162,0.7195816
1998-04-29,-31.75,115.66667,1779.2046,1.181961
1998-04-30,-31.75,115.66667,2938.9517,1.0316925
1998-05-01,-31.75,115.66667,2063.0073,0.66467285
1998-05-02,-31.75,115.66667,2113.2397,0.5577469
1998-05-03,-31.75,115.66667,1975.9683,1.4015961
1998-05-04,-31.75,115.66667,1969.9497,2.3957062
1998-05-05,-31.75,115.66667,939.83496,3.5429916
1998-05-06,-31.75,115.66667,1124.0981,3.2164307
1998-05-07,-31.75,115.66667,975.9468,3.531433
1998-05-08,-31.75,115.66667,859.0464,2.829193
1998-05-09,-31.75,115.66667,906.96387,3.0112534
1998-05-10,-31.75,115.66667,973.16895,1.6385651
1998-05-11,-31.75,115.66667,992.8452,0.4826126
1998-05-12,-31.75,115.66667,1653.0444,0.5057297
1998-05-13,-31.75,115.66667,1559.9873,0.63866425
1998-05-14,-31.75,115.66667,2397.042,0.47683716
1998-05-15,-31.75,115.66667,2431.0703,0.59820557
1998-05-16,-31.75,115.66667,2000.9688,1.7252579
1998-05-17,-31.75,115.66667,1510.9121,3.0546036
1998-05-18,-31.75,115.66667,1357.8994,4.5977936
1998-05-19,-31.75,115.66667,2399.1255,3.7597275
1998-05-20,-31.75,115.66667,1405.1226,3.051712
1998-05-21,-31.75,115.66667,960.20557,3.2019882
1998-05-22,-31.75,115.66667,2461.1636,1.8813095
1998-05-23,-31.75,115.66667,1988.0054,2.82341
1998-05-24,-31.75,115.66667,1961.8477,3.3551483
1998-05-25,-31.75,115.66667,1864.8545,2.1182785
1998-05-26,-31.75,115.66667,837.0552,2.8494186
1998-05-27,-31.75,115.66667,1103.959,1.9333267
1998-05-28,-31.75,115.66667,1146.0894,2.548874
1998-05-29,-31.75,115.66667,2113.934,2.4592896
1998-05-30,-31.75,115.66667,2309.0771,1.9304428
1998-05-31,-31.75,115.66667,2402.1348,2.4043808
1998-06-01,-31.75,115.66667,1640.0815,2.5257568
1998-06-02,-31.75,115.66667,1349.7974,2.4043808
1998-06-03,-31.75,115.66667,1109.9775,1.9044342
1998-06-04,-31.75,115.66667,1278.0366,1.4507217
1998-06-05,-31.75,115.66667,1562.9966,2.0402527
1998-06-06,-31.75,115.66667,1648.8779,2.2858963
1998-06-07,-31.75,115.66667,1662.0728,1.3177872
1998-06-08,-31.75,115.66667,1631.0532,1.8264084
1998-06-09,-31.75,115.66667,1731.0557,1.2484283
1998-06-10,-31.75,115.66667,1659.0635,1.5345306
1998-06-11,-31.75,115.66667,1397.9468,0.5259628
1998-06-12,-31.75,115.66667,1112.7554,1.0345764
1998-06-13,-31.75,115.66667,1483.8281,1.9506683
1998-06-14,-31.75,115.66667,2227.8252,2.7569427
1998-06-15,-31.75,115.66667,2280.1416,2.8696518
1998-06-16,-31.75,115.66667,2147.9624,2.0807114
1998-06-17,-31.75,115.66667,1656.0542,3.297348
1998-06-18,-31.75,115.66667,2156.0645,0.6415558
1998-06-19,-31.75,115.66667,2059.0718,1.3698044
1998-06-20,-31.75,115.66667,2189.167,1.4247131
1998-06-21,-31.75,115.66667,1494.0137,1.158844
1998-06-22,-31.75,115.66667,1899.1147,2.563324
1998-06-23,-31.75,115.66667,1469.0127,3.6672516
1998-06-24,-31.75,115.66667,2540.795,2.9996948
1998-06-25,-31.75,115.66667,2331.9941,3.976471
1998-06-26,-31.75,115.66667,1385.9092,1.5836563
1998-06-27,-31.75,115.66667,1317.8525,1.6414566
1998-06-28,-31.75,115.66667,1582.21,1.4247131
1998-06-29,-31.75,115.66667,2204.9082,1.6732407
1998-06-30,-31.75,115.66667,2124.814,3.6874847
1998-07-01,-31.75,115.66667,1482.9023,4.7682953
1998-07-02,-31.75,115.66667,869.0,4.9272385
1998-07-03,-31.75,115.66667,683.81104,3.5401
1998-07-04,-31.75,115.66667,1115.9961,1.3987045
1998-07-05,-31.75,115.66667,1309.9819,1.861084
1998-07-06,-31.75,115.66667,1331.9731,1.7570496
1998-07-07,-31.75,115.66667,1684.9897,2.0315857
1998-07-08,-31.75,115.66667,1817.1685,1.8119583
1998-07-09,-31.75,115.66667,1949.1157,2.144287
1998-07-10,-31.75,115.66667,1930.1338,3.7452774
1998-07-11,-31.75,115.66667,1459.0591,5.152649
1998-07-12,-31.75,115.66667,1128.9595,6.892357
1998-07-13,-31.75,115.66667,1110.9033,8.135002
1998-07-14,-31.75,115.66667,1270.8604,4.042938
1998-07-15,-31.75,115.66667,1150.0244,2.7396088
1998-07-16,-31.75,115.66667,1137.9873,4.019821
1998-07-17,-31.75,115.66667,928.9551,4.739395
1998-07-18,-31.75,115.66667,909.04736,5.181549
1998-07-19,-31.75,115.66667,909.04736,1.2195282
1998-07-20,-31.75,115.66667,1098.8662,1.1790695
1998-07-21,-31.75,115.66667,1320.8618,2.9679031
1998-07-22,-31.75,115.66667,1378.0386,0.7715988
1998-07-23,-31.75,115.66667,1813.6963,0.76582336
1998-07-24,-31.75,115.66667,1751.8892,4.120964
1998-07-25,-31.75,115.66667,1127.1074,6.2768097
1998-07-26,-31.75,115.66667,1252.8047,1.051918
1998-07-27,-31.75,115.66667,1246.0913,1.4131546
1998-07-28,-31.75,115.66667,1764.8525,2.7309341
1998-07-29,-31.75,115.66667,1799.8071,4.9705887
1998-07-30,-31.75,115.66667,1760.9175,3.3262482
1998-07-31,-31.75,115.66667,454.8711,3.0112534
1998-08-01,-31.75,115.66667,1167.8491,2.7540512
1998-08-02,-31.75,115.66667,1153.0342,2.6731415
1998-08-03,-31.75,115.66667,1420.1694,3.4909744
1998-08-04,-31.75,115.66667,1057.1987,2.6384583
1998-08-05,-31.75,115.66667,1069.9302,2.7656174
