time,latitude,longitude,par
2011-01-16 00:00:00,-32.020836,115.35417,61.070614
2011-02-16 00:00:00,-32.020836,115.35417,57.271885
2011-03-16 00:00:00,-32.020836,115.35417,50.199593
2011-04-16 00:00:00,-32.020836,115.35417,34.247635
2011-05-16 00:00:00,-32.020836,115.35417,25.162037
2011-06-16 00:00:00,-32.020836,115.35417,19.336723
2011-07-16 00:00:00,-32.020836,115.35417,20.372784
2011-08-16 00:00:00,-32.020836,115.35417,28.909634
2011-09-16 00:00:00,-32.020836,115.35417,39.223427
2011-10-16 00:00:00,-32.020836,115.35417,48.27643
2011-11-16 00:00:00,-32.020836,115.35417,54.48794
2011-12-16 00:00:00,-32.020836,115.35417,63.623566
2012-01-16 00:00:00,-32.020836,115.35417,61.973133
2012-02-16 00:00:00,-32.020836,115.35417,54.20905
2012-03-16 00:00:00,-32.020836,115.35417,49.390392
2012-04-16 00:00:00,-32.020836,115.35417,33.5198
2012-05-16 00:00:00,-32.020836,115.35417,25.996807
2012-06-16 00:00:00,-32.020836,115.35417,17.75799
2012-07-16 00:00:00,-32.020836,115.35417,23.42923
2012-08-16 00:00:00,-32.020836,115.35417,28.791512
2012-09-16 00:00:00,-32.020836,115.35417,40.15175
2012-10-16 00:00:00,-32.020836,115.35417,52.55586
2012-11-16 00:00:00,-32.020836,115.35417,58.062733
2012-12-16 00:00:00,-32.020836,115.35417,61.678776
2013-01-16 00:00:00,-32.020836,115.35417,60.358994
2013-02-16 00:00:00,-32.020836,115.35417,53.68126
2013-03-16 00:00:00,-32.020836,115.35417,46.65064
2013-04-16 00:00:00,-32.020836,115.35417,31.93646
2013-05-16 00:00:00,-32.020836,115.35417,24.39325
2013-06-16 00:00:00,-32.020836,115.35417,21.822672
2013-07-16 00:00:00,-32.020836,115.35417,20.904457
2013-08-16 00:00:00,-32.020836,115.35417,27.151781
2013-09-16 00:00:00,-32.020836,115.35417,37.581127
2013-10-16 00:00:00,-32.020836,115.35417,49.430702
2013-11-16 00:00:00,-32.020836,115.35417,60.670223
2013-12-16 00:00:00,-32.020836,115.35417,65.336395
2014-01-16 00:00:00,-32.020836,115.35417,64.80532
2014-02-16 00:00:00,-32.020836,115.35417,59.379974
2014-03-16 00:00:00,-32.020836,115.35417,44.409317
2014-04-16 00:00:00,-32.020836,115.35417,34.144653
2014-05-16 00:00:00,-32.020836,115.35417,22.185162
2014-06-16 00:00:00,-32.020836,115.35417,20.088
2014-07-16 00:00:00,-32.020836,115.35417,22.536
2014-08-16 00:00:00,-32.020836,115.35417,28.702
2014-09-16 00:00:00,-32.020836,115.35417,35.83
2014-10-16 00:00:00,-32.020836,115.35417,51.162
2014-11-16 00:00:00,-32.020836,115.35417,59.322
2014-12-16 00:00:00,-32.020836,115.35417,64.882
2015-01-16 00:00:00,-32.020836,115.35417,62.088
2015-02-16 00:00:00,-32.020836,115.35417,53.924
2015-03-16 00:00:00,-32.020836,115.35417,45.676
2015-04-16 00:00:00,-32.020836,115.35417,32.484
2015-05-16 00:00:00,-32.020836,115.35417,27.278
2015-06-16 00:00:00,-32.020836,115.35417,19.926
2015-07-16 00:00:00,-32.020836,115.35417,22.186
2015-08-16 00:00:00,-32.020836,115.35417,29.166
2015-09-16 00:00:00,-32.020836,115.35417,42.56
2015-10-16 00:00:00,-32.020836,115.35417,49.008
2015-11-16 00:00:00,-32.020836,115.35417,61.044
2015-12-16 00:00:00,-32.020836,115.35417,62.96
2016-01-16 00:00:00,-32.020836,115.35417,57.972
2016-02-16 00:00:00,-32.020836,115.35417,58.86
2016-03-16 00:00:00,-32.020836,115.35417,45.132
2016-04-16 00:00:00,-32.020836,115.35417,32.058
2016-05-16 00:00:00,-32.020836,115.35417,23.916
2016-06-16 00:00:00,-32.020836,115.35417,19.592
2016-07-16 00:00:00,-32.020836,115.35417,23.134
2016-08-16 00:00:00,-32.020836,115.35417,28.714
2016-09-16 00:00:00,-32.020836,115.35417,37.944
2016-10-16 00:00:00,-32.020836,115.35417,49.172
2016-11-16 00:00:00,-32.020836,115.35417,60.798
2016-12-16 00:00:00,-32.020836,115.35417,62.786
2017-01-16 00:00:00,-32.020836,115.35417,62.918
2017-02-16 00:00:00,-32.020836,115.35417,54.706
2017-03-16 00:00:00,-32.020836,115.35417,44.488
2017-04-16 00:00:00,-32.020836,115.35417,36.938
2017-05-16 00:00:00,-32.020836,115.35417,25.648
2017-06-16 00:00:00,-32.020836,115.35417,21.946
2017-07-16 00:00:00,-32.020836,115.35417,18.074
2017-08-16 00:00:00,-32.020836,115.35417,27.838
2017-12-16 00:00:00,-32.020836,115.35417,63.472
2018-01-16 00:00:00,-32.020836,115.35417,61.464
2018-02-16 00:00:00,-32.020836,115.35417,58.898
2018-03-16 00:00:00,-32.020836,115.35417,45.84
2018-04-16 00:00:00,-32.020836,115.35417,34.394
2018-05-16 00:00:00,-32.020836,115.35417,27.104
2018-06-16 00:00:00,-32.020836,115.35417,21.056
2018-07-16 00:00:00,-32.020836,115.35417,21.088
2018-08-16 00:00:00,-32.020836,115.35417,28.086
2018-09-16 00:00:00,-32.020836,115.35417,41.336
2018-10-16 00:00:00,-32.020836,115.35417,50.662
2018-11-16 00:00:00,-32.020836,115.35417,59.686
2018-12-16 00:00:00,-32.020836,115.35417,65.604
2019-01-16 00:00:00,-32.020836,115.35417,65.884
2019-02-16 00:00:00,-32.020836,115.35417,57.692
2019-03-16 00:00:00,-32.020836,115.35417,46.922
2019-04-16 00:00:00,-32.020836,115.35417,36.436
2019-05-16 00:00:00,-32.020836,115.35417,28.434
2019-06-16 00:00:00,-32.020836,115.35417,19.768
2019-07-16 00:00:00,-32.020836,115.35417,21.628
2019-08-16 00:00:00,-32.020836,115.35417,30.728
2019-09-16 00:00:00,-32.020836,115.35417,41.604
2019-10-16 00:00:00,-32.020836,115.35417,50.4
2019-11-16 00:00:00,-32.020836,115.35417,61.98
2019-12-16 00:00:00,-32.020836,115.35417,65.704
2020-01-16 00:00:00,-32.020836,115.35417,65.124
2020-02-16 00:00:00,-32.020836,115.35417,54.178
2020-03-16 00:00:00,-32.020836,115.35417,46.81
2020-04-16 00:00:00,-32.020836,115.35417,32.85
2020-05-16 00:00:00,-32.020836,115.35417,24.802
2020-06-16 00:00:00,-32.020836,115.35417,20.876
2020-07-16 00:00:00,-32.020836,115.35417,22.348
2020-08-16 00:00:00,-32.020836,115.35417,25.114
2020-09-16 00:00:00,-32.020836,115.35417,36.736
2020-10-16 00:00:00,-32.020836,115.35417,54.474
2020-11-16 00:00:00,-32.020836,115.35417,56.658
2020-12-16 00:00:00,-32.020836,115.35417,68.306
2021-01-16 00:00:00,-32.020836,115.35417,64.78
2021-02-16 00:00:00,-32.020836,115.35417,52.192
2021-03-16 00:00:00,-32.020836,115.35417,45.416
2021-04-16 00:00:00,-32.020836,115.35417,33.142
2021-05-16 00:00:00,-32.020836,115.35417,24.656
